"adap-org/9611003","David A. Head","D. A. Head and G. J. Rodgers","A model of macroevolution with a natural system size","Complete rewrite, small mistake in model corrected",,,,"adap-org cond-mat.stat-mech nlin.AO q-bio",,"  We describe a simple model of evolution which incorporates the branching and
extinction of species lines, and also includes abiotic influences. A first
principles approach is taken in which the probability for speciation and
extinction are defined purely in terms of the fitness landscapes of each
species. Numerical simulations show that the total diversity fluctuates around
a natural system size $N_{\rm nat}$ which only weakly depends upon the number
of connections per species. This is in agreement with known data for real
multispecies communities. The numerical results are confirmed by approximate
mean field analysis.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 15:35:19 GMT""},{""version"":""v2"",""created"":""Tue, 14 Jul 1998 08:53:23 GMT""}]","2008-02-03"
"hep-th/9611032","Lawrence M. Krauss","Lawrence M. Krauss and Hong Liu (Case Western Reserve University)","Quantum Hair, Instantons, and Black Hole Thermodynamics: Some New
  Results","35 pages, Latex, submitted to Nuclear Physics B: minor typos
  corrected","Nucl.Phys. B491 (1997) 365-386","10.1016/S0550-3213(97)00053-9","CWRU-P17-96","hep-th gr-qc",,"  We present results obtained by a consideration of the non-classical energy
momentum tensor associated with Euclidean Instantons outside the event horizon
of black holes. We demonstrate here how this allows an analytic estimate to be
made of the effect of discrete quantum hair on the temperature of the black
hole, in which the role of violations of the weak energy condition associated
with instantons is made explicit, and in which the previous results of Coleman,
Preskill, and Wilczek are extended. Last, we demonstrate how the existence of a
non-classical electric field outside the event horizon of black holes,
uncovered by these authors, can be identified with a well-known effect in the
Abelian-Higgs model in two dimensions. In this case, there is a one-to-one
connection between the discrete charge of a black hole and a topological phase
in two dimensions.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 22:51:01 GMT""},{""version"":""v2"",""created"":""Fri, 8 Nov 1996 20:29:37 GMT""}]","2016-09-06"
"hep-th/9611033","Francois Delduc","F. Delduc, L. Gallot, E. Ivanov","New super KdV system with the N=4 SCA as the hamiltonian structure","13 pages, LaTeX file, minor mistakes and misprints corrected","Phys.Lett. B396 (1997) 122-132","10.1016/S0370-2693(97)00133-0","ENSLAPP-L-623, JINR E2-96-394","hep-th",,"  We present a new integrable extension of the a=-2, N=2 SKdV hierarchy, with
the ""small"" N=4 superconformal algebra (SCA) as the second hamiltonian
structure. As distinct from the previously known N=4 supersymmetric KdV
hierarchy associated with the same N=4 SCA, the new system respects only N=2
rigid supersymmetry. We give for it both matrix and scalar Lax formulations and
consider its various integrable reductions which complete the list of known
SKdV systems with the N=2 SCA as the second hamiltonian structure. We construct
a generalized Miura transformation which relates our system to the $\alpha =
-2$, N=2 super Boussinesq hierarchy and, respectively, the ``small'' N=4 SCA to
the N=2 W_3 superalgebra.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 11:29:46 GMT""},{""version"":""v2"",""created"":""Fri, 22 Nov 1996 19:00:48 GMT""}]","2009-10-30"
"hep-th/9611034","Lises Ifa","Sergiu I. Vacaru","Superstrings in Higher Order Extensions of Finsler Superspaces","79 pages, latex209, latex figures, subm. Nucl. Phys. B","Nucl.Phys. B494 (1997) 590-656","10.1016/S0550-3213(97)00089-8",,"hep-th dg-ga gr-qc math.DG",,"  The work proposes a geometric background of the theory of field interactions
and strings in spaces with higher order anisotropy. Our approach proceeds by
developing the concept of higher order anisotropic superspace which unifies the
logical and mathematical aspects of modern Kaluza-Klein theories and
generalized Lagrange and Finsler geometry and leads to modelling of physical
processes on higher order fiber bundles provided with nonlinear and
distingushed connections and metric structures. The view adopted is that a
general field theory should incorporate all possible anisotropic and stochastic
manifestations of classical and quantum interactions and, in consequence, a
corresponding modification of basic principles and mathematical methods in
formulation of physical theories. The presentation is divided into two parts.
The first five sections cover the higher order anisotropic superspaces. We
focus on the geometry of distinguished by nonlinear connection vector
superbundles, consider different supersymmetric extensions of Finsler and
Lagrange spaces and analyze the structure of basic geometric objects on such
superspaces. The remaining five sections are devoted to the theory of higher
order anisotropic superstrings. In the framework of supersymmetric nonlinear
sigma models in Finser extended backgrounds we prove that the low-energy
dynamics of such strings contains motion equations for locally anisotropic
field interactions.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 13:30:43 GMT""},{""version"":""v2"",""created"":""Sat, 9 Nov 1996 17:02:38 GMT""}]","2009-10-30"
"nucl-ex/9611001",,"E. A. Pasyuk, V. Yu. Alexakhin, S. I. Gogolev, K. O. Oganesyan (JINR)
  C. L. Morris, J. M. O'Donnell, M. W. Rawool-Sullivan (LANL) M. K. Jones
  (Rutgers Univesity) F. F. Guber, A. I. Reshetin (INR, Moscow) I. I.
  Strakovsky (PNPI, St. Petersburg)","pi+ + d --> p + p reaction between 18 and 44 MeV","20 pages, 7 Postscript figures","Phys.Rev.C55:1026-1032,1997","10.1103/PhysRevC.55.1026","LA-UR-95-3656","nucl-ex",,"  A study of the reaction pi+ + d --> p + p has been performed in the energy
range of 18 - 44 MeV. Total cross sections and differential cross sections at
six angles have been measured at 15 energies with an energy increment of 1 - 2
MeV. This is the most systematic data set in this energy range. No structure in
the energy dependence of the cross section has been observed within the
accuracy of this experiment.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 23:14:53 GMT""}]","2008-11-26"
"nucl-th/9611008","Jorge G. Hirsch","Jorge G. Hirsch, Peter O. Hess and Osvaldo Civitarese","Double beta decay and the proton-neutron residual interaction","LaTeX, 10 pages plus 3 fugures as LaTeX files. Accepted for
  publication in Physics Letters B","Phys.Lett. B390 (1997) 36-40","10.1016/S0370-2693(96)01511-0",,"nucl-th",,"  The validity of the pn-QRPA and -RQRPA descriptions of double beta decay
transition amplitudes is analyzed by using an exactly solvable model. It is
shown that the collapse of the QRPA is physically meaningful and that it is
associated with the appearance of a state with zero energy in the spectrum. It
is shown that in the RQRPA this particular feature is not present and that this
approach leads to finite but otherwise spurious results for the double beta
decay transition amplitudes near the point of collapse.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 16:47:52 GMT""}]","2009-10-30"
"nucl-th/9611009","Pavlos Protopapas","Pavlos Protopapas, Abraham Klein","Possible solution of the Coriolis attenuation problem","revtex, including 7 figures(postscript), submitted to Phys.Rev.C","Phys.Rev.C55:1810-1818,1997","10.1103/PhysRevC.55.1810",,"nucl-th",,"  The most consistently useful simple model for the study of odd deformed
nuclei, the particle-rotor model (strong coupling limit of the core-particle
coupling model) has nevertheless been beset by a long-standing problem: It is
necessary in many cases to introduce an ad hoc parameter that reduces the size
of the Coriolis interaction coupling the collective and single-particle
motions. Of the numerous suggestions put forward for the origin of this
supplementary interaction, none of those actually tested by calculations has
been accepted as the solution of the problem. In this paper we seek a solution
of the difficulty within the framework of a general formalism that starts from
the spherical shell model and is capable of treating an arbitrary linear
combination of multipole and pairing forces. With the restriction of the
interaction to the familiar sum of a quadrupole multipole force and a monopole
pairing force, we have previously studied a semi-microscopic version of the
formalism whose framework is nevertheless more comprehensive than any
previously applied to the problem. We obtained solutions for low-lying bands of
several strongly deformed odd rare earth nuclei and found good agreement with
experiment, except for an exaggerated staggering of levels for K=1/2 bands,
which can be understood as a manifestation of the Coriolis attenuation problem.
We argue that within the formalism utilized, the only way to improve the
physics is to add interactions to the model Hamiltonian. We verify that by
adding a magnetic dipole interaction of essentially fixed strength, we can fit
the K=1/2 bands without destroying the agreement with other bands. In addition
we show that our solution also fits 163Er, a classic test case of Coriolis
attenuation that we had not previously studied.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 19:47:50 GMT""}]","2016-09-08"
"nucl-th/9611010","Yong Zhong Qian","Y.-Z. Qian (1), W. C. Haxton (2), K. Langanke (1), and P. Vogel (1)
  ((1) Caltech, (2) University of Washington)","Neutrino-induced neutron spallation and supernova r-process
  nucleosynthesis","34 pages, 4 PostScript figures, RevTex","Phys.Rev.C55:1532-1544,1997","10.1103/PhysRevC.55.1532",,"nucl-th astro-ph",,"  In order to explore the consequences of the neutrino irradiation for the
supernova r-process nucleosynthesis, we calculate the rates of charged-current
and neutral-current neutrino reactions on neutron-rich heavy nuclei, and
estimate the average number of neutrons emitted in the resulting spallation.
Our results suggest that charged-current $\nu_e$ captures can be important in
breaking through the waiting-point nuclei at N=50 and 82, while still allowing
the formation of abundance peaks. Furthermore, after the r-process freezes out,
there appear to be distinctive neutral-current and charged-current
postprocessing effects. A subtraction of the neutrino postprocessing effects
from the observed solar r-process abundance distribution shows that two mass
regions, A=124-126 and 183-187, are inordinately sensitive to neutrino
postprocessing effects. This imposes very stringent bounds on the freeze-out
radii and dynamic timescales governing the r-process. Moreover, we find that
the abundance patterns within these mass windows are entirely consistent with
synthesis by neutrino interactions. This provides a strong argument that the
r-process must occur in the intense neutrino flux provided by a core-collapse
supernova.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 20:46:27 GMT""}]","2016-09-08"
"nucl-th/9611011",,"Frank X. Lee, Derek B. Leinweber, Xuemin Jin","New QCD Sum Rules for Nucleon Axial Vector Coupling Constants","30 pages in RevTeX with 11 PS figures embedded. A brief conference
  contribution appeared earlier in nucl-th/9606026","Phys.Rev. D55 (1997) 4066-4082","10.1103/PhysRevD.55.4066","TRI-PP-96-44, UW-DOE/ER/40427-34-N96","nucl-th hep-ph",,"  Two new sets of QCD sum rules for the nucleon axial coupling constants are
derived using the external-field technique and generalized interpolating
fields. An in-depth study of the predicative ability of these sum rules is
carried out using a Monte-Carlo based uncertainty analysis. The results show
that the standard implementation of the QCD sum rule method has only marginal
predicative power for the nucleon axial coupling constants, as the relative
errors are large. The errors range from approximately 50 to 100% compared to
the nucleon mass obtained from the same method, which has only 10% to 25%
error. The origin of the large errors is examined. Previous analyses of these
coupling constants are based on sum rules that have poor OPE convergence and
large continuum contributions. Preferred sum rules are identified and their
predictions are obtained. We also investigate the new sum rules with an
alternative treatment of the problematic transitions which are not
exponentially suppressed in the standard treatment. The new treatment provides
exponential suppression of their contributions relative to the ground state.
Implications for other nucleon current matrix elements are also discussed.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 21:28:25 GMT""}]","2009-10-30"
"physics/9611004","Ruth Haeckl","R. Haeckl, V. Hund, H. Pilkuhn","Eight-component differential equation for leptonium","10 pages; no figures. The complete paper, including figures, is also
  available via anonymous ftp at ftp://ttpux2.physik.uni-karlsruhe.de/ , or via
  www at http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/",,,"TTP96-50","physics.atom-ph",,"  It is shown that the potential for lepton-antilepton bound states (leptonium)
is the Fourier transform of the first Born approximation to the QED scattering
amplitude in an 8-component equation, while 16-component equations are
excluded. The Fourier transform is exact at all cms energies $-\infty < E <
\infty$; the resulting atomic spectrum is explicitly CPT-invariant.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 18:54:47 GMT""}]","2016-09-08"
"physics/9611005","Peter O. Fedichev","P. O. Fedichev","Formation of antihydrogen atoms in an ultra-cold positron-antiproton
  plasma","A talk given on ITAMP Workshop on Exotic Atoms, July 11-13, 1996;
  submitted to Physics Letters A; 3 pages, RevTeX",,"10.1016/S0375-9601(96)00944-9",,"physics.atom-ph",,"  We discuss the formation of antihydrogen atoms ($\bar{\rm H}$) in an
ultra-cold positron-antiproton plasma. For positron densities $n_p\agt 10^8$
cm$^{-3}$ the characteristic formation time of stable $\bar{H}$ is determined
by collisional relaxation of highly excited atoms produced in the process of
3-body Thompson recombination. Relying on the mechanisms of ``replacement
collisions'' and ``transverse collisional drift'' we find a bottleneck in the
relaxation kinetics and analyze the physical consequences of this phenomenon.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 13:18:32 GMT""}]","2016-09-08"
"quant-ph/9611007","Imafuku Kentaro","Kentaro Imafuku (Department of Physics, Waseda University), Ichiro
  Ohba (Department of Physics, Waseda University) and Yoshiya Yamanaka (Waseda
  University Senior High School)","Effects of Inelastic Scattering on Tunneling Time in Generalized
  Nelson's Quantum Mechanics","25 pages, 10 Postscript figures",,,"WU-HEP-96-8","quant-ph",,"  We analyze the effects of inelastic scattering on the tunneling time
theoretically, using generalized Nelson's quantum mechanics. This
generalization enables us to describe quantum system with optical potential and
channel couplings in a real time stochastic approach, which seems to give us a
new insight into quantum mechanics beyond Copenhagen interpretation.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 04:06:07 GMT""}]","2007-05-23"
"solv-int/9611004",,"D. F. Wang","Spinless Calogero-Sutherland model with twisted boundary condition","preprint of ETH-L, appearing in recent PRE",,"10.1103/PhysRevE.54.4586",,"solv-int nlin.SI",,"  In this work, the spinless Calogero-Sutherland model with twisted boundary
condition is studied. The ground state wavefunctions, the ground state
energies, the full energy spectrum are provided in details.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 10:05:06 GMT""}]","2009-10-30"
