"alg-geom/9611025","Bozidar Ilic","Bo Ilic and J.M. Landsberg","On symmetric degeneracy loci, spaces of symmetric matrices of constant
  rank and dual varieties","AMS-TeX, 15 pages",,,,"alg-geom dg-ga math.AG math.DG",,"  Let X be a nonsingular simply connected projective variety of dimension m, E
a rank n vector bundle on X, and L a line bundle on X. Suppose that $S^2(E^{*})
\otimes L$ is an ample vector bundle and that there is a constant even rank $r
\ge 2$ symmetric bundle map $E \to E^{*} \otimes L$. We prove that $m \le n-r$.
We use this result to solve the constant rank problem for symmetric matrices,
proving that the maximal dimension of a linear subspace of the space of
$m\times m$ symmetric matrices such that each nonzero element has even rank $r
\ge 2$ is $m-r+1$. We explain how this result relates to the study of dual
varieties in projective geometry and give some applications and examples.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 16:56:57 GMT""}]","2008-02-03"
"hep-th/9611165","Vijay Balasubramanian","Vijay Balasubramanian (Princeton University) and Robert G. Leigh
  (University of Illinois at Urbana-Champaign)","D-Branes, Moduli and Supersymmetry","LaTeX, minor corrections, version to be published in PRD","Phys.Rev.D55:6415-6422,1997","10.1103/PhysRevD.55.6415","PUPT-1654, ILL-(TH)-96-12","hep-th",,"  We study toroidal compactifications of Type II string theory with D-branes
and nontrivial antisymmetric tensor moduli and show that turning on these
fields modifies the supersymmetry projections imposed by D-branes. These
modifications are seen to be necessary for the consistency of T-duality. We
also show the existence of unusual BPS configurations of branes at angles that
are supersymmetric because of conspiracies between moduli fields. Analysis of
the problem from the point of view of the effective field theory of massless
modes shows that the presence of a 2-form background must modify the
realization of supersymmetry on the brane. In particular, the appropriate
supersymmetry variation of the physical gaugino vanishes in any constant field
strength background. These considerations are relevant for the $E_7$-symmetric
counting of states of 4-dimensional black holes in Type II string theory
compactified on $T^6$.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 21:47:17 GMT""},{""version"":""v2"",""created"":""Mon, 2 Dec 1996 22:24:25 GMT""},{""version"":""v3"",""created"":""Mon, 3 Mar 1997 16:47:09 GMT""}]","2010-11-19"
"hep-th/9611166","Ying Shuqian","S. Ying","A path integration approach to relativistic finite density problems and
  its particle content","7 pages, RevTex, 1 figure",,,,"hep-th hep-ph nucl-th",,"  A path integration formulation for the finite density and temperature
problems is shown to be consistent with the thermodynamics using an 8 component
``real'' representation for the fermion fields by applying it to a free fermion
system. A relativistic quantum field theory is shown to be smoothly approached
at zero temperature by a real-time thermal field theory so derived even at a
finite density. The analysis leads to a new representation for the fermion
fields which is shown to be inequivalent to the conventional 4 component theory
at the quantum level by having a mirror universe with observable effects and to
be better behaved at short distances.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 07:57:41 GMT""}]","2007-05-23"
"hep-th/9611167","Jon Magne Leinaas","Jon Magne Leinaas","Generalized statistics and the algebra of observables","22 pages, Invited lecture given at the 4th International School of
  Theoretical Physics, Symmetry and Structural Properties of Condensed Matter,
  Zajaczkowo, 28.August - 4.September 1996",,,"Oslo-TP 15-96","hep-th cond-mat",,"  A short review is given of how to apply the algebraic Heisenberg quantization
scheme to a system of identical particles. For two particles in one dimension
the approach leads to a generalization of the Bose and Fermi description which
can be expressed in the form of a 1/x^2 statistics interaction between the
particles. For an N-particle system it is shown how a particular
infinite-dimensional algebra arises as a generalization of the su(1,1) algebra
which is present for the two-particle system.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 12:45:13 GMT""}]","2007-05-23"
"hep-th/9611169","Paulo Miguel Sa","P. M. S\'a and J. P. S. Lemos","Stationary Black Holes in a Generalized Three-Dimensional Theory of
  Gravity","12 pages, Latex","Phys.Lett.B423:49-53,1998","10.1016/S0370-2693(98)00084-7",,"hep-th gr-qc",,"  We consider a generalized three-dimensional theory of gravity which is
specified by two fields, the graviton and the dilaton, and one parameter. This
theory contains, as particular cases, three-dimensional General Relativity and
three-dimensional String Theory. Stationary black hole solutions are generated
from the static ones using a simple coordinate transformation. The stationary
black holes solutions thus obtained are locally equivalent to the corresponding
static ones, but globally distinct. The mass and angular momentum of the
stationary black hole solutions are computed using an extension of the Regge
and Teitelboim formalism. The causal structure of the black holes is described.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 14:39:54 GMT""}]","2014-11-18"
"nucl-ex/9611005","Heinz Oberhummer","P. Mohr, H. Oberhummer, and H.Beer","Astrophysically Relevant Neutron Capture near the Border of Stability","7 pages (uses sprocl.sty and psfig.sty), 4 figures, Proc.
  ""International Workshop on Research with Fission Fragments"", Benediktbeuern,
  October 28-30, 1996, World Scientific, in press, uuencoded tex-files and
  postscript-files available at ftp://is1.kph.tuwien.ac.at/pub/ohu/Mg.uu",,,,"nucl-ex nucl-th",,"  The neutron capture cross section on $^{26}$Mg was measured in the
astrophysically relevant energy region from 25 keV to 220 keV. The experimental
results agree well with a calculation using the Direct Capture (DC) model
together with systematic folding potentials. This experiment confirms for the
$^{26}$Mg(n,$\gamma$)$^{27}$Mg reaction that the DC process is at least
comparable to the Compound--Nucleus (CN) process. The reliability of DC
calculations is discussed, and we present some ideas for future experiments
which could reduce the theoretical uncertainties of DC calculations.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 14:49:09 GMT""}]","2007-05-23"
"nucl-th/9611042",,"E.L. Bratkovskaya and W. Cassing (Giessen Univ.)","Dilepton Production from AGS to SPS Energies within a Relativistic
  Transport Approach","38 pages, LaTeX, including 19 postscript figures, to appear in Nucl.
  Phys. A","Nucl.Phys.A619:413-446,1997","10.1016/S0375-9474(97)00140-1","UGI-96-25","nucl-th",,"  We present a nonperturbative dynamical study of $e^+e^-$ production in
proton-nucleus and nucleus-nucleus collisions from AGS to SPS energies on the
basis of the covariant transport approach HSD. For p + Be reactions the
dilepton yield for invariant masses $M \leq 1.4$ GeV is found to be dominated
by the decays of the $\eta, \rho, \omega$ and $\Phi$ mesons at all energies
from 10 -- 450 GeV. For nucleus-nucleus collisions, however, the dilepton yield
shows an additional large contribution from $\pi^+\pi^-$, $K^+K^-$ and $\pi
\rho$ channels. Systematic studies are presented for the 'free' meson mass
scenario in comparison to a 'dropping' meson mass scenario at finite baryon
density. We find that for 'dropping' meson masses the invariant dilepton mass
range 0.35 GeV $\leq M \leq$ 0.65 GeV is increased in comparison to the 'free'
meson mass scenario and that the data of the CERES-collaboration for
nucleus-nucleus collisions can be described much better within the 'dropping'
mass scheme. We study in detail the contributions from the various dilepton
channels as a function of the transverse momentum and rapidity of the lepton
pair as well as a function of the charged particle multiplicity. Furthermore,
various direct photon channels for S + Au at 200 GeV/u are computed and found
to be well below the upper bounds measured by the WA80-collaboration.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 16:22:18 GMT""},{""version"":""v2"",""created"":""Sun, 18 May 1997 15:35:22 GMT""}]","2011-07-19"
"nucl-th/9611043","Gerald A. Miller","Gerald A. Miller (University of Washington)","Low Energy Pion-Nucleus Interactions: Nuclear Deep Inelastic Scattering,
  Drell-Yan and Missing Pions","14 pages, revtex, Text of invited talk presented at the LAMPF Users
  Group, Inc. Symposium, Oct. 25-26, 1996",,,"DOE/ER/41014-3-N97, DOE/ER/40561-299-INT96-19-06","nucl-th",,"  The experimental discovery that the nucleus is approximately transparent to
low energy pions is reviewed. The consequences of this for nuclear deep
inelastic scattering and Drell-Yan interactions are discussed. I argue that low
energy nucleus data imply that there is little nuclear enhancement of the pion
cloud of a nucleon, and try to interpret this in terms of nucleon-nucleon
correlations.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 22:14:42 GMT""}]","2007-05-23"
"physics/9611015","Frank Sander","Frank Sander, Thibaut Devolder, Tilman Esslinger, and Theodor W.
  Hansch","Ramsey type Sub-Recoil Cooling","4 pages, 3 figures. LaTeX/RevTeX (uses psfig). Submitted to Phys.
  Rev. Lett",,"10.1103/PhysRevLett.78.4023",,"physics.atom-ph",,"  We experimentally study the motion of atoms interacting with a periodically
pulsed near resonant standing wave. For discrete pulse frequencies we observe a
comb-like momentum distribution. The peaks have widths of 0.3 recoil momenta
and a spacing which is an integer multiple of the recoil momentum. The atomic
population is trapped in ground states which periodically evolve to dark states
each time the standing wave is switched on.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 18:14:54 GMT""}]","2009-10-30"
"physics/9611016",,"G. D'Agostini","A Theory of Measurement Uncertainty Based on Conditional Probability","9 pages, latex, to appear in the proceedings of the ""1996 Joint
  Statistical Meetings""",,,"Roma1 N. 1079, November 1996","physics.data-an astro-ph bayes-an hep-ph nucl-ex",,"  A theory of measurement uncertainty is presented, which, since it is based
exclusively on the Bayesian approach and on the subjective concept of
conditional probability, is applicable in the most general cases.
  The recent International Organization for Standardization (ISO)
recommendation on measurement uncertainty is reobtained as the limit case in
which linearization is meaningful and one is interested only in the best
estimates of the quantities and in their variances.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 08:52:58 GMT""}]","2008-02-03"
"physics/9611017","Gayane A. Amatuni","A. Amatuni","Nonlinear Two-dimensional potential plasma wake waves","18 pages,latex",,,,"physics.plasm-ph",,"  The condition for potential description of the wake waves,generated by flat
or cylindrical driving electron bunch in cold plasma is derived.
  The two-dimensional nonlinear equation for potential valid for small values
of that is obtained and solved by the separation of variables. Solutions in the
form of cnoidal waves,existing behind the moving bunch at small values of
vertical coordinate,are obtained.In particular,at some boundary
conditions,corresponding to blow-out regime in the underdense plasma,the
solution represents by a solitary nonlinear wave.
  Approximate solution is also obtained using the method of multiple sacales.
  The indications are obtained that the dependense of the amplitudes on
longitudinal coordinate determines essentially,even in the first
approximation,by driving bunch charge distribution.The wake wave amplitude can
increase at some conditions along the longitudinal distance from the rear part
of the bunch.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 12:00:07 GMT""}]","2008-02-03"
"physics/9611018",,"S. Esposito (I.N.F.N. Sezione di Napoli)","Classical $v_{gr} \neq c$ solutions of Maxwell equations and the
  tunneling photon effect","11 pages, Latex2e; to be published in Phys. Lett. A","Phys.Lett. A225 (1997) 203-209","10.1016/S0375-9601(96)00872-9","DSF-96/25, INFN-NA-IV-96/25","physics.class-ph",,"  We propose a very simple but general method to construct solutions of Maxwell
equations propagating with a group velocity $v_{gr} \neq c$. Applications to
wave guides and a possible description of the known experimental evidences on
photonic tunneling are discussed.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 08:25:00 GMT""}]","2009-10-30"
"q-alg/9611023","Johan Kustermans","Johan Kustermans, Alfons Van Daele","C^*-algebraic quantum groups arising from algebraic quantum groups","LaTeX, 60 pages",,,,"q-alg funct-an math.FA math.QA",,"  We associate to an algebraic quantum group a C^*-algebraic quantum group and
prove that this C^*-algebraic quantum group satisfies an upcoming definition of
Masuda, Nakagami & Woronowicz.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 16:02:05 GMT""}]","2008-02-03"
"q-alg/9611024","Ruibin Zhang","R. B. Zhang","Structure And Representations Of The Quantum General Linear Supergroup","LaTeX, 23 pages",,,,"q-alg math.QA",,"  The structure and representations of the quantum general linear supergroup
GLq(m|n) are studied systematically by investigating the Hopf superalgebra Gq
of its representative functions. Gq is factorized into $Gq^{\pi} Gq^{\bar\pi}$,
and a Peter - Weyl basis is constructed for each factor. Parabolic induction
for the quantum supergroup is developed. The underlying geometry of induced
representations is discussed, and an analog of Frobenius reciprocity is
obtained. A quantum Borel - Weil theorem is proven for the covariant and
contravariant tensorial irreps, and explicit realizations are given for classes
of tensorial irreps in terms of sections of quantum super vector bundles over
quantum projective superspaces.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 06:32:22 GMT""}]","2008-02-03"
"q-alg/9611025",,"Karol Przanowski (University of Lodz, Poland)","The Hopf algebra isomorphism between kappa-Poincare algebra in the case
  g^{00}=0 and ""null plane"" quantum Poincare algebra","LaTeX, Pages 6",,,,"q-alg math.QA",,"  The Hopf algebra isomorphism between kappa-Poincare algebra defined by
P.Kosinski and P.Maslanka in the case g^{00}=0 and ""null plane"" quantum
Poincare algebra by A.Ballesteros, F.J.Herranz and M.A.del Olmo is defined.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 13:40:19 GMT""}]","2008-02-03"
"quant-ph/9611035","Matteo G. A. Paris","Matteo G. A. Paris (Arbeitsgruppe Nichtklassiche Strahlung der
  Max-Planck-Gesellschaft)","Interferometry as a binary decision problem","9 pages. One picture in LaTeX. Epic and Eepic extension needed",,"10.1016/S0375-9601(96)00862-6",,"quant-ph",,"  Binary decision theory has been applied to the general interferometric
problem. Optimal detection scheme-according to the Neyman-Pearson criterion-has
been considered for different phase-enhanced states of radiation field, and the
corresponding bounds on minimum detectable phase shift has been evaluated. A
general bound on interferometric precision has been also obtained in terms of
photon number fluctuations of the signal mode carrying the phase information.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 11:44:54 GMT""}]","2016-09-08"
"quant-ph/9611036","Piotr Kochanski","Piotr Kochanski (Center for Theoretical Physics) and Krzysztof
  Wodkiewicz (University of New Mexico)","Operational Theory of the Eight-Port Homodyne Detection","18 pages, uses Revtex and epsfig.sty, 4 Encapsulated Postscript
  figures, submitted to J. Mod. Opt",,,"CFT PAN 11-1996","quant-ph",,"  The eight-port homodyne detection apparatus is analyzed in the framework of
the operational theory of quantum measurement. For an arbitrary quantum noise
leaking through the unused port of the beam splitter, the positive operator
valued measure and the corresponding operational homodyne observables are
derived. It is shown that such an eight-port homodyne device can be used to
construct the operational quantum trigonometry of an optical field. The quantum
trigonometry and the corresponding phase space Wigner functions are derived for
a signal field probed by a classical local oscillator and a squeezed vacuum in
the unused port.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 13:42:08 GMT""}]","2007-05-23"
"quant-ph/9611037","Cat","Caroline H. Thompson (Department of Computer Science, University of
  Wales Aberystwyth)","The Chaotic Ball: An Intuitive Analogy for EPR Experiments","See related material at
  http://freespace.virgin.net/ch.thompson1/bibliogaphy.htm/","Found.Phys.Lett. 9 (1996) 357-382","10.1007/BF02186307",,"quant-ph",,"  Actual realisations of EPR experiments do {\em not} demonstrate non-locality.
A model is presented that should enable non-specialists as well as specialists
to understand how easy it is to find realistic explanations for the
observations. The model also suggests new areas where realistic
(``hidden-variable'') models can give valid predictions whilst quantum
mechanics fails. It offers straightforward explanations for some anomalies that
Aspect was unable to account for, providing perhaps the first experimental
evidence that a hidden-variable theory can be {\em superior} to quantum
mechanics. The apparent success of quantum mechanics in predicting results is
shown to be largely due to the use of unjustifiable and biased analysis of the
data. Data that has been discarded because it did not lead to a valid Bell's
test may give further evidence that hidden variables exist.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 13:55:09 GMT""},{""version"":""v2"",""created"":""Tue, 4 May 1999 10:32:16 GMT""},{""version"":""v3"",""created"":""Sun, 8 Aug 2004 12:07:24 GMT""}]","2009-10-30"
"solv-int/9611006","Denis Uglov","Kouichi Takemura and Denis Uglov","The orthogonal eigenbasis and norms of eigenvectors in the Spin
  Calogero-Sutherland Model","35 pages, AMSLaTeX",,"10.1088/0305-4470/30/10/039","RIMS-1114","solv-int hep-th math.QA nlin.SI q-alg",,"  Using a technique based on the Yangian Gelfand-Zetlin algebra and the
associated Yangian Gelfand-Zetlin bases we construct an orthogonal basis of
eigenvectors in the Calogero-Sutherland Model with spin, and derive
product-type formulas for norms of these eigenvectors.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 09:30:19 GMT""}]","2009-10-30"
