"alg-geom/9611014","Klaus Altmann","Klaus Altmann and Arne B. Sletsjoe","Andre-Quillen cohomology of monoid algebras","LaTeX 2.09, uses pb-diagram.sty, 8 pages",,,,"alg-geom math.AC math.AG",,"  We compute the Andre-Quillen cohomology of an affine toric variety. The best
results are obtained either in the general case for the first three cohomology
groups, or in the case of isolated singularities for all cohomology groups,
respectively.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 18:13:18 GMT""}]","2008-02-03"
"hep-th/9611089","Pio Arias","C. Aragone, P.J. Arias and A. Khoudeir","On the spontaneous break down of massive gravities in 2+1 dimensions","11 pages, LaTeX. To appear in Nuovo Cimento B","Nuovo Cim.B112:63-74,1997",,"CAT/95-06","hep-th gr-qc",,"  We show that locally Lorentz invariant, third order, topological massive
gravity can not be broken down neither to the local diffeomorphism subgroup nor
to the rigid Poincar\'e group. On the other hand, the recently formulated,
locally diffeomorphism invariant, second order massive triadic (translational)
Chern-Simons gravity breaks down on rigid Minkowski space to a double massive
spin-two system. This flat double massive action is the uniform spin-two
generalization of the Maxwell-Chern-Simons-Proca system which one is left with
after U(1) abelian gauge invariance breaks down in the presence of a sextic
Higgs potential.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 21:04:16 GMT""}]","2014-11-18"
"hep-th/9611090","Cumrun Vafa","Sheldon Katz and Cumrun Vafa","Geometric Engineering of N=1 Quantum Field Theories","11 pages","Nucl.Phys. B497 (1997) 196-204","10.1016/S0550-3213(97)00283-6","HUTP-96/A051,OSU Math 1996-25","hep-th math.AG",,"  We construct local geometric model in terms of F- and M-theory
compactification on Calabi-Yau fourfolds which lead to N=1 Yang-Mills theory in
d=4 and its reduction on a circle to d=3. We compute the superpotential in d=3,
as a function of radius, which is generated by the Euclidean 5-brane
instantons. The superpotential turns out to be the same as the potential for
affine Toda theories. In the limit of vanishing radius the affine Toda
potential reduces to the Toda potential.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 21:09:09 GMT""}]","2016-09-06"
"hep-th/9611092",,"Christoph Schweigert","On moduli spaces of flat connections with non-simply connected structure
  group","12 pages, LaTeX","Nucl.Phys. B492 (1997) 743-755","10.1016/S0550-3213(97)00152-1","UCB-PTH-96/53, LBNL-39585","hep-th alg-geom math.AG",,"  We consider the moduli space of flat G-bundles over the twodimensional torus,
where G is a real, compact, simple Lie group which is not simply connected. We
show that the connected components that describe topologically non-trivial
bundles are isomorphic as symplectic spaces to moduli spaces of topologically
trivial bundles with a different structure group. Some physical applications of
this isomorphism which allows to trade topological non-triviality for a change
of the gauge group are sketched.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 23:54:17 GMT""}]","2009-10-30"
"hep-th/9611093",,"Kamran Saririan","Gaugino Condensation, Loop Corrections, and S-duality Constraint","11 pages, LaTeX, One figure included; To appear in the proceedings of
  NATO ASI on Masses of Fundamental Particles, C\`argese, France, Aug. 5-17,
  1996",,,"LBNL-39590, UCB-PTH-96/52","hep-th",,"  This talk is a brief review of gaugino condensation in superstring effective
field theories and some related issues (such as renormalization of the gauge
coupling in the effective supergravity theories and modular anomaly
cancellation). As a specific example, we discuss a model containing
perturbative (1-loop) corrections to the K\""ahler potential and approximate
S-duality symmetry.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 00:49:01 GMT""}]","2007-05-23"
"hep-th/9611095","Kenji Suzuki","Kenji Suzuki (Department of physics, Tokyo Institute of Technology)","Non-extremal Stringy Black Hole","18 pages, Latex","Phys.Rev. D56 (1997) 7846-7853","10.1103/PhysRevD.56.7846",,"hep-th",,"  We construct a four-dimensional BPS saturated heterotic string solution from
the Taub-NUT solution. It is a non-extremal black hole solution since its Euler
number is non-zero. We evaluate its black hole entropy semiclassically. We
discuss the relation between the black hole entropy and the degeneracy of
string states. The entropy of our string solution can be understood as the
microscopic entropy which counts the elementary string states without any
complications.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 05:38:16 GMT""},{""version"":""v2"",""created"":""Fri, 15 Nov 1996 05:57:01 GMT""},{""version"":""v3"",""created"":""Mon, 17 Mar 1997 06:44:50 GMT""},{""version"":""v4"",""created"":""Mon, 15 Dec 1997 06:45:13 GMT""}]","2009-10-30"
"hep-th/9611097","Takuhiro Kitao","Takuhiro Kitao","SUSY N=2 hyperelliptic curve from N=1 effective potential","10 pages, LaTex, no figures, references added","Phys.Lett. B402 (1997) 290-296","10.1016/S0370-2693(97)00363-8","UT-Komaba/96-25","hep-th",,"  We derive the singularity conditions of the N=1 generalized (general yukawa
couplings and quark masses) form of hyperelliptic curves of SU(N_c) with N_f
flavors. The results reproduce the known form of N=2 curves when the yukawa
couplings and the quark masses reduce to those of N=2. We obtained these curves
by determining the dependence of the unbroken SU(2) gaugino condensation on the
couplings in the moduli source terms which break N=2 SQCD to N=1 SU(N_c) gauge
theory with the quarks and the adjoint matter, \Phi. The degenerate component
of the diagonalized classical vacuum expectation value of \Phi is shown to be
explicitly written in terms of these couplings, which enables us to determine
the form of the gaugino condensation.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 09:23:15 GMT""},{""version"":""v2"",""created"":""Thu, 6 Mar 1997 13:37:04 GMT""},{""version"":""v3"",""created"":""Sun, 9 Mar 1997 09:35:42 GMT""}]","2009-10-30"
"hep-th/9611098","Roberto Trinchero","C. D. Fosco, R. C. Trinchero","Regularized overlap and the chiral determinant","14 pages, latex","Phys.Lett. B394 (1997) 170-178","10.1016/S0370-2693(96)01675-9",,"hep-th",,"  We study the relationship between the continuum overlap and its corresponding
chiral determinant, showing that the former amounts to an unregularised version
of the latter. We then construct a regularised continuum overlap, and consider
the chiral anomalies that follow therefrom. The relation between these
anomalies and the ones derived from the formal (i.e., unregularised) overlap is
elucidated.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 11:55:29 GMT""}]","2009-10-30"
"hep-th/9611099","Eric Bergshoeff","E. Bergshoeff","p-Branes, D-Branes and M-Branes","8 pages, latex, uses sprocl.sty; talk given at the Workshop on Gauge
  Theories, Applied Supersymmetry and Quantum Gravity (London, July 1996) and
  the Strings '96 conference, ``Current Trends in String Theory'' (Santa
  Barbara, July 1996)",,"10.1142/9781848160927_0010",,"hep-th",,"  We consider solutions to the string effective action corresponding to
p-Branes, D-Branes and M-Branes and discuss some of their properties.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 14:33:39 GMT""}]","2016-12-21"
"math/9611208","Villaveces Andres","Andres Villaveces","Heights of Models of $ZFC$ and the Existence of End Elementary
  Extensions",,,,"Logic E-prints November 13, 1996","math.LO",,"  The existence of End Elementary Extensions of models M of ZFC is related to
the ordinal height of M, according to classical results due to Keisler, Morley
and Silver. In this paper, we further investigate the connection between the
height of M and the existence of End Elementary Extensions of M. In particular,
we prove that the theory `ZFC + GCH + there exist measurable cardinals + all
inaccessible non weakly compact cardinals are possible heights of models with
no End Elementary Extensions' is consistent relative to the theory `ZFC + GCH +
there exist measurable cardinals + the weakly compact cardinals are cofinal in
ON'. We also provide a simpler coding that destroys GCH but otherwise yields
the same result.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 00:00:00 GMT""}]","2016-09-06"
"math/9611209","Villaveces Andres","Andres Villaveces","Chains of End Elementary Extensions of Models of Set Theory","Figure 2 available from author upon request",,,"Logic E-prints November 13, 1996","math.LO",,"  Large cardinals arising from the existence of arbitrarily long end elementary
extension chains over models of set theory are studied here. In particular, we
show that the large cardinals obtained that way (`Unfoldable cardinals') behave
as a `boundary' between properties consistent with `V=L' and existence of
indiscernibles. We also provide an `embedding characterisation' of the
unfoldable cardinals and study their preservation and destruction by various
different forcings.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 00:00:00 GMT""}]","2016-09-06"
"nucl-ex/9611003","Alessandro Olmi","G. Casini, P. R. Maurenzig, A. Olmi, M. Bini, S. Calamai, F. Meucci,
  G. Pasquali, G. Poggi, A. A. Stefanini (INFN & Univ. Firenze - Italy), A.
  Gobbi and K. D. Hildenbrand (GSI Darmastadt - Germany)","Direct experimental evidence of non-equilibrium energy sharing in
  dissipative collisions","Latex, 7 pages, 2 figures","Phys.Rev.Lett.78:828-831,1997","10.1103/PhysRevLett.78.828",,"nucl-ex",,"  Primary and secondary masses of heavy reaction products have been deduced
from kinematics and E-ToF measurements, respectively, for the direct and
reverse collisions of 100Mo with 120Sn at 14.1 A MeV. Direct experimental
evidence of the correlation of energy-sharing with net mass transfer and
model-independent results on the evolution of the average excitation from
equal-energy to equal-temperature partition are presented.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 14:14:44 GMT""}]","2009-01-23"
"nucl-th/9611022","Martin Savage","Martin J. Savage","The Delta-Delta Intermediate State in 1S0 Nucleon-Nucleon Scattering
  From Effective Field Theory","16 pages, 3 figures, uses harvmac","Phys.Rev.C55:2185-2190,1997","10.1103/PhysRevC.55.2185","DOE/ER/40427-24-N96","nucl-th hep-ph",,"  We examine the role of the Delta-Delta intermediate state in low energy NN
scattering using effective field theory. Theories both with and without pions
are discussed. They are regulated with dimensional regularization and MSbar
subtraction. We find that the leading effects of the Delta-Delta state can be
absorbed by a redefinition of the contact terms in a theory with nucleons only.
It does not remove the requirement of a higher dimension operator to reproduce
data out to moderate momentum. The explicit decoupling of the Delta-Delta state
is shown for the theory without pions.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 22:19:26 GMT""}]","2008-11-26"
"nucl-th/9611023","Vesteinn Thorsson","Paul J. Ellis and Vesteinn Thorsson","Kaon Zero-Point Fluctuations in Neutron Star Matter","40 pages RevTeX, 3 epsf figures","Phys.Rev. D55 (1997) 5177-5192","10.1103/PhysRevD.55.5177","NUC-MINN-96/9-T, DOE/ER/40427-14-N96","nucl-th astro-ph hep-ph",,"  We investigate the contribution of zero-point motion, arising from
fluctuations in kaon modes, to the ground state properties of neutron star
matter containing a Bose condensate of kaons. The zero-point energy is derived
via the thermodynamic partition function, by integrating out fluctuations for
an arbitrary value of the condensate field. It is shown that the vacuum
counterterms of the chiral Lagrangian ensure the cancellation of divergences
dependent on $\mu$, the charge chemical potential, which may be regarded as an
external vector potential. The total grand potential, consisting of the
tree-level potential, the zero-point contribution, and the counterterm
potential, is extremized to yield a locally charge neutral, beta-equilibrated
and minimum energy ground state. In some regions of parameter space we
encounter the well-known problem of a complex effective potential. Where the
potential is real and solutions can be obtained, the contributions from
fluctuations are found to be small in comparison with tree-level contributions.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 00:41:15 GMT""},{""version"":""v2"",""created"":""Wed, 13 Nov 1996 01:06:40 GMT""}]","2009-10-30"
"physics/9611011","Phil Fraundorf","P. Fraundorf","A one-map two-clock approach to teaching relativity in introductory
  physics","10 pages (1 fig, 3 tables) RevTeX; classroom-focus improved; also
  http://www.umsl.edu/~fraundor/a1toc.html",,,"UMStL-CME-961107pf","physics.ed-ph gr-qc physics.acc-ph",,"  This paper presents some ideas which might assist teachers incorporating
special relativity into an introductory physics curriculum. One can define the
proper-time/velocity pair, as well as the coordinate-time/velocity pair, of a
traveler using only distances measured with respect to a single ``map'' frame.
When this is done, the relativistic equations for momentum, energy, constant
acceleration, and force take on forms strikingly similar to their Newtonian
counterparts. Thus high-school and college students not ready for Lorentz
transforms may solve relativistic versions of any single-frame Newtonian
problems they have mastered. We further show that multi-frame calculations
(like the velocity-addition rule) acquire simplicity and/or utility not found
using coordinate-velocity alone.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 15:32:41 GMT""},{""version"":""v2"",""created"":""Tue, 26 Nov 1996 16:12:45 GMT""},{""version"":""v3"",""created"":""Sun, 22 Dec 1996 17:45:27 GMT""}]","2008-02-03"
"q-alg/9611012","A. Kazarnovski-Krol","A. Kazarnovski-Krol","Variation on a theme of Selberg integral","17 pages, Latex (with use of Amstex)",,,,"q-alg math.QA",,"  In this paper we calculate some Generalized Selberg integrals. The answer is
expressed in terms of $\Gamma$-functions. Integrals of this type serve as
normalization constants or directly via undoing 2-D integrals for determination
of structural constants of operator algebra.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 21:36:16 GMT""}]","2008-02-03"
"q-alg/9611013","Peter Jarvis","I Tsohantjis (Tasmania), A Paolucci (Leeds), and P D Jarvis (Tasmania)","On boson algebras as Hopf algebras","LaTex, 18 pages",,"10.1088/0305-4470/30/11/032","UTAS-PHYS-96-08","q-alg math.QA",,"  Certain types of generalized undeformed and deformed boson algebras which
admit a Hopf algebra structure are introduced, together with their Fock-type
representations and their corresponding $R$-matrices. It is also shown that a
class of generalized Heisenberg algebras including those algebras including
those underlying physical models such as that of Calogero-Sutherland, is
isomorphic with one of the types of boson algebra proposed, and can be
formulated as a Hopf algebra.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 11:51:32 GMT""}]","2009-10-30"
"q-alg/9611014","Chakrabarti Amitabha","A. Chakrabarti","Induced Hopf stucture and irreducible representations of an elliptic
  $U_{q,p}(sl(2))$ via a nonlinear map","Latex-file, 6 pages",,,"Ecole Polytechnique preprint CPTH-9611476","q-alg math.QA",,"  Shiraishi's two parameter generalization of $U_{q}(sl(2))$ to
$U_{q,p}(sl(2))$ involving an elliptic function is considered. The generators
are mapped non-linearly on those of $U_{q}(sl(2))$. This gives directly the
irreducible representations and an induced Hopf structure. This is one
particular example of the scope of a class of non-linear maps introduced by us
recently.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 14:07:55 GMT""}]","2008-02-03"
"q-alg/9611015","Chakrabarti Amitabha","A. Chakrabarti","A Generalization of $U_h(sl(2))$ via Jacobian Elliptic Function","Latex-file, 9 pages",,,"Ecole Polytechnique preprint CPTH-9611477","q-alg math.QA",,"  A two-parametric generalization of the Jordanian deformation $U_h (sl(2))$ of
$sl(2)$ is presented. This involves Jacobian elliptic functions. In our
deformation $U_{(h,k)}(sl(2))$, for $k^2=1$ one gets back $U_h(sl(2))$. The
constuction is presented via a nonlinear map on $sl(2)$. This invertible map
directly furnishes the highest weight irreducible representations of
$U_{(h,k)}(sl(2))$. This map also provides two distinct induced Hopf stuctures,
which are exhibited. One is induced by the classical $sl(2)$ and the other by
the distinct one of $U_h(sl(2))$. Automorphisms related to the two periods of
the elliptic functions involved are constructed. Translations of one generator
by half and quarter periods lead to interesting results in this context.
Possibilities of applications are discussed briefly.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 14:08:09 GMT""}]","2008-02-03"
"quant-ph/9611017","Hideo Mabuchi","J. I. Cirac, P. Zoller, H. J. Kimble, and H. Mabuchi","Quantum state transfer and entanglement distribution among distant nodes
  in a quantum network","4 pages, 3 postscript figures",,"10.1103/PhysRevLett.78.3221",,"quant-ph",,"  We propose a scheme to utilize photons for ideal quantum transmission between
atoms located at spatially-separated nodes of a quantum network. The
transmission protocol employs special laser pulses which excite an atom inside
an optical cavity at the sending node so that its state is mapped into a
time-symmetric photon wavepacket that will enter a cavity at the receiving node
and be absorbed by an atom there with unit probability. Implementation of our
scheme would enable reliable transfer or sharing of entanglement among
spatially distant atoms.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 19:15:50 GMT""}]","2009-10-30"
"quant-ph/9611018","Giuseppe Iannaccone","G. Iannaccone","Weak measurement and the traversal time problem","Talk given at the Adriatico Research Conference on ``Tunnelling and
  its implications'', 30 July--2 August 1996, ICTP, Trieste",,,,"quant-ph",,"  The theory of weak measurement, proposed by Aharonov and coworkers, has been
applied by Steinberg to the long-discussed traversal time problem. The
uncertainty and ambiguity that characterize this concept from the perspective
of von Neumann measurement theory apparently vanish, and joint probabilities
and conditional averages become meaningful concepts. We express the Larmor
clock and some other well-known methods in the weak measurement formalism. We
also propose a method to determine higher moments of the traversal time
distribution in terms of the outcome of a gedanken experiment, by introducing
an appropriate operator. Since the weak measurement approach can sometimes lead
to unphysical results, for example average negative reflection times and higher
moments, the interpretation of the results obtained remains an open problem.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 09:08:57 GMT""}]","2007-05-23"
"quant-ph/9611019","Boris F. Samsonov","Boris F. Samsonov","Time-dependent parasupersymmetry in quantum mechanics","11pages, latex, amsfonts, no figures","Mod.Phys.Lett. A11 (1996) 2095-2104","10.1142/S0217732396002083",,"quant-ph",,"  Parasupersymmetry of the one dimensional time-dependent Schr\""odinger
equation is established. It is intimately connected with a chain of the
time-dependent Darboux transformations. As an example a parasupersymmetric
model of nonrelativistic free particle with threefold degenerate discrete
spectrum of an integral of motion is constructed.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 09:32:05 GMT""}]","2015-06-26"
