"alg-geom/9611035","Geng Xu","Gang Tian and Geng Xu","On the semi-simplicity of the quantum cohomology algebras of complete
  intersections","9 pages plain TeX",,,,"alg-geom math.AG",,"  In this short note, we study the semi-simplicity of the quantum cohomology
algebra H(V, C) of a Fano complete intersection V, and show that the subspace
of H(V, C) generated by the hyperplane sections is semi-simple in the sense of
Dubrovin when the degree of V satisfies certain conditions.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 19:47:05 GMT""}]","2008-02-03"
"hep-ph/9611443","Sechul Oh","N. G. Deshpande, B. Dutta, and Sechul Oh","Constraints from $b \to s \gamma$ on gauge-mediated supersymmetry
  breaking models","12 pages(Latex), 3 PS Figures (uuencoded, epsf.tex); minor
  modification in the introductory part of the text","Phys.Rev.D56:519-522,1997","10.1103/PhysRevD.56.519","OITS-620","hep-ph",,"  We consider the branching ratio of $b \to s\gamma$ in gauge mediated
supersymmetry breaking theories. Useful bounds on the parameter space of these
models are derived from the experimental bounds on $b \to s\gamma$. Constraints
on masses of NLSP are presented as a function of $tan\beta$ and $M/\Lambda$ for
$\mu<0$ and $\mu>0$.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 22:40:33 GMT""},{""version"":""v2"",""created"":""Thu, 30 Jan 1997 23:25:54 GMT""}]","2014-11-17"
"hep-ph/9611444","FJ Yndurain","J. Vermaseren, F. Barreiro, L. Labarga and F. J. Yndur\'ain","Pomerons and Jet Events at HERA","Latex file","Phys.Lett. B418 (1998) 363-370","10.1016/S0370-2693(97)01229-X","FTUAM 96-7","hep-ph",,"  We study two and three jet events with a large rapidity gap at HERA. Unlike
in the Ingelman-Schlein approach we do not adscribe a structure to the Pomeron.
Instead, the coupling of the Pomeron to quarks or gluons is taken pointlike,
which makes the model easy to test: the only degrees of freedom are the
coupling constants of the Pomeron to the quarks or the gluons and a cutoff
procedure to keep the Pomeron-gluon coupling well behaved.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 12:03:34 GMT""}]","2009-10-30"
"hep-ph/9611445","Georg Weiglein","S. Bauberger, G. Weiglein","Calculation of two-loop top-quark and Higgs-boson corrections in the
  electroweak Standard Model","9 pages, to appear in the Proceedings of AIHENP'96, Lausanne, Sept.
  2-6, 1996. The paper is also available via www at
  http://www-itp.physik.uni-karlsruhe.de/prep/prep96/preplist96.html","Nucl.Instrum.Meth.A389:318-322,1997","10.1016/S0168-9002(97)00116-2","KA-TP-25-1996, WUE-ITP-96.030","hep-ph",,"  A combination of algebraical and numerical techniques for calculating
two-loop top-quark and Higgs-boson corrections to electroweak precision
observables like $\Delta r$ or the $\rho$-parameter is presented. The
renormalization is performed within the on-shell scheme. The results of the
calculations are valid for arbitrary values of $m_t$, $M_H$ and of the
gauge-boson masses. An example is treated where the full result is compared to
the result obtained via an expansion up to next-to-leading order in $m_t$. As
an application, results for the Higgs-mass dependent top-contributions to
$\Delta r$ are given.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 10:07:32 GMT""}]","2011-03-02"
"hep-ph/9611446","Richard Rittel","Liang Zuo-tang, R. Rittel","Orbiting valence quarks and their influence on the structure functions
  of the nucleon","10 pages (LaTeX) including 3 figures","Mod.Phys.Lett. A12 (1997) 827-836","10.1142/S0217732397000856",,"hep-ph",,"  It is shown that intrinsic orbital motion of the valence quarks has large
influences on the spin-dependent as well as the spin-averaged nucleon structure
functions. Its connection with the observed ``very small contribution of quark
spin to nucleon spin'' and the observed violation of Gottfried sum rule is
discussed.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 10:48:02 GMT""}]","2015-06-25"
"hep-ph/9611447","Liang Zuo-tang","C. Boros, Z. Liang, T. Meng and R. Rittel","Testing the mechanisms proposed in different models for single-spin
  asymmetries","Talk presented by Liang Zuo-tang at the 12th International Symposium
  on High Energy Spin Physics, SPIN96, Amsterdam, September 10-14,1996",,,,"hep-ph",,"  It is shown that the origin of the striking left-right asymmetries observed
in single-spin inclusive hadron production processes in high energy
hadron-hadron collisions can be traced by performing suitable experiments.
Several new experiments are proposed. The possible outcomes are summarized
together with those of other relevant experiments which have already been
suggested. It is pointed out that the results of such a set of experiments will
not only be able to differentiate between existing theoretical models, but also
be helpful in locating the source(s) of the observed asymmetries.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 13:03:26 GMT""}]","2007-05-23"
"hep-ph/9611448","Passarino Giampiero","Giampiero Passarino (Torino University and INFN Torino)","Standard Model and Electroweak Interaction: Phenomenology","20 pages, 4 Postscript figures, Talk given at the 3rd International
  Symposium on Radiative Corrections, Cracow, Poland, August 1-5, 1996. To
  appear in the proceedings","Acta Phys.Polon.B28:635-650,1997",,,"hep-ph",,"  The status of the LEP 1 results, the LEP 2 perspectives and some recent
developments in the high energy behavior of electron-positron annihilation are
briefly discussed.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 13:20:14 GMT""}]","2014-11-17"
"hep-ph/9611449","Pavel Baikov","P.A.Baikov (Institute of Nuclear Physics of Moscow State University)","Explicit solutions of the multi-loop integral recurrence relations and
  its application","LaTeX, 5 pages, no figures, Talk given at 5th International Workshop
  on New Computing Techniques in Physics Research: Software Engineering, Neural
  Nets, Genetic Algorithms, Expert Systems, Symbolic Algebra, Automatic
  Calculations (AIHENP 96), Lausanne, Switzerland, 2-6 Sep 1996","Nucl.Instrum.Meth.A389:347-349,1997","10.1016/S0168-9002(97)00126-5","INP-96-42/449","hep-ph",,"  The approach to the constructing explicit solutions of the recurrence
relations for multi-loop integrals are suggested. The resulting formulas
demonstrate a high efficiency, at least for 3-loop vacuum integrals case. They
also produce a new type of recurrence relations over the space-time dimension.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 14:05:43 GMT""}]","2011-04-15"
"hep-ph/9611450","Michael Klasen","M. Klasen and G. Kramer","Inclusive Two-Jet Production at HERA: Direct and Resolved Cross Sections
  in Next-to-Leading Order QCD","16 pages, latex, 10 figures, uses epsfig.sty","Z.Phys. C76 (1997) 67-74",,"DESY 96-246","hep-ph",,"  We have calculated inclusive two-jet cross sections in next-to-leading order
QCD for low Q^2 ep collisions superimposing direct and resolved contributions.
Infrared and collinear singularities in the virtual and real contributions are
cancelled with the phase space slicing method. Various inclusive two-jet
distributions have been computed. The results are compared with recent data
from the ZEUS collaboration at HERA.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 15:10:08 GMT""}]","2016-09-06"
"hep-ph/9611456",,"F. O. Duraes, F. S. Navarra and G. Wilk","Diffractive Dissociation In The Interacting Gluon Model","12 pages, latex, 14 figures (PostScript Files included); accepted for
  publication in Phys. Rev. D (Feb.97)","Phys.Rev. D55 (1997) 2708-2717","10.1103/PhysRevD.55.2708","IFUSP/P-1220","hep-ph",,"  We have extended the Interacting Gluon Model (IGM) to calculate diffractive
mass spectra generated in hadronic collisions. We show that it is possible to
treat both diffractive and non-diffractive events on the same footing, in terms
of gluon-gluon collisions. A systematic analysis of available data is
performed. The energy dependence of diffractive mass spectra is addressed. They
show a moderate narrowing at increasing energies. Predictions for LHC energies
are presented.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 19:29:05 GMT""}]","2009-10-30"
"hep-th/9611218","Noureddine Mohammedi","Noureddine Mohammedi (Tours University)","On the Eleventh Dimension of String Theory","8 pages, Latex",,,,"hep-th",,"  An explanation of the origin of the hidden eleventh dimension in string
theory is given. It is shown that any two sigma models describing the
propagation of string backgrounds are related to each other by a Weyl
transformation of the world-sheet metric. To avoid this ambiguity in defining
two-dimensional sigma models, extra fields are needed. An interesting
connection is established with Abelian T-duality.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 18:23:34 GMT""}]","2007-05-23"
"hep-th/9611222","Stefan Theisen","O. Aharony, C. Sonnenschein, S. Yankielowicz, S. Theisen","Field Theory Questions for String Theory Answers","havmac, 24 pages, no figures; revised version; we have corrected the
  discussion concerning the relationship between the orientifolds and the
  F-theory compactification. Version to be published in Nucl. Phys. B","Nucl.Phys.B493:177-197,1997","10.1016/S0550-3213(97)00104-1","RU-96-105, TAUP-2397-96, LMU-TPW-96-33, CERN-TH/96-33","hep-th",,"  We discuss the field theory of 3-brane probes in F-theory compactifications
in two configurations, generalizing the work of Sen and of Banks, Douglas and
Seiberg. One configuration involves several parallel 3-brane probes in F-theory
compactified on $T^4/Z_2$, while the other involves a compactification of
F-theory on $T^6/Z_2 x Z_2$ (which includes intersecting $D_4$ singularities).
In both cases string theory provides simple pictures of the spacetime theory,
whose implications for the three-brane world-volume theories are discussed. In
the second case the field theory on the probe is an unusual N=1 superconformal
theory, with exact electric-magnetic duality. Several open questions remain
concerning the description of this theory.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 16:06:59 GMT""},{""version"":""v2"",""created"":""Sun, 1 Dec 1996 22:50:24 GMT""},{""version"":""v3"",""created"":""Sun, 8 Dec 1996 17:19:56 GMT""},{""version"":""v4"",""created"":""Sat, 1 Mar 1997 17:23:59 GMT""}]","2016-09-06"
"hep-th/9611223","Kalyan Rama","S. Kalyana Rama","Early Universe Evolution in Graviton-Dilaton Models","39 Pages. Latex file (process twice)","Phys.Rev.D56:6230-6246,1997","10.1103/PhysRevD.56.6230","Prperint MRI-PHY/96-35","hep-th",,"  We present a class of graviton-dilaton models which leads to a singularity
free evolution of the universe. We study the evolution of a homogeneous
isotropic universe. We follow an approach which enables us to analyse the
evolution and obtain its generic features even in the absence of explicit
solutions, which are not possible in general. We describe the generic evolution
of the universe and show, in particular, that it is singularity free in the
present class of models. Such models may stand on their own as interesting
models for singularity free cosmology, and may be studied accordingly. They may
also arise from string theory. We discuss critically a few such possibilities.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 09:33:55 GMT""}]","2011-09-09"
"hep-th/9611224","Franco Ferrari","Franco Ferrari and I. Lazzizzera","Perturbative Analysis of Chern-Simons Field Theory in the Coulomb Gauge","15 pages, Latex + psfig. With respect to the previous version, the
  perturbative calculations have now been performed without using a particular
  regularization for the ultraviolet divergences. Moreover, the paper has been
  totally rewritten improving its clarity and adding some new references and
  Comments","Int.J.Mod.Phys. A13 (1998) 1773-1784","10.1142/S0217751X98000767","PAR-LPTHE 96-44, UTF 387/96","hep-th",,"  In this paper we analyse the perturbative aspects of Chern-Simons field
theories in the Coulomb gauge. We show that in the perturbative expansion of
the Green functions there are neither ultraviolet not infrared divergences.
Moreover, all the radiative corrections are zero at any loop order. Some
problems connected with the Coulomb gauge fixing, like the appearance of
spurious singularities in the computation of the Feynman diagrams, are
discussed and solved. The regularization used here for the spurious
singularities can be easily applied also to the Yang-Mills case, which is
affected by similar divergences.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 09:37:42 GMT""},{""version"":""v2"",""created"":""Fri, 27 Jun 1997 12:01:45 GMT""}]","2009-10-30"
"hep-th/9611225","John Smyrnakis","John Manolis Smyrnakis","Representations of the Mapping Class Group of the Two Punctured Torus on
  the Space of \hat {sl}(2,C) Spin1/2-Spin1/2 Kac-Moody Blocks","13 pages LaTeX, requires epsf, replaced TeX symbols in abstract","Nucl.Phys. B496 (1997) 630-642",,,"hep-th",,"  The integral representations of the $\hat {sl}(2,C)$ Spin 1/2 - Spin 1/2
Kac-Moody Blocks on the torus, arising from the free field representation of
the $\hat {sl}(2,C)$ Kac-Moody algebra of Wakimoto and Bernard and Felder, are
used to derive an infinite class of representations of the mapping class group
of the two punctured torus.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 10:33:29 GMT""},{""version"":""v2"",""created"":""Thu, 28 Nov 1996 08:57:18 GMT""}]","2008-02-03"
"hep-th/9611226","Yves Brihaye","Yves Brihaye, Stefan Giller, Piotr Kosinski","On the relations between osp(2,2) and the quasi exactly solvable systems","14 pages, latex",,,"UMH-96/12","hep-th",,"  By taking a product of two sl(2) representations, we obtain the differential
operators preserving some space of polynomials in two variables. This allows us
to construct the representations of osp(2,2) in terms of matrix differential
operators in two variables. The corresponding operators provide the building
blocks for the construction of quasi exactly solvable systems of two and four
equations in two variables. Some generalisations are also sketched. The
peculiar labelling used for the generators allows us to elaborate a nice
deformation of osp(2,2). This gives an appropriate basis for analyzing the
quasi exactly solvable systems of finite difference equations.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 14:48:27 GMT""}]","2007-05-23"
"hep-th/9611228","Sergei Shabanov","Sergei V. Shabanov","The Monopole Dominance in QCD","plain Latex, 14 pages",,,"IFIC-96-70, FTUV-96-62","hep-th hep-lat",,"  A projection (gauge) independent formulation of the monopole dominance,
discovered in lattice QCD for the maximal abelian projection, is given. A new
dynamical abelian projection of continuum QCD, which does not rely on any
explicit gauge condition imposed on gauge fields, is proposed. Under the
assumption that the results of numerical simulations holds in the continuum
limit, the monopole dominance is proved for the dynamical abelian projection.
The latter enables us to develop an effective scalar field theory for dominant
(monopole) configurations of gauge fields. The approach is manifestly gauge and
Lorentz invariant.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 15:57:45 GMT""}]","2007-05-23"
"math/9611217",,"Anna Litvak Hinenzon and Vered Rom-Kedar","Symmetry breaking perturbations and strange attractors",,,"10.1103/PhysRevE.55.4964","Dynamical Systems 11/27/96","math.DS",,"  The asymmetrically forced, damped Duffing oscillator is introduced as a
prototype model for analyzing the homoclinic tangle of symmetric dissipative
systems with \textit{symmetry breaking} disturbances. Even a slight fixed
asymmetry in the perturbation may cause a substantial change in the asymptotic
behavior of the system, e.g. transitions from two sided to one sided strange
attractors as the other parameters are varied. Moreover, slight asymmetries may
cause substantial asymmetries in the relative size of the basins of attraction
of the unforced nearly symmetric attracting regions. These changes seems to be
associated with homoclinic bifurcations. Numerical evidence indicates that
\textit{strange attractors} appear near curves corresponding to specific
secondary homoclinic bifurcations. These curves are found using analytical
perturbational tools.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 00:00:00 GMT""}]","2016-09-06"
"nucl-th/9611052","Jurgen Schaffner","Juergen Schaffner-Bielich (1 and 2 and 3), Carsten Greiner (4),
  Alexander Diener (2) and Horst Stoecker (2) ((1) Niels Bohr Institute, (2)
  University of Frankfurt, (3) Lawrence Berkeley National Laboratory, (4)
  University of Giessen)","Detectability of Strange Matter in Heavy Ion Experiments","26 pages, 5 figures, uses RevTeX and epsf.sty","Phys.Rev.C55:3038-3046,1997","10.1103/PhysRevC.55.3038","LBNL-39652","nucl-th",,"  We discuss the properties of two distinct forms of hypothetical strange
matter, small lumps of strange quark matter (strangelets) and of hyperon matter
(metastable exotic multihypernuclear objects: MEMOs), with special emphasis on
their relevance for present and future heavy ion experiments. The masses of
small strangelets up to A = 40 are calculated using the MIT bag model with
shell mode filling for various bag parameters. The strangelets are checked for
possible strong and weak hadronic decays, also taking into account multiple
hadron decays. It is found that strangelets which are stable against strong
decay are most likely highly negative charged, contrary to previous findings.
Strangelets can be stable against weak hadronic decay but their masses and
charges are still rather high. This has serious impact on the present high
sensitivity searches in heavy ion experiments at the AGS and CERN facilities.
On the other hand, highly charged MEMOs are predicted on the basis of an
extended relativistic mean-field model. Those objects could be detected in
future experiments searching for short-lived, rare composites. It is
demonstrated that future experiments can be sensitive to a much wider variety
of strangelets.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 19:29:53 GMT""}]","2008-11-26"
"nucl-th/9611053","Wen-Tai Chiang","Wen-Tai Chiang, Frank Tabakin (University of Pittsburgh)","Completeness Rules for Spin Observables in Pseudoscalar Meson
  Photoproduction","32 pages, no figures, LaTeX/REVTeX, submitted to Phys. Rev. C, typos
  corrected","Phys.Rev.C55:2054-2066,1997","10.1103/PhysRevC.55.2054",,"nucl-th",,"  The number and type of measurements needed to ascertain the amplitudes for
pseudoscalar meson photoproduction are analyzed in this paper. It is found that
8 carefully selected measurements can determine the four transversity
amplitudes without discrete ambiguities. That number of measurements is one
less than previously believed. We approach this problem in two distinct ways:
(1) solving for the amplitude magnitudes and phases directly; and (2) using a
bilinear helicity product formulation to map an algebra of measurements over to
the well-known algebra of the $4\times 4$ Gamma matrices. It is shown that the
latter method leads to an alternate proof that 8 carefully chosen experiments
suffice for determining the transversity amplitudes completely. In addition,
Fierz transformations of the Gamma matrices are used to develop useful linear
and nonlinear relationships between the spin observables. These relationships
not only help in finding complete sets of experiments, but also yield important
constraints between the 16 observables for this reaction.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 21:51:18 GMT""},{""version"":""v2"",""created"":""Thu, 12 Dec 1996 00:29:18 GMT""}]","2008-11-26"
"nucl-th/9611054","Ian Thompson","R. Shyam and I.J. Thompson","E2 component in subcoulomb breakup of ^{8}B","Revised version (correcting earlier errors) submitted to Phys. Letts.
  B","Phys.Lett. B415 (1997) 315-320","10.1016/S0370-2693(97)01272-0","Surrey Centre for Nuclear Physics, SCNP-97-4","nucl-th",,"  We calculate the angular distribution and total cross section of the ^{7}Be
fragment emitted in the break up reaction of ^{8}B on ^{58}Ni and ^{208}Pb
targets at the subCoulomb beam energy of 25.8 MeV, within the non-relativistic
theory of Coulomb excitation with proper three-body kinematics. The relative
contributions of the E1, E2 and M1 multipolarities to the cross sections are
determined. The E2 component makes up about 65% and 40% of the ^{7}Be total
cross section for the ^{58}Ni and ^{208}Pb targets respectively. We find that
the extraction of the astrophysical S-factor, S_{17}(0), for the
^{7}Be(p,\gamma)^8B reaction at solar energies from the measurements of the
cross sections of the ^{7}Be fragment in the Coulomb dissociation of ^{8}B at
sub-Coulomb energies is still not free from the uncertainties of the E2
component.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 08:48:57 GMT""},{""version"":""v2"",""created"":""Fri, 25 Apr 1997 11:56:55 GMT""}]","2009-10-30"
"physics/9611022","Phil Fraundorf","P. Fraundorf","Information physics: From energy to codes","18 pages, 7 figs, 57 refs, TOC, RevTeX4; more at
  http://www.umsl.edu/~fraundor/hcapbits.html",,,,"physics.ed-ph cond-mat.stat-mech physics.bio-ph q-bio.QM",,"  We illustrate in terms familiar to modern day science students that: (i) an
uncertainty slope mechanism underlies the usefulness of temperature via its
reciprocal, which is incidentally around 42 [nats/eV] at the freezing point of
water; (ii) energy over kT and differential heat capacity are ``multiplicity
exponents'', i.e. the bits of state information lost to the environment outside
a system per 2-fold increase in energy and temperature respectively; (iii) even
awaiting description of ``the dice'', gambling theory gives form to the laws of
thermodynamics, availability minimization, and net surprisals for measuring
finite distances from equilibrium, information content differences, and
complexity; (iv) heat and information engine properties underlie the biological
distinction between autotrophs and heterotrophs, and life's ongoing symbioses
between steady-state excitations and replicable codes; and (v) mutual
information resources (i.e. correlations between structures e.g. a phenomenon
and its explanation, or an organism and its niche) within and across six
boundary types (ranging from the edges of molecules to the gap between
cultures) are delocalized physical structures whose development is a big part
of the natural history of invention. These tools might offer a physical
framework to students of the code-based sciences when considering such
disparate (and sometimes competing) issues as conservation of available work
and the nurturing of genetic or memetic diversity.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 16:21:57 GMT""},{""version"":""v2"",""created"":""Tue, 7 Jan 2003 18:44:54 GMT""},{""version"":""v3"",""created"":""Mon, 27 Jan 2003 15:37:36 GMT""}]","2008-02-03"
"physics/9611024","Charles Clark","Miroslaw Brewczyk, Kazimierz Rzazewski and Charles W. Clark","Multielectron dissociative ionization of molecules by intense laser
  radiation","4 pages RevTex source and 5 figures. In press at Phys. Rev. Lett","Phys. Rev. Lett. 78 (1997) 191","10.1103/PhysRevLett.78.191",,"physics.atom-ph physics.chem-ph",,"  We solve the hydrodynamic-ballistic equations of motion for a one-dimensional
time-dependent Thomas-Fermi model of Cl_2 exposed to an intense subpicosecond
laser field, and observe simultaneous multielectron ionization and molecular
dissociation. The fragment kinetic energy defect with respect to the simple
Coulomb explosion picture is found to originate in ejected-electron screening
of the escaping fragments; its magnitude agrees with that observed in recent
experiments.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 18:40:56 GMT""}]","2009-10-30"
"q-alg/9611033","Victor V. Ostrik","V.Ostrik (Independent University of Moscow)","Tensor ideals in the category of tilting modules","9 pages. Essential simplifications in proofs are made",,,,"q-alg math.QA",,"  We study the tensor category $\cQ$ of tilting modules over a quantum group
$U_q$ with divided powers. The set $X_+$ of dominant weights is a union of
closed alcoves $\oC_w$ numbered by the elements $w\in W^f$ of a certain subset
of affine Weyl group $W$. G.Lusztig and N.Xi defined a partition of $W^f$ into
canonical right cells and the right order $\le_R$ on the set of cells. For a
cell $A\subset W^f$ we consider a full subcategory $\cQ_{<A}$ formed by direct
sums of tilting modules $Q(\lambda)$ with highest weights $\lambda \in
\bigcup_{w\in B<_RA} \oC_w$. We prove that $\cQ_{<A}$ is a tensor ideal in
$\cQ$, generalizing H.Andersen's Theorem about the ideal of negligible modules
which in our notations is nothing else then $\cQ_{<\{ e\}}$. The proof is an
application of a recent result by W.Soergel who has computed the characters of
tilting modules.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 09:26:05 GMT""},{""version"":""v2"",""created"":""Thu, 19 Dec 1996 13:21:55 GMT""},{""version"":""v3"",""created"":""Fri, 27 Jun 1997 12:55:20 GMT""}]","2008-02-03"
"quant-ph/9611048","Holger Lyre","Holger Lyre","The Quantum Theory of Ur-Objects as a Theory of Information","11 pages","Int.J.Theor.Phys. 34 (1995) 1541",,,"quant-ph",,"  The quantum theory of ur-objects proposed by C. F. von Weizsaecker has to be
interpreted as a quantum theory of information. Ur-objects, or urs, are thought
to be the simplest objects in quantum theory. Thus an ur is represented by a
two-dimensional Hilbert space with the universal symmetry group SU(2), and can
only be characterized as ''one bit of potential information''. In this sense it
is not a spatial but an ''information atom''. The physical structure of the ur
theory is reviewed, and the philosophical consequences of its interpretation as
an information theory are demonstrated by means of some important concepts of
physics such as time, space, entropy, energy, and matter, which in ur theory
appear to be directly connected with information as ''the'' fundamental
substance. This hopefully will help to provide a new understanding of the
concept of information.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 16:28:24 GMT""}]","2007-05-23"
"quant-ph/9611049","James R. Anglin","J.R. Anglin and W.H. Zurek","A precision test of decoherence","4 pages, PlainTex, 1 embedded figure (needs epsf.tex). To appear in
  proceedings of the 31st Rencontres de Moriond, 20-27 Jan 1996",,,,"quant-ph",,"  The motion of a charged particle over a conducting plate is damped by Ohmic
resistance to image currents. This interaction between the particle and the
plate must also produce decoherence, which can be detected by examining
interference patterns made by diffracted particle beams which have passed over
the plate. Because the current densities within the plate decay rapidly with
the height of the particle beam above it, the strength of decoherence should be
adjustable across a wide range, allowing one to probe the full range of quantum
through classical behaviour.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 00:16:13 GMT""},{""version"":""v2"",""created"":""Wed, 27 Nov 1996 01:06:54 GMT""}]","2008-02-03"
"quant-ph/9611050","Hagen Kleinert","H. Kleinert, S. Thoms, and V. Schulte-Frohlinde","Stability of 3D Cubic Fixed Point in Two-Coupling-Constant \phi^4-Theory","Author Information under
  http://www.physik.fu-berlin.de/~kleinert/institution.html . Paper also at
  http://www.physik.fu-berlin.de/~kleinert/kleiner_re250/preprint.html","Phys.Rev. B56 (1997) 14428","10.1103/PhysRevB.56.14428",,"quant-ph cond-mat hep-th",,"  For an anisotropic euclidean $\phi^4$-theory with two interactions $[u
(\sum_{i=1^M {\phi}_i^2)^2+v \sum_{i=1}^M \phi_i^4]$ the $\beta$-functions are
calculated from five-loop perturbation expansions in $d=4-\varepsilon$
dimensions, using the knowledge of the large-order behavior and Borel
transformations. For $\varepsilon=1$, an infrared stable cubic fixed point for
$M \geq 3$ is found, implying that the critical exponents in the magnetic phase
transition of real crystals are of the cubic universality class. There were
previous indications of the stability based either on lower-loop expansions or
on less reliable Pad\'{e approximations, but only the evidence presented in
this work seems to be sufficently convincing to draw this conclusion.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 06:35:00 GMT""}]","2009-10-30"
"quant-ph/9611051","Sergei Shabanov","Sergei V. Shabanov","q-oscillators, (non-)Kaehler manifolds and constrained dynamics","plain Latex, 7 pages","Mod.Phys.Lett.A 10 (1995) 941-948","10.1142/S0217732395001034",,"quant-ph hep-th math.QA q-alg",,"  It is shown that q-deformed quantum mechanics (systems with q-deformed
Heisenberg commutation relations) can be interpreted as an ordinary quantum
mechanics on Kaehler manifolds, or as a quantum theory with second (or first)-
class constraints.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 14:56:04 GMT""}]","2009-10-30"
