"alg-geom/9610017","Rodriguez Romo Suemi-FESC","V.K. Kharchenko, J. Keller, S. Rodriguez-Romo","Prime rings with PI rings of constants","20 pages, LaTex2e, to appear in Israel Journal of Mathematics, volume
  96, part B, 1996 (357-377)",,,,"alg-geom math.AG math.QA q-alg",,"  It is shown that if the ring of constants of a restricted differential Lie
algebra with a quasi-Frobenius inner part satisfies a polynomial identity (PI)
then the original prime ring has a generalized polynomial identitiy (GPI). If
additionally the ring of constants is semiprime then the original ring is PI.
The case of a non-quasi-Frobenius inner part is also considered.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 16:59:22 GMT""}]","2008-02-03"
"hep-ph/9610380","FJ Yndurain","K. Adel, F. Barreiro and F. J. Yndur\'ain","Theory of Small $x$ Deep Inelastic Scattering NLO Evaluations, and low
  $Q^2$ Analysis","Tex file plus .ps figures. This paper includes the results from FTUAM
  96-39 [hep-ph/9610380] and FTUAM 96-44 [hep-ph/9612469]","Nucl.Phys. B495 (1997) 221-267","10.1016/S0550-3213(97)00187-9","FTUAM96-39","hep-ph",,"  We calculate structure functions at small $x$ both under the assumption of a
hard singularity (a power behaviour $x^{-\lambda}, \lambda$ positive, for
$x\rightarrow 0$) or that of a soft-Pomeron dominated behaviour, also called
double scaling limit, for the singlet component. A full next to leading order
(NLO) analysis is carried for the functions $F_2, F_{\rm Glue}$ and the
longitudinal one $F_L$ in $ep$ scattering, and for $x F_3$ in neutrino
scattering. The results of the calculations are compared with data (HERA) in
the range $x\leq 0.032, 10 gev^2\leq Q^2\leq 1 500 gev^2$. We get reasonable
fits, with a chi-squared/d.o.f.$\sim 2$, for both assumptions, but none of them
gives a fully satisfactory description. The results improve substantially if
combining a soft and a hard component; in this case it is even possible to
extend the analysis, phenomenologically, to small values of $Q^2$, $0.31
gev^2\leq Q^2\leq 8.5 gev^2$, and in the $x$ range $6\times10^{-6}\lsim x \lsim
0.04$, with the same hard plus soft Pomeron hypothesis by assuming a saturating
expression for the strong coupling,
$\tilde{\alpha}_s(Q^2)=4\pi/\beta_0\log[(Q^2+\Lambda_{eff}^2)/\Lambda_{eff}^2]$
The description for low $Q^2$ implies self-consistent values for the parameters
in the exponents of $x$. One gets, for the Regge intercepts,
$\alpha_{\rho}(0)=0.48$ and $\alpha_P(0)=1.470$ [$\lambda=0.470$], in uncanny
agreement with other determinations of these parameters, in particular the
results of the large $Q^2$ fits. The fit to is so good that we may look (at
large $Q^2$) for signals of a ""triple Pomeron"" vertex; some evidence is found.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 10:40:32 GMT""},{""version"":""v2"",""created"":""Wed, 8 Jan 1997 17:19:06 GMT""},{""version"":""v3"",""created"":""Mon, 13 Jan 1997 16:41:20 GMT""}]","2016-09-06"
"hep-th/9610101","Richard Brower","Richard C. Brower (BU/MIT), Kostas N. Orginos and Chung-I Tan (Brown
  Un.)","Magnetic monopole loop for the Yang-Mills instanton","19 pages, ReVTeX, 5 Encaptulated Postscript figures","Phys.Rev.D55:6313-6326,1997","10.1103/PhysRevD.55.6313","BROWN-HET-1041, MIT-CTP-2570","hep-th hep-lat",,"  We investigate 't Hooft-Mandelstam monopoles in QCD in the presence of a
single classical instanton configuration. The solution to the Maximal Abelian
projection is found to be a circular monopole trajectory with radius $R$
centered on the instanton. At zero loop radius, there is a marginally stable
(or flat) direction for loop formation to $O(R^4 logR)$. We argue that loops
will form, in the semi-classical limit, due to small perturbations such as the
dipole interaction between instanton anti-instanton pairs. As the instanton gas
becomes a liquid, the percolation of the monopole loops may therefore provide a
semi-classical precursor to the confinement mechanism.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 17:03:21 GMT""}]","2014-11-18"
"hep-th/9610103","Alexander Sevrin","Alexander Sevrin and Jan Troost","The Geometry of Supersymmetric Sigma-Models","8 pages, LaTeX, contribution to the proceedings of the workshop Gauge
  Theories, Applied Supersymmetry and Quantum Gravity, Imperial College,
  London, 1996",,"10.1142/9781848160927_0028","VUB/TENA/96/07","hep-th",,"  We review non-linear sigma-models with (2,1) and (2,2) supersymmetry. We
focus on off-shell closure of the supersymmetry algebra and give a complete
list of (2,2) superfields. We provide evidence to support the conjecture that
all N=(2,2) non-linear sigma-models can be described by these fields. This in
its turn leads to interesting consequences about the geometry of the target
manifolds. One immediate corollary of this conjecture is the existence of a
potential for hyper-Kahler manifolds, different from the Kahler potential,
which does not only allow for the computation of the metric, but of the three
fundamental two-forms as well. Several examples are provided: WZW models on
SU(2) x U(1) and SU(2) x SU(2) and four-dimensional special hyper-Kahler
manifolds.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 18:31:37 GMT""}]","2016-12-21"
"hep-th/9610105","Klaus Behrndt","K. Behrndt, G. Lopes Cardoso, B. de Wit, R. Kallosh, D. L\""ust, T.
  Mohaupt","Classical and quantum N=2 supersymmetric black holes","28 pages, LaTeX","Nucl.Phys.B488:236-260,1997","10.1016/S0550-3213(97)00028-X","CERN-TH/96-276 , HUB-EP-96/53 , SU-ITP-96-41 , THU-96/34","hep-th",,"  We use heterotic/type-II prepotentials to study quantum/classical black holes
with half the $N=2, D=4$ supersymmetries unbroken. We show that, in the case of
heterotic string compactifications, the perturbatively corrected entropy
formula is given by the tree-level entropy formula with the tree-level coupling
constant replaced by the perturbative coupling constant. In the case of type-II
compactifications, we display a new entropy/area formula associated with
axion-free black-hole solutions, which depends on the electric and magnetic
charges as well as on certain topological data of Calabi--Yau three-folds,
namely the intersection numbers, the second Chern class and the Euler number of
the three-fold. We show that, for both heterotic and type-II theories, there is
the possibility to relax the usual requirement of the non-vanishing of some of
the charges and still have a finite entropy.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 21:41:41 GMT""}]","2008-11-26"
"hep-th/9610106","Zurab Kakushadze","Zurab Kakushadze, S.-H. Henry Tye","A Classification of 3-Family Grand Unification in String Theory I. The
  SO(10) and E_6 Models","35 pages, Revtex 3.0, one eps figure (to appear in Phys. Rev. D)","Phys.Rev. D55 (1997) 7878-7895","10.1103/PhysRevD.55.7878","Cornell preprint CLNS 96/1433, Harvard preprint HUTP-96/A048,
  Northeastern preprint NUB 3145","hep-th hep-ph",,"  We give a classification of 3-family SO(10) and E_6 grand unification in
string theory within the framework of conformal field theory and asymmetric
orbifolds. We argue that the construction of such models in the heterotic
string theory requires certain Z_6 asymmetric orbifolds that include a Z_3
outer-automorphism, the latter yielding a level-3 current algebra for the grand
unification gauge group SO(10) or E_6. We then classify all such Z_6 asymmetric
orbifolds that result in models with a non-abelian hidden sector. All models
classified in this paper have only one adjoint (but no other higher
representation) Higgs field in the grand unified gauge group. In addition, all
of them are completely anomaly free. There are two types of such 3-family
models. The first type consists of the unique SO(10) model with SU(2) X SU(2) X
SU(2) as its hidden sector (which is not asymptotically-free at the string
scale). This SO(10) model has 4 left-handed and 1 right-handed 16s. The second
type is described by a moduli space containing 17 models (distinguished by
their massless spectra). All these models have an SU(2) hidden sector, and 5
left-handed and 2 right-handed families in the grand unified gauge group. One
of these models is the unique E_6 model with an asymptotically-free SU(2)
hidden sector. The others are SO(10) models, 8 of them with an asymptotically
free hidden sector at the string scale.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 21:49:25 GMT""},{""version"":""v2"",""created"":""Tue, 14 Jan 1997 01:12:49 GMT""},{""version"":""v3"",""created"":""Thu, 16 Jan 1997 01:16:22 GMT""},{""version"":""v4"",""created"":""Tue, 29 Apr 1997 01:38:00 GMT""}]","2009-10-30"
"hep-th/9610107",,"H. Lu, S. Mukherji, C.N. Pope and K.-W. Xu","Cosmological Solutions in String Theories","Latex, 21 pages, a reference adjusted","Phys.Rev.D55:7926-7935,1997","10.1103/PhysRevD.55.7926","CTP TAMU-51/96, IC/96/211","hep-th gr-qc",,"  We obtain a large class of cosmological solutions in the
toroidally-compactified low energy limits of string theories in $D$ dimensions.
We consider solutions where a $p$-dimensional subset of the spatial
coordinates, parameterising a flat space, a sphere, or an hyperboloid,
describes the spatial sections of the physically-observed universe. The
equations of motion reduce to Liouville or $SL(N+1,R)$ Toda equations, which
are exactly solvable. We study some of the cases in detail, and find that under
suitable conditions they can describe four-dimensional expanding universes. We
discuss also how the solutions in $D$ dimensions behave upon oxidation back to
the $D=10$ string theory or $D=11$ M-theory.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 00:38:30 GMT""},{""version"":""v2"",""created"":""Wed, 16 Oct 1996 18:08:51 GMT""},{""version"":""v3"",""created"":""Tue, 5 Nov 1996 00:01:12 GMT""}]","2009-10-07"
"hep-th/9610108","Schubert","Christian Schubert (Humboldt University Berlin)","An Introduction to the Worldline Technique for Quantum Field Theory
  Calculations","33 pages, 10 figures, Latex, uses din_a4, epsf and epsfig, Lectures
  given at XXXVI Cracow School of Theoretical Physics Zakopane 1996, minor
  corrections","Acta Phys.Polon.B27:3965-4001,1996",,"HUB-EP-96/30","hep-th hep-ph",,"  These two lectures give a pedagogical introduction to the ``string-inspired''
worldline technique for perturbative calculations in quantum field theory. This
includes an overview over the present range of its applications. Several
examples are calculated in detail, up to the three-loop level. The emphasis is
on photon scattering in quantum electrodynamics.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 00:56:57 GMT""},{""version"":""v2"",""created"":""Sun, 3 Aug 1997 15:29:24 GMT""}]","2011-04-15"
"hep-th/9610109","Lautaro Vergara C.","Carlos Contreras and Lautaro Vergara","The Nielsen Identities for the generalized $R_\xi$-gauge","10 pages, Revtex. One eps-figure in separated file","Phys.Rev.D55:5241-5244,1997; Erratum-ibid.D56:6714,1997","10.1103/PhysRevD.55.5241 10.1103/PhysRevD.56.6714",,"hep-th",,"  We show that it is possible, in opposition to a previous conjecture, to
derive a Nielsen identity for the effective action in the case of the
generalized $R_\xi $-gauge, where the gauge function explicitly depends on the
gauge parameter $\xi $. Also the Nielsen identity for the effective potential
is verified to one-loop in the Abelian Higgs model and the corresponding
identity for the physical Higgs mass is derived.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 17:47:10 GMT""}]","2014-11-18"
"hep-th/9610110",,"Kurt Lechner and Mario Tonin","World-manifold and target space anomalies in heterotic Green-Schwarz
  strings and five-branes","9 pages, no figures, talk given at the Conference ""Gauge Theories,
  Applied Supersymmetry and Quantum Gravity"", London, July 1996",,"10.1142/9781848160927_0022",,"hep-th",,"  The quantum consistency of sigma-models describing the dynamics of extended
objects in a curved background requires the cancellation of their world-volume
anomalies, which are conformal anomalies for the heterotic string and $SO(1,5)$
Lorentz-anomalies for the heterotic five-brane, and of their ten dimensional
target space anomalies. In determining these anomalies in a $D=10$
Lorentz-covariant back-ground gauge we find that for the heterotic string the
worldvolume anomalies cancel for 32 heterotic fermions while for the
conjectured heterotic five-brane they cancel for only 16 heterotic fermions,
this result being in contrast with the string/five-brane duality conjecture.
For what concerns the target space anomalies we find that the five-brane
eight-form Lorentz-anomaly polynomial differs by a factor of $1/2$ from what is
expected on the basis of duality. Possible implications of these results are
discussed.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 11:19:54 GMT""}]","2016-12-21"
"hep-th/9610113","Pms4","Richard Battye and Paul Sutcliffe","Multi-soliton dynamics in the Skyrme model","latex, 10 pages, plus 5 figures (as gif files)","Phys.Lett. B391 (1997) 150-156","10.1016/S0370-2693(96)01441-4","UKC/IMS/96-62, IMPERIAL/TP/95-96/72","hep-th hep-ph nucl-th",,"  We exhibit the dynamical scattering of multi-solitons in the Skyrme model for
configurations with charge two, three and four. First, we construct maximally
attractive configurations from a simple profile function and the product
ansatz. Then using a sophisticated numerical algorithm, initially
well-separated skyrmions in approximately symmetric configurations are shown to
scatter through the known minimum energy configurations. These scattering
events illustrate a number of similarities to BPS monopole configurations of
the same charge. A simple modification of the dynamics to a dissipative regime,
allows us to compute the minimal energy skyrmions for baryon numbers one to
four to within a few percent.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 12:24:56 GMT""}]","2009-10-30"
"hep-th/9610114","Robert Coquereaux","Robert Coquereaux (1 and 2) ((1) Instituto Balseiro, Centro Atomico de
  Bariloche, Argentina, (2) CPT, CNRS, Marseille, France)","On the finite dimensional quantum group M_3 + (M_{2|1}(Lambda^2))_0","16 pages, LaTeX, 2 eps figures","Lett.Math.Phys. 42 (1997) 309-328",,"CPT-96/P.3388","hep-th math.QA q-alg",,"  We describe a few properties of the non semi-simple associative algebra H =
M_3 + (M_{2|1}(Lambda2))_0, where Lambda2 is the Grassmann algebra with two
generators. We show that H is not only a finite dimensional algebra but also a
(non co-commutative) Hopf algebra, hence a finite dimensional quantum group. By
selecting a system of explicit generators, we show how it is related with the
quantum enveloping algebra of SLq(2) when the parameter q is a cubic root of
unity. We describe its indecomposable projective representations as well as the
irreducible ones. We also comment about the relation between this object and
the theory of modular representations of the group SL(2,F3), i.e. the binary
tetrahedral group. Finally, we briefly discuss its relation with the Lorentz
group and, as already suggested by A.Connes, make a few comments about the
possible use of this algebra in a modification of the Standard Model of
particle physics (the unitary group of the semi-simple algebra associated with
H is U(3) x U(2) x U(1)).
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 12:39:10 GMT""}]","2008-02-03"
"hep-th/9610115","Carlos Laciana","Carlos E. Laciana","Temperature Notion in a Curved Spacetime","12 pages",,,,"hep-th",,"  Scalar radiation, represented by a massless scalar field in a
Robertson-Walker metric, is taken into account. By using a weak non minimum
vacuum definition, the radiation temperature as a time dependent function is
obtained. When the universe evolution is nearly but non equal to $t^{1/2}$, it
is possible to fit the temperature of the microwave background. A particular
massive case is compared with the massless one. When the mass of the matter
field is next to the Planck one and the time is going to infinite, a similar
result to the Hawking radiation of the blackhole is obtained.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 10:04:00 GMT""}]","2007-05-23"
"hep-th/9610116","Carlos Laciana","Carlos E. Laciana","Thermal and Dynamical Particle Creation in a Curved Geometry","13 pages","Annals Phys.264:95-107,1998","10.1006/aphy.1997.5779",,"hep-th",,"  A generalization of ``Termo Field Dynamics'' to a curved geometry is
proposed. In particular a neutral scalar field minimally coupled to gravity is
considered as matter content in a Robertson-Walker metric. A non linear
amplification in the particle creation is obtained, due to the altogether
action of thermal and geometric effects. As a consequence the frequencies in
the system look like red shifted with respect to the case where the thermal
creation is not taken into account.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 10:55:00 GMT""}]","2014-11-18"
"hep-th/9610117","Carlos Laciana","Carlos E. Laciana","Rotation Operator vs Particle Creation in a Curved Space Time","10 pages","Nuovo Cim. B114 (1999) 515-522",,,"hep-th",,"  Taking into account a neutral massive scalar field minimally coupled to
gravity, in a Robertson-Walker metric, it is shown that when the final state is
connected with the initial one by means of a Bogoliubov transformation, which
does not include the single-mode rotation operator, the mean value of created
particles is conserved. When the rotation operator is considered, it is still
possible to use the approach of single-mode squeezed operators and get the
entropy as the logarithm of the created particles.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 11:40:00 GMT""}]","2007-05-23"
"hep-th/9610118","Mueller-Kirsten","J.-G. Zhou, J.-Q. Liang, J. Burzlaff, H.J.W. Mueller-Kirsten","Instanton Induced Tunneling Amplitude at Excited States with the LSZ
  Method","8 pages, LaTex, no figures",,"10.1016/S0375-9601(96)00797-9","KL-TH-96/1","hep-th cond-mat",,"  Quantum tunneling between degenerate ground states through the central
barrier of a potential is extended to excited states with the instanton method.
This extension is achieved with the help of an LSZ reduction technique as in
field theory and may be of importance in the study of macroscopic quantum
phenomena in magnetic systems.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 14:53:08 GMT""}]","2015-06-26"
"hep-th/9610119","Herve Partouche","H. Partouche","Non Perturbative Check of N=2, D=4 Heterotic/Type II Duality","Contribution to the proceedings of the Spring School and Workshop on
  String Theory, Gauge Theory and Quantum Gravity, I.C.T.P., Trieste, Italy,
  March 18-29. latex2e, uses espcrc2.sty","Nucl.Phys.Proc.Suppl. 55B (1997) 210-218","10.1016/S0920-5632(97)00081-9","CPTH-RR469.1096","hep-th",,"  We review here some of the checks of string-string duality between N=2, D=4
Heterotic and Type II models. The heterotic low energy field theory is
reproduced on the type II side. It is also shown to be a generalization in the
string context of the rigid $N=2$ Yang-Mills theory of Seiberg and Witten which
is exactly known. The non perturbative information of this rigid theory is then
recovered on the type II side. This talk is based on a work done in
collaboration with I. Antoniadis.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 15:21:29 GMT""}]","2009-10-30"
"nucl-th/9610021",,"Bryan E. Barmore (College of William and Mary)","Vector meson radiation in relativistic heavy-ion collisions","17 pages, 4 postscript figures. Uses elsart.sty and psfig.sty.
  Improved motivation and typographical corrections. Accepted for publication
  by Nuclear Physics A","Nucl.Phys. A622 (1997) 605-619","10.1016/S0375-9474(97)80702-6",,"nucl-th",,"  The sigma-omega model in mean-field approximation where the meson fields are
treated classically, describes much of observed nuclear structure and has been
employed to describe the nuclear equation of state up to the quark-gluon phase
transition. The acceleration of the meson sources, for example, in relativistic
heavy-ion collisions, should result in bremsstrahlung-like radiation of the
meson fields. The many mesons emitted serve to justify the use of classical
meson fields. The slowing of the nuclei during the collision is modeled here as
a smooth transition from initial to final velocity. Under ultra-relativistic
conditions, vector radiation dominates. The angular distribution of energy flux
shows a characteristic shape. It appears that if the vector meson field couples
to the conserved baryon current, independent of the baryonic degrees of
freedom, this mechanism will contribute to the radiation seen in relativistic
heavy-ion collisions. The possible influence of the quark-gluon plasma is also
considered.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 15:24:30 GMT""},{""version"":""v2"",""created"":""Mon, 16 Jun 1997 18:37:38 GMT""}]","2009-10-30"
"physics/9610012","Erasmo Recami","Jian-yu Lu, J. F. Greenleaf and Erasmo Recami","Limited-Diffraction Solutions to Maxwell and to Schroedinger Equations","paper submitted in ps form [also available in SGML language from the
  authors]. Figs.1-3 in postcript, and Figs.4-6 (by fax to SLAC) are sent
  separately",,,,"physics.gen-ph physics.class-ph quant-ph",,"  We have developed a new family of limited-diffraction electromagnetic
X-shaped waves based on the scalar ""X waves"" discovered previously. These waves
are diffraction-free in theory and particle-like (wave packets), in that they
maintain their shape as they propagate to an infinite distance. The X waves
possess (theoretically) infinitely extended arms, and --at least, the ones
studied in this paper-- have an infinite total energy: therefore, they are not
physically realizable. However, they can be truncated in both space and time
and approximated by means of a finite aperture radiator so to get a large
enough depth of interest (depth of field). In addition to the Maxwell
equations, X wave solutions to the free Schroedinger equation are also
obtained. Possible applications of these new waves are discussed. Finally, we
discuss the appearance of the X-shaped solutions from the purely geometric
point of view of the Special Relativity theory. [PACS nos. 03.40.Kf, 03.50.De,
41.20.Jb, 41.20.Bt, 42.25.Bs, 03.30.+p, 03.65.-w].
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 22:45:15 GMT""}]","2009-09-25"
"q-alg/9610020","Sergey Arhipov","Sergey Arkhipov (Independent University of Moscow)","Semiinfinite cohomology of quantum groups II","AMSLaTeX, 42 pages",,,,"q-alg math.QA",,"  It is known that the semi-infinite cohomology spaces of the infinitely
twisted nilpotent subalgebra in an affine Lie algebra $g$ with coefficients in
an integrable simple module over the affine Lie algebra have a base enumerated
by elements of the corresponding affine Weyl group graded by the semiinfinite
length function. Let $U$ be the affine quantum group corresponding to $g$. It
is possible to define a subalgebra in $U$ being the quantum analogue of the
universal enveloping algebra of the infinitely twisted nilpotent subalgebra in
$g$. In this paper we prove that for general values of the parameter $v$ the
semiinfinite cohomology of this associative algebra with coefficients in an
integrable simple module over $U$ coincides with the one of the corresponding
Lie subalgebra in $g$ with coefficients in the corresponding $g$-module.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 17:08:36 GMT""}]","2008-02-03"
"q-alg/9610021","Boucif Abdesselam","Boucif Abdesselam","The Twisted Heisenberg Algebra ${\cal U}_{h,w}({\cal H}(4))$","21 pages, latex, no figures, Somes comments and references has been
  added, version to be published in Journal of Mathematical Physics",,"10.1063/1.532201","CPTH-S464.1196","q-alg math.QA",,"  A two parametric deformation of the enveloping Heisenberg algebra ${\cal
H}(4)$ which appear as a combination of the standard and a nonstandard
quantization given by Ballesteros and Herranz is defined and proved to be
Ribbon Hopf algebra. The universal ${\cal R}$-matrix and its associated quantum
group are constructed. New solution of Braid group are obtained. The
contribution of these parameters in invariants of links and WZW model are
analyzed. General results for twisted Ribbon Hopf algebra are derived.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 12:05:14 GMT""},{""version"":""v2"",""created"":""Fri, 27 Jun 1997 12:43:56 GMT""}]","2009-10-30"
"quant-ph/9610021","Hong-Chen FU","Hong-Chen Fu and Ryu Sasaki","Hypergeometric States and Their Nonclassical Properties","17 pages, latex, 7 EPS figures","J.Math.Phys.38:2154-2166,1997","10.1063/1.531965","YITP-96-52","quant-ph",,"  `Hypergeometric states', which are a one-parameter generalization of binomial
states of the single-mode quantized radiation field, are introduced and their
nonclassical properties are investigated. Their limits to the binomial states
and to the coherent and number states are studied. The ladder operator
formulation of the hypergeometric states is found and the algebra involved
turns out to be a one-parameter deformation of $su(2)$ algebra. These states
exhibit highly nonclassical properties, like sub-Poissonian character,
antibunching and squeezing effects. The quasiprobability distributions in phase
space, namely the $Q$ and the Wigner functions are studied in detail. These
remarkable properties seem to suggest that the hypergeometric states deserve
further attention from theoretical and applicational sides of quantum optics.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 01:17:32 GMT""}]","2008-11-26"
"quant-ph/9610022","Hong-Chen FU","Hong-Chen Fu and Ryu Sasaki","Negative Binomial and Multinomial States: probability distributions and
  coherent states","24 pages, latex, no figures","J.Math.Phys. 38 (1997) 3968-3987","10.1063/1.532102","YITP-96-53","quant-ph",,"  Following the relationship between probability distribution and coherent
states, for example the well known Poisson distribution and the ordinary
coherent states and relatively less known one of the binomial distribution and
the $su(2)$ coherent states, we propose ``interpretation'' of $su(1,1)$ and
$su(r,1)$ coherent states ``in terms of probability theory''. They will be
called the ``negative binomial'' (``multinomial'') ``states'' which correspond
to the ``negative'' binomial (multinomial) distribution, the non-compact
counterpart of the well known binomial (multinomial) distribution. Explicit
forms of the negative binomial (multinomial) states are given in terms of
various boson representations which are naturally related to the probability
theory interpretation. Here we show fruitful interplay of probability theory,
group theory and quantum theory.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 01:59:50 GMT""}]","2016-09-08"
"quant-ph/9610023","Chau Hoi Fung","H. F. Chau","Correcting Quantum Errors In Higher Spin Systems","In REVTEX 3.0, requires AMS fonts. Typos corrected. To appear in PRA
  (Rapid Comm.)",,"10.1103/PhysRevA.55.R839","HKUPHYS-HFC-01","quant-ph",,"  I consider the theory of quantum error correcting code (QECC) where each
quantum particle has more than two possible eigenstates. In this higher spin
system, I report an explicit QECC that is related to the symmetry group ${\Bbb
Z}_2^{\otimes (N-1)} \otimes S_N$. This QECC, which generalizes Shor's simple
majority vote code, is able to correct errors arising from exactly one quantum
particle. I also provide a simple encoding algorithm.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 09:51:50 GMT""},{""version"":""v2"",""created"":""Sun, 1 Dec 1996 06:34:12 GMT""}]","2009-10-30"
