"alg-geom/9612018","Takeshi Kawachi","Takeshi Kawachi","Effective base point freeness on a normal surface","AmS-TeX 2.1, 15pages + 1 PostScript graphic page",,,,"alg-geom math.AG",,"  This treats the base-point-freeness of the adjoint bundles on normal surfaces
with a boundary. This is an extension of the non-relative version of the
theorem of Ein-Lazarsfeld-Masek and the theorem of Kawachi-Masek.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 07:50:32 GMT""},{""version"":""v2"",""created"":""Mon, 20 Jan 1997 06:05:45 GMT""}]","2008-02-03"
"hep-th/9612205","Andreas Recknagel","J. Froehlich, O. Grandjean, A. Recknagel (ETH Zuerich)","Supersymmetric quantum theory and (non-commutative) differential
  geometry","125 pages, Plain TeX file","Commun.Math.Phys. 193 (1998) 527-594","10.1007/s002200050339","ETH-TH/96-45","hep-th",,"  We reconsider differential geometry from the point of view of the quantum
theory of non-relativistic spinning particles, which provides examples of
supersymmetric quantum mechanics. This enables us to encode geometrical
structure in algebraic data consisting of an algebra of functions on a manifold
and a family of supersymmetry generators represented on a Hilbert space. We
show that known types of differential geometry can be classified in terms of
the supersymmetries they exhibit. Replacing commutative algebras of functions
by non-commutative *-algebras of operators, while retaining supersymmetry, we
arrive at a formulation of non-commutative geometry encompassing and extending
Connes' original approach. We explore different types of non-commutative
geometry and introduce notions of non-commutative manifolds and non-commutative
phase spaces. One of the main motivations underlying our work is to construct
mathematical tools for novel formulations of quantum gravity, in particular for
the investigation of superstring vacua.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 16:43:00 GMT""}]","2016-09-06"
"hep-th/9612206","Bergerhoff Bastian","Christof Wetterich (ITP, U Heidelberg)","Time Evolution of Non-Equilibrium Effective Action","8 pages, Latex","Phys.Rev.Lett. 78 (1997) 3598-3601","10.1103/PhysRevLett.78.3598",,"hep-th cond-mat",,"  The time evolution of correlation functions in statistical systems is
described by an exact functional differential equation for the corresponding
generating functionals. This allows for a systematic discussion of
non-equilibrium physics and the approach to equilibrium without the need of
solving the nonlinear microscopic equations of motion or computing the time
dependence of the probability distribution explicitly.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 18:16:27 GMT""}]","2009-10-30"
"hep-th/9612207","Witold Skiba","Csaba Csaki (MIT), Martin Schmaltz (Boston U.) and Witold Skiba (MIT)","Confinement in N=1 SUSY Gauge Theories and Model Building Tools","41 pages, LaTeX; typos in Section 3.3 corrected, no major changes","Phys.Rev.D55:7840-7858,1997","10.1103/PhysRevD.55.7840","MIT-CTP-2597, BUHEP-96-46","hep-th hep-ph",,"  We develop a systematic approach to confinement in N=1 supersymmetric
theories. We identify simple necessary conditions for theories to confine
without chiral symmetry breaking and to generate a superpotential
non-perturbatively (s-confine). Applying these conditions we identify all N=1
theories with a single gauge group and no tree-level superpotential which
s-confine. We give a complete list of the confined spectra and superpotentials.
Some of these theories are of great interest for model building. We give
several new examples of models which break supersymmetry dynamically.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 18:47:44 GMT""},{""version"":""v2"",""created"":""Thu, 20 Mar 1997 18:24:11 GMT""}]","2009-09-17"
"hep-th/9612208","M. Abouzeid","M. Abou Zeid and C. M. Hull","Geometry, Isometries and Gauging of (2,1) Heterotic Sigma-Models","12 pages, LaTeX, no figures. Minor changes; version to appear in
  Physics Letters B","Phys.Lett.B398:291-297,1997","10.1016/S0370-2693(97)00242-6","QMW-PH-96-29","hep-th",,"  The geometry of (2,1) supersymmetric sigma-models is reviewed and the
conditions under which they have isometry symmetries are analysed. Certain
potentials are constructed that play an important role in the gauging of such
symmetries. The gauged action is found for a special class of models.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 19:46:31 GMT""},{""version"":""v2"",""created"":""Wed, 12 Mar 1997 15:25:42 GMT""}]","2011-07-19"
"hep-th/9612209","Mauri Miettinen","Mauri Miettinen (Uppsala University)","Weil Algebras and Supersymmetry","12 pages, LaTeX",,,"UU-ITP27/96","hep-th",,"  We give a new interpretation for the super loop space that has been used to
formulate supersymmetry. The fermionic coordinates in the super loop space are
identified as the odd generators of the Weil algebra. Their bosonic
superpartners are the auxiliary fields. The general N=1 supermultiplet is
interpreted in terms of Weil algebras. As specific examples we consider
supersymmetric quantum mechanics, Wess-Zumino model and supersymmetric
Yang-Mills theory in four dimensions. Some comments on the formulation of
constrained systems and integrable models and non-Abelian localization are
given.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 09:56:04 GMT""}]","2007-05-23"
"hep-th/9612210","Denis Bernard","Michel Bauer and Denis Bernard","On Root Multiplicities of Some Hyperbolic Kac-Moody Algebras","10 pages, LaTeX","Lett.Math.Phys.42:153-166,1997","10.1023/A:1007317602691","SPhT-96-145","hep-th math.QA q-alg",,"  Using the coset construction, we compute the root multiplicities at level
three for some hyperbolic Kac-Moody algebras including the basic hyperbolic
extension of $A_1^{(1)}$ and $E_{10}$.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 10:48:06 GMT""}]","2008-11-26"
"hep-th/9612211",,"V. B. Kopeliovich, B. E. Stern (INR, Moscow, Russia)","SU(3)-skyrmions","8 pages, 3 figures (available by request); extended talk at the
  Conference Quarks-96, Yaroslavl', Russia, May 1996",,,,"hep-th",,"  The consideration of the bound skyrmions with large strangeness content is
continued. The connection between B=2 SO(3)-hedgehog and SU(2)-torus is
investigated and the quantization of the dipole- type configuration with large
strangeness content is described.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 12:01:24 GMT""}]","2009-09-25"
"hep-th/9612212","Rudolf Frick","Rudolf A. Frick","A new Hamiltonian for a massive relativistic particle with spin one in a
  generalized Heisenberg/Schr\""odinger picture","14 pages Latex. Submitted to Journal of Mathematical Physics","J.Math.Phys. 38 (1997) 3457-3465; Erratum-ibid. 39 (1998) 2455","10.1063/1.532233",,"hep-th",,"  We consider a particular 4-dimensional generalization of the transition from
the Heisenberg to the Schr\""odinger picture. The space-time independent
expansion with respect to the unitary irreducible representations of the
Lorentz group is applied, as Fourier transformation in the Heisenberg picture,
to the states of a massive relativistic particle. A new Hamiltonian operator
has been found for such a particle with spin one.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 12:19:43 GMT""}]","2009-10-30"
"hep-th/9612213",,"Bj{\o}rn Jensen and Ulf Lindstr\""om","Classical Interactions for Tensionless Strings","9 pages, Latex","Phys.Lett. B398 (1997) 83-87","10.1016/S0370-2693(97)00204-9","OSLO-TP 20-96, USITP-96-18","hep-th",,"  Using an ``action at a distance'' formulation we probe the possible classical
interactions for tensionless strings, (the $T\to 0$ limit of the ordinary
bosonic string.) We find $G_{\mu\nu}$ and $B_{\mu\nu}$ type interactions but no
dilaton interactions.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 12:20:17 GMT""}]","2009-10-30"
"math/9612206",,"Martin Bridson","Fractional Isoperimetric Inequalities and subgroup distortion","DVI and PostScript files, 19 pages",,,"MAGNUS preprint #96-12-20A","math.GR",,"  It is shown that there exist infinitely many non-integers $r>2$ such that the
Dehn function of some finitely presented group is $\simeq n^r$. For each
positive rational number $s$ we construct pairs of finitely presented groups
$H\subset G$ such that the distortion of $H$ in $G$ is $\simeq n^s$. And for
each $s\ge 1$ we also construct finitely presented groups whose isodiametric
function is $\simeq n^s$.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 00:00:00 GMT""}]","2008-02-03"
"nucl-ex/9612005","Walter F. J. Mueller","A. Trzcinski, B. Zwieglinski (Soltan Institute for Nuclear Studies,
  Warsaw), ALADIN collaboration","MSX - A Monte-Carlo Code for Neutron Efficiency Calculations for Large
  Volume Gd-loaded Liquid Scintillation Detectors","4 pages, TeX with 2 included figures; To appear in the proceedings of
  the XXXI Zakopane School of Physics, Zakopane, Poland, September 3-11, 1996
  Also available from http://www-kp3.gsi.de/www/kp3/aladin_publications.html","Acta Phys.Polon.B28:145-148,1997",,,"nucl-ex",,"  Some properties of the code newly developed to simulate the neutron detection
process in a neutron multiplicity meter are briefly described.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 20:46:24 GMT""}]","2011-04-15"
"nucl-th/9612056","F. Steffens","F. M. Steffens and A. W. Thomas (Univ. of Adelaide)","The Flavor Asymmetry of the Nucleon Sea","To appear in Phys. Rev. C","Phys.Rev.C55:900-908,1997","10.1103/PhysRevC.55.900","ADP-96-28/T227","nucl-th hep-ph",,"  We re-examine the effects of anti-symmetry on the anti-quarks in the nucleon
sea arising from gluon exchange and pion exchange between confined quarks.
While the effect is primarily to suppress anti-down relative to anti-up quarks,
this is numerically insignificant for the pion terms.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 15:10:06 GMT""}]","2010-03-26"
"patt-sol/9612002","Eckmann J.-P.","J.-P. Eckmann, C.E. Wayne, P. Wittwer","Geometric Stability Analysis for Periodic Solutions of the
  Swift-Hohenberg Equation","44 pages, plain tex, 0 figures",,"10.1007/s002200050238",,"patt-sol chao-dyn funct-an math.FA nlin.CD nlin.PS physics.flu-dyn",,"  In this paper we describe invariant geometrical ~structures in the phase
space of the Swift-Hohenberg equation in a neighborhood of its periodic
stationary states. We show that in spite of the fact that these states are only
marginally stable (i.e., the linearized problem about these states has
continuous spectrum extending all the way up to zero), there exist finite
dimensional invariant manifolds in the phase space of this equation which
determine the long-time behavior of solutions near these stationary solutions.
In particular, using this point of view, we obtain a new demonstration of
Schneider's recent proof that these states are nonlinearly stable.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 07:24:30 GMT""}]","2009-10-30"
"physics/9612011","James F. Babb","Zong-Chao Yan, A. Dalgarno, and J. F. Babb","Long-range interactions of lithium atoms","RevTeX, epsf, 22 pages, 4 figs","Phys. Rev. A 55 (1997), 2882","10.1103/PhysRevA.55.2882","CfA 4463","physics.atom-ph",,"  The long-range interactions of two atoms, of an atom and a dielectric wall,
of an atom and a perfectly conducting wall, and of an atom between two
perfectly conducting walls are calculated, including the effects of
retardation, for Li using dynamic polarizabilities determined from highly
correlated, variationally determined wave functions.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 15:47:52 GMT""}]","2008-02-03"
"q-alg/9612029","Andrzej Sitarz","Mario Paschke, Andrzej Sitarz (Johannes-Gutenberg Universitaet Mainz)","Discrete spectral triples and their symmetries","24 pages, LaTeX2e, uses AMS math packages [minor changes in text,
  typing errors corrected]",,,"MZ-TH/96-40","q-alg math.QA",,"  We classify 0-dimensional spectral triples over complex and real algebras and
provide some general statements about their differential structure. We
investigate also whether such spectral triples admit a symmetry arising from
the Hopf algebra structure of the finite algebra. We discuss examples of
commutative algebras and groups algebras.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 15:24:21 GMT""},{""version"":""v2"",""created"":""Thu, 20 Feb 1997 14:43:29 GMT""}]","2016-09-08"
"quant-ph/9612048","Richard Cleve","Richard Cleve","Quantum Stabilizer Codes and Classical Linear Codes","17 pages, ReVTeX, with two figures",,"10.1103/PhysRevA.55.4054",,"quant-ph",,"  We show that within any quantum stabilizer code there lurks a classical
binary linear code with similar error-correcting capabilities, thereby
demonstrating new connections between quantum codes and classical codes. Using
this result -- which applies to degenerate as well as nondegenerate codes --
previously established necessary conditions for classical linear codes can be
easily translated into necessary conditions for quantum stabilizer codes.
Examples of specific consequences are: for a quantum channel subject to a
delta-fraction of errors, the best asymptotic capacity attainable by any
stabilizer code cannot exceed H(1/2 + sqrt(2*delta*(1-2*delta))); and, for the
depolarizing channel with fidelity parameter delta, the best asymptotic
capacity attainable by any stabilizer code cannot exceed 1-H(delta).
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 05:35:44 GMT""}]","2009-10-30"
"quant-ph/9612049","Kotel'nikov Gennadii","G. A. Kotel'nikov (RRC ""Kurchatov Institute"", Moscow, Russia)","Symmetries of the free Schrodinger Equation","14 pages, LaTex","Journal of Russian Laser Research, 23 (2002) 565-579",,"IAE-5778/1","quant-ph",,"  An algorithm is proposed for research into the symmetrical properties of
theoretical and mathematical physics equations. The application of this
algorithm to the free Schrodinger equation permited us to establish that in
addition to the known Galilei symmetry, the free Schrodinger equation possesses
also the relativistic symmetry in some generalized sense. This property of the
free Schrodinger equation permits the equation to be extended into the
relativistic area of movements of a particle being studied.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 13:38:46 GMT""}]","2007-05-23"
"solv-int/9612007","Adam Doliwa","A. Doliwa and P. M. Santini","Multidimensional Quadrilateral Lattices are Integrable","18 pages, LaTeX, 6 Postscript figures","Phys. Lett. A 233 (1997) 365.","10.1016/S0375-9601(97)00456-8","ROME1-1162/96","solv-int hep-lat nlin.SI",,"  The notion of multidimensional quadrilateral lattice is introduced. It is
shown that such a lattice is characterized by a system of integrable discrete
nonlinear equations. Different useful formulations of the system are given. The
geometric construction of the lattice is also discussed and, in particular, it
is clarified the number of initial--boundary data which define the lattice
uniquely.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 17:02:07 GMT""}]","2009-10-30"
"solv-int/9612008","Jaroslav Dittrich","J. Dittrich, V. I. Inozemtsev","On the two-magnon bound states for the quantum Heisenberg chain with
  variable range exchange","8 pages, latex, no figures",,"10.1142/S0217984997000554",,"solv-int cond-mat.stat-mech nlin.SI",,"  The spectrum of finite-difference two-magnon operator is investigated for
quantum S=1/2 chain with variable range exchange of the form $h(j-k)\propto
\sinh^{-2}a(j-k)$. It is found that usual bound state appears for some values
of the total pseudomomentum of two magnons as for the Heisenberg chain with
nearest-neighbor spin interaction. Besides this state, a new type of bound
state with oscillating wave function appears at larger values of the total
pseudomomentum.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 09:31:03 GMT""}]","2009-10-30"
