"alg-geom/9612008","Jim Bryan","Jim Bryan and Marc Sanders","Instantons on $S^{4}$ and $\cpbar $, rank stabilization, and Bott
  periodicity","20 pages, keywords: instantons, holomorphic bundles, Bott periodicity
  LaTeX2e",,,,"alg-geom math.AG",,"  We study the large rank limit of the moduli spaces of framed bundles on the
projective plane and the blown-up projective plane. These moduli spaces are
identified with various instanton moduli spaces on the 4-sphere and $\cpbar $,
the projective plane with the reverse orientation. We show that in the direct
limit topology, these moduli spaces are homotopic to classifying spaces. For
example, the moduli space of $Sp(\infty)$ or $SO(\infty)$ instantons on $\cpbar
$ has the homotopy type of $BU(k)$ where $k$ is the charge of the instantons.
We use our results along with Taubes' result concerning the $k\to \infty $
limit to obtain a novel proof of the homotopy equivalences in the eight-fold
Bott periodicity spectrum. We give explicit constructions for these moduli
spaces.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 07:35:54 GMT""}]","2008-02-03"
"hep-th/9612104","Rafael Hernandez","Cesar Gomez (IMAFF, CSIC)","D-Brane Probes and Mirror Symmetry","Latex file. 13 pages",,,,"hep-th",,"  We study the effect of mirror symmetry for K3 surfaces on D-brane probe
physics. The case of elliptically fibered K3 surfaces is considered in detail.
In many cases, mirror can transform a singular fiber of Kodaira's type ADE into
sets of singular fibers of type I_1 (II) with equal total Euler number, but
vanishing contribution to the Picard number of the mirror surface. This
provides a geometric model of quantum splitting phenomena. Mirror for three
dimensional gauge theories, interchanging Fayet-Iliopoulos and mass terms, is
also briefly discussed.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 16:37:49 GMT""}]","2016-09-06"
"hep-th/9612105","Riccardo D'Auria","L. Andrianopoli, R. D'Auria, S. Ferrara","U-Duality and Central Charges in Various Dimensions Revisited","Misprints corrected and some relations added in six dimensional
  non-chiral theories","Int.J.Mod.Phys. A13 (1998) 431-490","10.1142/S0217751X98000196",,"hep-th",,"  A geometric formulation which describes extended supergravities in any
dimension in presence of electric and magnetic sources is presented. In this
framework the underlying duality symmetries of the theories are manifest.
Particular emphasis is given to the construction of central and matter charges
and to the symplectic structure of all D=4, N-extended theories. The latter may
be traced back to the existence, for N>2, of a flat symplectic bundle which is
the N>2 generalization of N=2 Special Geometry.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 16:31:05 GMT""},{""version"":""v2"",""created"":""Fri, 23 May 1997 12:01:39 GMT""},{""version"":""v3"",""created"":""Tue, 2 Dec 1997 17:06:59 GMT""},{""version"":""v4"",""created"":""Thu, 5 Mar 1998 18:31:15 GMT""}]","2009-10-30"
"hep-th/9612108","Paul Aspinwall","Paul S. Aspinwall","Point-like Instantons and the Spin(32)/Z2 Heterotic String","30 pages, LaTeX2e+AMSTeX, one separate PS figure, many embedded
  figures, minor fixes","Nucl.Phys.B496:149-176,1997","10.1016/S0550-3213(97)00232-0","RU-96-113","hep-th",,"  We consider heterotic string theories compactified on a K3 surface which lead
to an unbroken perturbative gauge group of Spin(32)/Z2. All solutions obtained
are combinations of two types of point-like instanton --- one ``simple type''
as discovered by Witten and a new type associated to the ``generalized second
Stiefel-Whitney class'' as introduced by Berkooz et al. The new type of
instanton is associated to an enhancement of the gauge symmetry by Sp(4) and
the addition of a massless tensor supermultiplet. It is shown that if four
simple instantons coalesce at an orbifold point in the K3 surface then a
massless tensor field appears which may be used to interpolate between the two
types of instanton. By allowing various combinations of point-like instantons
to coalesce, large gauge groups (e.g., rank 128) with many massless tensor
supermultiplets result. The analysis is done in terms of F-theory.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 21:00:04 GMT""},{""version"":""v2"",""created"":""Tue, 4 Feb 1997 16:32:25 GMT""}]","2010-11-19"
"hep-th/9612109","D. V. Antonov","D.V.Antonov (Humboldt University, Berlin and ITEP, Moscow)","A Correction to the Hamiltonian of the QCD String with Quarks due to the
  Rigidity Term","7 pages, LaTeX, no figures, minor corrections","JETP Lett.65:701-707,1997","10.1134/1.567412",,"hep-th",,"  A correction to the Hamiltonian of the quark-antiquark system, arising due to
the rigidity term in the gluodynamics string effective action, is obtained.
This correction contains additional contributions to the orbital momentum of
the system and several higher derivative operators. With the help of the
derived Hamiltonian a rigid string-induced term in the Hamiltonian of the
relativistic quark model is evaluated for the case of large masses of a quark
and antiquark.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 22:06:38 GMT""},{""version"":""v2"",""created"":""Thu, 12 Dec 1996 20:51:18 GMT""},{""version"":""v3"",""created"":""Mon, 17 Mar 1997 17:22:37 GMT""}]","2014-11-18"
"hep-th/9612110","Janos Polonyi","V. Branchina, H. Mohrbach, J. Polonyi","The antiferromagnetic phi4 Model, I. The Mean-field Solution","To appear in Phys. Rev. D","Phys.Rev. D60 (1999) 045006","10.1103/PhysRevD.60.045006",,"hep-th cond-mat hep-lat",,"  Certain higher dimensional operators of the lagrangian may render the vacuum
inhomogeneous. A rather rich phase structure of the phi4 scalar model in four
dimensions is presented by means of the mean-field approximation. One finds
para- ferro- ferri- and antiferromagnetic phases and
commensurate-incommensurate transitions. There are several particles described
by the same quantum field in a manner similar to the species doubling of the
lattice fermions. It is pointed out that chiral bosons can be introduced in the
lattice regularized theory.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 22:23:16 GMT""},{""version"":""v2"",""created"":""Tue, 11 May 1999 10:24:10 GMT""}]","2009-10-30"
"hep-th/9612111","Janos Polonyi","V. Branchina, H. Mohrbach, J. Polonyi","The antiferromagnetic phi4 Model, II. The one-loop renormalization","To appear in Phys. Rev. D","Phys.Rev. D60 (1999) 045007","10.1103/PhysRevD.60.045007",,"hep-th cond-mat hep-lat",,"  It is shown that the four dimensional antiferromagnetic lattice phi4 model
has the usual non-asymptotically free scaling law in the UV regime around the
chiral symmetrical critical point. The theory describes a scalar and a
pseudoscalar particle. A continuum effective theory is derived for low
energies. A possibility of constructing a model with a single chiral boson is
mentioned.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 22:23:59 GMT""},{""version"":""v2"",""created"":""Tue, 11 May 1999 10:20:06 GMT""}]","2009-10-30"
"hep-th/9612112","Henrique Boschi Filho","P. F. Borges, H. Boschi-Filho and C. Farina","Generalized partition functions and interpolating statistics","12 pages, Latex, updated and enlarged version","Mod.Phys.Lett. A13 (1998) 843-852","10.1142/S0217732398000917","MIT-CTP-2636","hep-th cond-mat",,"  We show that the assumption of quasiperiodic boundary conditions (those that
interpolate continuously periodic and antiperiodic conditions) in order to
compute partition functions of relativistic particles in 2+1 space-time can be
related with anyonic physics. In particular, in the low temperature limit, our
result leads to the well known second virial coefficient for anyons. Besides,
we also obtain the high temperature limit as well as the full temperature
dependence of this coefficient.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 21:58:50 GMT""},{""version"":""v2"",""created"":""Fri, 7 Mar 1997 22:33:17 GMT""},{""version"":""v3"",""created"":""Wed, 18 Feb 1998 21:21:23 GMT""}]","2009-10-30"
"hep-th/9612113","Tony Kennedy","A. D. Kennedy (SCRI, Florida State University)","A Simple Proof of the BPH Theorem","8 pages",,,"FSU-SCRI-96-132","hep-th hep-lat",,"  A new formalism is given for the renormalization of quantum field theories to
all orders of perturbation theory, in which there are manifestly no overlapping
divergences. We prove the BPH theorem in this formalism, and show how the local
subtractions add up to counterterms in the action. Applications include the
renormalization of lattice perturbation theory, the decoupling theorem,
Zimmermann oversubtraction, the renormalization of operator insertions, and the
operator product expansion.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 22:22:04 GMT""}]","2007-05-23"
"hep-th/9612114","Joseph D. Lykken","Joseph D. Lykken","Introduction to Supersymmetry","Lectures given at TASI-96, Boulder CO, June 1996; Latex, 67 pages,
  TASI96",,,"FERMILAB-PUB-96/445-T","hep-th",,"  These lectures give a self-contained introduction to supersymmetry from a
modern perspective. Emphasis is placed on material essential to understanding
duality. Topics include: central charges and BPS-saturated states,
supersymmetric nonlinear sigma models, N=2 Yang-Mills theory, holomorphy and
the N=2 Yang-Mills beta function, supersymmetry in 2, 6, 10, and 11 spacetime
dimensions.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 03:41:53 GMT""}]","2007-05-23"
"hep-th/9612115","Asato Tsuchiya","N. Ishibashi, H. Kawai, Y. Kitazawa and A. Tsuchiya","A Large-N Reduced Model as Superstring","29 pages, Latex, a footnote and references added, eq.(3.52)
  corrected, minor corrections","Nucl.Phys. B498 (1997) 467-491","10.1016/S0550-3213(97)00290-3","KEK-TH-503, TIT/HEP-357","hep-th",,"  A matrix model which has the manifest ten-dimensional N=2 super Poincare
invariance is proposed. Interactions between BPS-saturated states are analyzed
to show that massless spectrum is the same as that of type IIB string theory.
It is conjectured that the large-N reduced model of ten-dimensional super
Yang-Mills theory can be regarded as a constructive definition of this model
and therefore is equivalent to superstring theory.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 08:38:56 GMT""},{""version"":""v2"",""created"":""Mon, 30 Dec 1996 16:06:34 GMT""}]","2009-10-30"
"hep-th/9612116",,"S. Leseduarte and August Romeo","Influence of a magnetic fluxon on the vacuum energy of quantum fields
  confined by a bag",,"Commun.Math.Phys. 193 (1998) 317-336","10.1007/s002200050331",,"hep-th",,"  We study the simultaneous influence of boundary conditions and external
fields on quantum fluctuations by considering vacuum zero-point energies for
quantum fields in the presence of a magnetic fluxon confined by a bag, circular
and spherical for bosons and circular for fermions. The Casimir effect is
calculated in a generalized cut-off regularization after applying zeta-function
techniques to eigenmode sums and using recent techniques about Bessel zeta
functions at negative arguments.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 13:28:22 GMT""}]","2009-10-30"
"hep-th/9612118","Nelson R. F. Braga","Ricardo Amorim and Nelson R. F. Braga","Global Anomalies in the Batalin Vilkovisky Quantization","We emphasized the fact that our procedure only works for the case of
  Abelian global anomalies. Section 3 was rewritten and some references were
  added. 12 pages, LATEX. Revised version that will appear in Phys. Rev. D","Phys.Rev.D57:1225-1232,1998","10.1103/PhysRevD.57.1225",,"hep-th",,"  The Batalin Vilkovisky (BV) quantization provides a general procedure for
calculating anomalies associated to gauge symmetries. Recent results show that
even higher loop order contributions can be calculated by introducing an
appropriate regularization-renormalization scheme. However, in its standard
form, the BV quantization is not sensible to quantum violations of the
classical conservation of Noether currents, the so called global anomalies. We
show here that the BV field antifield method can be extended in such a way that
the Ward identities involving divergencies of global Abelian currents can be
calculated from the generating functional, a result that would not be obtained
by just associating constant ghosts to global symmetries. This extension,
consisting of trivially gauging the global Abelian symmetries, poses no extra
obstruction to the solution of the master equation, as it happens in the case
of gauge anomalies. We illustrate the procedure with the axial model and also
calculating the Adler Bell Jackiw anomaly.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 14:52:24 GMT""},{""version"":""v2"",""created"":""Tue, 8 Apr 1997 17:51:03 GMT""},{""version"":""v3"",""created"":""Tue, 7 Oct 1997 15:51:36 GMT""}]","2008-11-26"
"hep-th/9612119","Itzhak Bars","Itzhak Bars and Costas Kounnas","A new supersymmetry","Latex, 27 pages",,,"CERN-TH/96-351, USC-96/HEP-B7, LPT-ENS 96/70","hep-th",,"  We propose a new supersymmetry in field theory that generalizes standard
supersymmetry and we construct field theoretic models that provide some of its
representations. This symmetry combines a finite number of standard 4D
supersymmetry multiplets into a single multiplet with a new type of
Kaluza-Klein embedding in higher dimensions. We suggest that this mechanism may
have phenomenological applications in understanding family unification. The
algebraic structure, which has a flavor of W-algebras, is directly motivated by
S-theory and its application in black holes. We show connections to previous
proposals in the literature for 12 dimensional supergravity, Yang-Mills, (2,1)
heterotic superstrings and Matrix models that attempt to capture part of the
secret theory behind string theory.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 15:33:41 GMT""}]","2007-05-23"
"hep-th/9612120","Harald Dorn","H. Dorn (Humboldt University Berlin)","Nonabelian gauge field dynamics on matrix D-branes","14 pages, Latex, 2 figures, including epsfig.sty, a wrong reference
  number corrected","Nucl.Phys. B494 (1997) 105-118","10.1016/S0550-3213(97)00171-5","HUB-EP-96/62","hep-th",,"  We construct a calculational scheme for handling the matrix ordering problems
connected with the appearance of D-brane positions taking values in the same
Lie algebra as the nonabelian gauge field living on the D-brane. The formalism
is based on the use of an one-dimensional auxiliary field living on the
boundary of the string world sheet and taking care of the order of the matrix
valued fields. The resulting system of equations of motion for both the gauge
field and the D-brane position is derived in lowest order of the $\alpha'$
-expansion.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 15:11:32 GMT""},{""version"":""v2"",""created"":""Wed, 14 May 1997 13:48:51 GMT""}]","2009-10-30"
"hep-th/9612121","Paul Townsend","P.K. Townsend","Four Lectures on M-theory","55pp. 4 figs. Latex. Sprocl.sty macro needed. To appear in procs. of
  the ICTP summer school on High Energy Physics and Cosmology, Trieste, June
  1996. Revision includes minor corrections to some formulae and addition of a
  reference",,,,"hep-th",,"  Synopsis: (i) how superstring theories are unified by M-theory; (ii) how
superstring and supermembrane properties follow from the D=10 and D=11
supersymmetry algebras; (iii) how D=10 and D=11 supergravity theories determine
the strong coupling limit of superstring theories; (iv) how properties of Type
II p-branes follow from those of M-branes.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 15:45:58 GMT""},{""version"":""v2"",""created"":""Tue, 17 Dec 1996 13:05:11 GMT""},{""version"":""v3"",""created"":""Mon, 1 Sep 1997 15:55:36 GMT""}]","2008-02-03"
"math/9612217","Anders Bj\""orner","Anders Bj\""orner, Torsten Ekedahl","Subspace Arrangements over Finite Fields: Cohomological and Enumerative
  Properties",,,,"MSRI 1996-089","math.AG",,"  The enumeration of points on (or off) the union of some linear or affine
subspaces over a finite field is dealt with in combinatorics via the
characteristic polynomial and in algebraic geometry via the zeta function. We
discuss the basic relations between these two points of view. Counting points
is also related to the $\ell$-adic cohomology of the arrangement (as a
variety). We describe the eigenvalues of the Frobenius map acting on this
cohomology, which corresponds to a finer decomposition of the zeta function.
The $\ell$-adic cohomology groups and their decomposition into eigenspaces are
shown to be fully determined by combinatorial data. Finally, it is shown that
the zeta function is determined by the topology of the corresponding complex
variety in some important cases.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 00:00:00 GMT""}]","2008-02-03"
"math/9612218","Anders Bj\""orner","Anders Bj\""orner, Svante Linusson","The number of faces of a simple polytope",,,,"MSRI 1996-090","math.CO",,"  Consider the question: Given integers $k<d<n$, does there exist a simple
$d$-polytope with $n$ faces of dimension $k$? We show that there exist numbers
$G(d,k)$ and $N(d,k)$ such that for $n> N(d,k)$ the answer is yes if and only
if $n\equiv 0\quad \pmod {G(d,k)}$. Furthermore, a formula for $G(d,k)$ is
given, showing that e.g. $G(d,k)=1$ if $k\ge
\left\lfloor\frac{d+1}{2}\right\rfloor$ or if both $d$ and $k$ are even, and
also in some other cases (meaning that all numbers beyond $N(d,k)$ occur as the
number of $k$-faces of some simple $d$-polytope).
  This question has previously been studied only for the case of vertices
($k=0$), where Lee \cite{Le} proved the existence of $N(d,0)$ (with $G(d,0)=1$
or $2$ depending on whether $d$ is even or odd), and Prabhu \cite{P2} showed
that $N(d,0) \le cd\sqrt {d}$. We show here that asymptotically the true value
of Prabhu's constant is $c=\sqrt2$ if $d$ is even, and $c=1$ if $d$ is odd.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 00:00:00 GMT""}]","2016-09-07"
"math/9612219",,"Stephen Ryan","Trapezoid Order Classification",,,,"MSRI 1996-091","math.CO",,"  We show the nonequivalence of combinations of several natural geometric
restrictions on trapezoid representations of trapezoid orders. Each of the
properties unit parallelogram, unit trapezoid and proper parallelogram, unit
trapezoid and parallelogram, unit trapezoid, proper parallelogram, proper
trapezoid and parallelogram, proper trapezoid, parallelogram, and trapezoid is
shown to be distinct from each of the others. Additionally, interval orders are
shown to be both unit trapezoid and proper parallelogram orders.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 00:00:00 GMT""}]","2016-09-07"
"math/9612225","Wolfram Koepf","Wolfram Koepf","On a problem of Koornwinder",,,,"OP-SF 11 Dec 1996","math.CA",,"  In this note we solve a problem about the rational representablility of
hupergeometric terms which represent hypergeometric sums. This problem was
proposed by Koornwinder in [4].
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 00:00:00 GMT""}]","2008-02-03"
"nucl-th/9612023","Urs Wiedemann","M. Martin, H. Kalechofsky, P. Foka, and U.A. Wiedemann","An Inconsistency in the Simulation of Bose-Einstein Correlations","10 pages, LaTeX","Eur. Phys. J. C2 (1998) 359-364","10.1007/s100520050146",,"nucl-th",,"  We show that the formalism commonly used to implement Bose-Einstein
correlations in Monte-Carlo simulations can lead to values of the two-particle
correlator significantly smaller than unity, in the case of sources with strong
position-momentum correlations. This is more pronounced when the phase space of
the emitted particles is strongly reduced by experimental acceptance or
kinematic analysis selections. It is inconsistent with general principles
according to which the Bose-Einstein correlator is larger than unity. This
inconsistency seems to be rooted in the fact that quantum mechanical
localization properties are not taken into account properly.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 16:51:49 GMT""},{""version"":""v2"",""created"":""Thu, 10 Apr 1997 09:21:18 GMT""}]","2009-10-30"
"nucl-th/9612024",,"Serdar Kuyucak, Ka-Hae Kim and Takaharu Otsuka","Shape transitions in proton-neutron systems","10 pages, latex, 4 figures (available upon request), to appear in
  Phys. Lett. B","Phys.Lett. B393 (1997) 261-266","10.1016/S0370-2693(96)01652-8",,"nucl-th",,"  We explore the possibility of shape transitions in proton-neutron systems
driven by deformation differences between proton and neutron fluids. Within the
framework of the proton-neutron interacting boson model, we show that such
dynamic shape transitions cannot occur in well deformed nuclei but are a
possibility in transitional nuclei. Likely candidates in the Os-Pt isotopes are
discussed and predictions of the model are compared with the existing data.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 00:07:13 GMT""}]","2009-10-30"
"nucl-th/9612025","Bernard Pire","Bernard Pire and Ingo Sick","Color Transparency at ELFE","Report on the Color Transparency parallel session held during the
  second ELFE workshop, Saint Malo, France, September 1996, to be published in
  the Proceedings, N. d'Hose et al ed.(Nuclear Physics A). e-mail:
  pire@orphee.polytechnique.fr and SICK@ubaclu.unibas.ch","Nucl.Phys.A622:375c-379c,1997","10.1016/S0375-9474(97)00353-9",,"nucl-th",,"  We review the presentations given in the Color Transparency parallel session
held during the second ELFE workshop.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 09:20:45 GMT""}]","2008-11-26"
"nucl-th/9612026",,"W. Cassing (Giessen Univ.), Ye.S. Golubeva, A.S. Iljinov (INR,
  Moscow), and L.A. Kondratyuk (ITEP, Moscow)","Medium effects in the production and decay of $\omega$- and
  $\rho$-resonances in pion-nucleus interactions","10 pages, LaTeX, plus 4 postscript figures, submitted to Phys. Lett.
  B","Phys.Lett. B396 (1997) 26-32","10.1016/S0370-2693(97)00137-8","UGI-96-26","nucl-th",,"  The $\omega$- and $\rho$-resonance production and their dileptonic decay in
$\pi^- A$ reactions at GSI energies are calculated within the intranuclear
cascade (INC) approach. The invariant mass distribution of the dilepton pair
for each resonance is found to have two components which correspond to the
decay of the resonances outside and inside the target nucleus. The latter
components are strongly distorted by the nuclear medium due to
resonance-nucleon scattering and a possible mass shift at finite baryon
density. These medium modifications are compared to background sources in the
dilepton spectrum from $\pi N$ bremsstrahlung and the Dalitz decays of
$\Delta$'s and $\eta$ mesons produced in the reaction.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 13:41:23 GMT""}]","2009-10-30"
"patt-sol/9612001","Aric Hagberg","Aric Hagberg (Los Alamos National Laboratory) and Ehud Meron
  (Ben-Gurion University)","A Mechanism for Spatio-Temporal Disorder in Bistable Reaction-Diffusion
  Systems","10 pages. An HTML version of this article is at
  http://www.springer-ny.com/nst/nstarticles.html . Aric Hagberg:
  http://t7.lanl.gov/People/Aric/; Ehud Meron:
  http://www.bgu.ac.il/BIDR/research/staff/meron.html To appear in Nonlinear
  Science Today, 1996: http://www.springer-ny.com/nst/",,,,"patt-sol nlin.PS",,"  In bistable systems, the stability of front structures often influences the
dynamics of extended patterns. We show how the combined effect of an
instability to curvature modulations and proximity to a pitchfork front
bifurcation leads to spontaneous nucleation of spiral waves along the front.
This effect is demonstrated by direct simulations of a FitzHugh-Nagumo (FHN)
model and by simulations of order parameter equations for the front velocity
and curvature. Spontaneous spiral-wave nucleation often results in a state of
spatio-temporal disorder involving repeated events of spiral wave nucleation,
domain spliting and spiral wave annihilation.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 20:14:38 GMT""}]","2008-02-03"
"physics/9612006","Roelof Bijker","A. Frank, R. Lemus, F. Perez-Bernal, R. Bijker and J.M. Arias
  (ICN/UNAM, Mexico and Sevilla, Spain)","A general algebraic model for vibrational molecular spectroscopy","3 pages, invited talk at `21st International Colloquium on Group
  Theoretical Methods in Physics', Goslar, Germany, July 15-20, 1996","Group 21, 815 (1997)",,,"physics.chem-ph",,"  We present a symmetry-adapted version of the vibron model and discuss an
application to D_{3h} triatomic molecules: H_3^+, Be_3 and Na_3^+.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 16:17:50 GMT""}]","2017-11-02"
"q-alg/9612013","Tomasz Brzezinski","Tomasz Brzezinski","Crossed Product Structure of Quantum Euclidean Groups","6 pages, LaTeX2e, uses heron2e.sty (included). Contribution to the
  proceedings of XXI International Colloquium on Group Theoretical Methods in
  Physics, Goslar, Germany 1996. Condition (ii) in the definition of a crossed
  product corrected",,,"DAMTP/96-109","q-alg math-ph math.MP math.QA",,"  It is shown that quantum Euclidean groups $E_q(2)$, $E_\kappa(2)$ and
$E_\kappa(3)$ have the structure of generalised crossed products.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 17:39:45 GMT""},{""version"":""v2"",""created"":""Wed, 5 Mar 1997 18:07:31 GMT""}]","2008-02-03"
"q-alg/9612014","Michitomo Nishizawa","Michitomo Nishizawa and Kimio Ueno","Integral soluitons of q-difference equations of the hypergeometric type
  with |q|=1","9 pages, LaTex ,To appear in the proceedings of the workshop
  ``Infinite Analysis'' (Oct.15--19, 1996) at the IIAS, Japan",,,,"q-alg math.QA",,"  Two integral solutions of q-difference equations of the hypergeometric type
with |q|=1 are constructed by using the double sine function. One is an
integral of the Barnes type and the other is of the Euler type.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 02:14:12 GMT""}]","2008-02-03"
"q-alg/9612015","Markus J. Pflaum","Markus J. Pflaum, Martin Schottenloher","Holomorphic deformation of Hopf algebras and applications to quantum
  groups","40 pages",,,,"q-alg math.QA",,"  In this article we propose a new and so-called holomorphic deformation scheme
for locally convex algebras and Hopf algebras. Essentially we regard converging
power series expansion of a deformed product on a locally convex algebra, thus
giving the means to actually insert complex values for the deformation
parameter. Moreover we establish a topological duality theory for locally
convex Hopf algebras. Examples coming from the theory of quantum groups are
reconsidered within our holomorphic deformation scheme and topological duality
theory. It is shown that all the standard quantum groups comprise holomorphic
deformations. Furthermore we show that quantizing the function algebra of a
(Poisson) Lie group and quantizing its universal enveloping algebra are
topologically dual procedures indeed. Thus holomorphic deformation theory seems
to be the appropriate language in which to describe quantum groups as deformed
Lie groups or Lie algebras.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 11:10:11 GMT""}]","2008-02-03"
"quant-ph/9612032","Todd Brun","Todd A. Brun (Physics, QMW, University of London), Stephen M. Barnett
  (Physics, University of Strathclyde)","Interference in dielectrics and pseudo-measurements","7 pages RevTeX 3.0 + 2 figures (postscript). Submitted to Phys. Rev.
  A","J.Mod.Opt. 45 (1998) 777","10.1080/09500349808230621",,"quant-ph",,"  Inserting a lossy dielectric into one arm of an interference experiment acts
in many ways like a measurement. If two entangled photons are passed through
the interferometer, a certain amount of information is gained about which path
they took, and the interference pattern in a coincidence count measurement is
suppressed. However, by inserting a second dielectric into the other arm of the
interferometer, one can restore the interference pattern. Two of these
pseudo-measurements can thus cancel each other out. This is somewhat analogous
to the proposed quantum eraser experiments.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 00:52:44 GMT""}]","2015-06-26"
"quant-ph/9612033","Joachim Kupsch","Joachim Kupsch","The structure of the quantum mechanical state space and induced
  superselection rules","11 pages, Standard Latex 2.09","Pramana 51 (1998) 615-624","10.1007/BF02827453",,"quant-ph",,"  The role of superselection rules for the derivation of classical probability
within quantum mechanics is investigated and examples of superselection rules
induced by the environment are discussed.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 14:19:04 GMT""}]","2015-06-26"
"solv-int/9612005","Ryuji Kemmoku 0426-77-1111x3377","Ryuji Kemmoku","Difference Operator Approach to the Moyal Quantization and Its
  Application to Integrable Systems","19 pages, to appear in J. Phys. Soc. Jpn",,"10.1143/JPSJ.66.51","TMUP-HEL-9609","solv-int nlin.SI",,"  Inspired by the fact that the Moyal quantization is related with nonlocal
operation, I define a difference analogue of vector fields and rephrase quantum
description on the phase space. Applying this prescription to the theory of the
KP-hierarchy, I show that their integrability follows to the nature of their
Wigner distribution. Furthermore the definition of the ``expectation value''
clarifies the relation between our approach and the Hamiltonian structure of
the KP-hierarchy. A trial of the explicit construction of the Moyal bracket
structure in the integrable system is also made.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 11:55:02 GMT""}]","2009-10-30"
