"alg-geom/9609015","Kieran O'Grady","Kieran O'Grady","Moduli of vector-bundles on surfaces","AMS-TeX",,,,"alg-geom math.AG",,"  This is a survey paper: we discuss certain recent results, with some
improvements. It will appear in the S. Cruz proceedings.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 10:02:22 GMT""}]","2008-02-03"
"hep-th/9609168",,"V. B. Kopeliovich (INR, Moscow, Russia)","On the quantization of SU(3)-skyrmions","7 pages, 2 figures (available by request)","JETP Lett. 64 (1996) 426-432; Pisma Zh.Eksp.Teor.Fiz. 64 (1996)
  391-396","10.1134/1.567215",,"hep-th",,"  The quantization condition derived previously for SU(2) solitons quantized
with SU(3)-collective coordinates is generalized for SU(3) skyrmions with
strangeness content different from zero. Quantization of the dipole-type
configuration with large strangeness content found recently is considered as an
example.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 11:59:11 GMT""}]","2009-10-30"
"hep-th/9609169","Panagiotis Saltsidis","P. Saltsidis","The Mass Spectrum of the 2-dimensional Conformal String","18 pages, latex, no figures","Phys.Lett. B396 (1997) 107-114","10.1016/S0370-2693(97)00088-9","USITP-96-13","hep-th",,"  We present the mass spectrum of the tensionless string in 2 dimensions where
it has been found that the space time conformal symmetry survives quantization.
A BRST treatment of the physical states reveals that the string collapses into
a massless particle, a result which agrees with the classical treatment.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 12:52:19 GMT""}]","2009-10-30"
"hep-th/9609170","Dietrich Boedeker","Dietrich B\""odeker","Classical Real Time Correlation Functions And Quantum Corrections at
  Finite Temperature","21 pages (revtex)","Nucl.Phys. B486 (1997) 500-514","10.1016/S0550-3213(96)00688-8","HD-THEP-96-27","hep-th hep-ph",,"  We consider quantum corrections to classical real time correlation functions
at finite temperature. We derive a semi-classical expansion in powers of
$\hbar$ with coefficients including all orders in the coupling constant. We
give explicit expressions up to order $\hbar^2$. We restrict ourselves to a
scalar theory. This method, if extended to gauge theories, might be used to
compute quantum corrections to the high temperature baryon number violation
rate in the Standard Model.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 15:06:37 GMT""}]","2009-10-30"
"mtrl-th/9609003","E. Hernandez","E. Hernandez, M.J. Gillan and C.M. Goringe","Basis Functions for Linear-Scaling First-Principles Calculations","revtex file, with two encapsulated postscript figures, uses epsf.sty,
  submitted to Phys. Rev. B",,"10.1103/PhysRevB.55.13485",,"mtrl-th chem-ph cond-mat.mtrl-sci",,"  In the framework of a recently reported linear-scaling method for
density-functional-pseudopotential calculations, we investigate the use of
localized basis functions for such work. We propose a basis set in which each
local orbital is represented in terms of an array of `blip functions'' on the
points of a grid. We analyze the relation between blip-function basis sets and
the plane-wave basis used in standard pseudopotential methods, derive criteria
for the approximate equivalence of the two, and describe practical tests of
these criteria. Techniques are presented for using blip-function basis sets in
linear-scaling calculations, and numerical tests of these techniques are
reported for Si crystal using both local and non-local pseudopotentials. We
find rapid convergence of the total energy to the values given by standard
plane-wave calculations as the radius of the linear-scaling localized orbitals
is increased.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 15:28:47 GMT""}]","2009-10-30"
"nucl-th/9609045","Elaine Remillard","M.S. Fayache, L. Zamick, and Y.Y. Sharon","Quadrupole-quadrupole interaction calculations which include N=2 mixing","15 pages, RevTeX (3.0), 2 figures available from
  elaine@physics.rutgers.edu","Phys.Rev.C55:2389-2394,1997","10.1103/PhysRevC.55.2389","RU9675","nucl-th",,"  We carry out a study of the study of the $Q \cdot Q$ interaction in a model
space which consists of several nucleons in an open shell and all $2 \hbar
\omega$ excitations. This interaction is $ -t (X_o/2) Q \cdot Q$, where for t=1
we get the `accepted strength'. In the $0p$ space, the spectrum would scale
with $t$. In this space, the $2^+_1$ and $2^+_2$ states of $^{10}$Be are
degenerate, as are the [330] and [411] sets of $J=0^+, 1^+$ and $2^+$ triplets.
When $2 \hbar \omega$ admixtures are included, the degeneracies are removed.
For $t \geq 1.8$ we have new ground state and a new $2_1^+$ state. These are
states in which two particles are excited from the $0p$ to the $1s-0d$ shell.
There is no mixing of these 2p-2h states with the other states. For these 2p-2h
states the occupancy for 0s,0p,1s-0d and 1p-of are 4,4,2 and 0 respectively.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 20:02:04 GMT""}]","2016-09-08"
"q-alg/9609021","Timothy J. Hodges","Timothy J. Hodges, Thierry Levasseur, Margarita Toro","Algebraic structure of multi-parameter quantum groups","AMS Latex, 37 pages, June 1994; to appear in Advances in Math",,,,"q-alg math.QA",,"  Multi-parameter versions U_p(g) and C_p[G] of the standard quantum groups
U_q(g) and C_q[G] are considered where G is a semi-simple connected complex
algebraic group and g is the Lie algebra of G. The primitive spectrum of C_p[G]
is calculated, generalizing a result of Joseph for the standard quantum groups.
This classification is compared with the classification of symplectic leaves
for the associated Poisson structure on G.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 17:24:34 GMT""}]","2008-02-03"
"q-alg/9609022","Steven Duplij","Steven Duplij","Noninvertibility and ``Semi-'' Analogs of (Super) Manifolds, Fiber
  Bundles and Homotopies","30 pages, Standard LaTeX with AmS fonts",,,"KL-TH-96/10","q-alg alg-geom dg-ga funct-an hep-th math.AG math.DG math.FA math.QA",,"  Supersymmetry contains initially noninvertible objects, but it is common to
deal with the invertible ones only, factorizing former in some extent. We
propose to reconsider this ansatz and try to redefine such fundamental notions
as supermanifolds, fiber bundles and homotopies using some weakening
invertibility conditions. The prefix semi- reflects the fact that the
underlying morphisms form corresponding semigroups consisting of a known group
part and a new ideal noninvertible part. We found that the absence of
invertibility gives us the generalization of the cocycle conditions for
transition functions of supermanifolds and fiber bundles in a natural way,
which can lead to construction of noninvertible analogs of \v{C}ech cocycles.
We define semi-homotopies, which can be noninvertible and describe mappings
into the semi-supermanifolds introduced.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 18:18:59 GMT""}]","2016-09-08"
"q-alg/9609023","Omer Faruk Dayi","O.F. Dayi","q-deformed Star Products and Moyal Brackets","12 pages, latex, minor changes and refs. added","J.Math.Phys. 39 (1998) 489","10.1063/1.532321","MRC-PH-TH-12/96","q-alg hep-th math.QA",,"  The standard and anti-standard ordered operators acting on two-dimensional
q-deformed phase space are shown to satisfy algebras which can be called
W_\infty. q-star products and q-Moyal brackets corresponding to these algebras
are constructed. Some applications like defining q-classical mechanics and
q-path integrals are discussed.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 08:30:50 GMT""},{""version"":""v2"",""created"":""Mon, 23 Sep 1996 08:01:52 GMT""},{""version"":""v3"",""created"":""Thu, 20 Feb 1997 07:48:55 GMT""}]","2009-10-30"
"quant-ph/9609017",,"D.A. Trifonov","Schr\""{o}dinger Intelligent States and Linear and Quadratic Amplitude
  Squeezing","33 pages, latex, 4 figures available upon request. In the replaced
  version 2 references (the last ones) are added",,,"Preprint INRNE-TH-96/6","quant-ph",,"  A complete set of solutions |z,u,v>_{sa} of the eigenvalue equation
(ua^2+va^{dagger 2})|z,u,v> = z|z,u,v> ([a,a^{dagger}]=1) are constructed and
discussed. These and only these states minimize the Schr\""{o}dinger uncertainty
inequality for the squared amplitude (s.a.) quadratures. Some general
properties of Schr\""{o}dinger intelligent states (SIS) |z,u,v> for any two
observables X, Y are discussed, the sets of even and odd s.a. SIS |z,u,v;+,->
being studied in greater detail. The set of s.a. SIS contain all even and odd
coherent states (CS) of Dodonov, Malkin and Man'ko, the Perelomov SU(1,1) CS
and the squeezed Hermite polynomial states of Bergou, Hillery and Yu. The even
and odd SIS can exhibit very strong both linear and quadratic squeezing (even
simultaneously) and super- and subpoissonian statistics as well. A simple
sufficient condition for superpoissonian statistics is obtained and the
diagonalization of the amplitude and s.a. uncertainty matrices in any pure or
mixed state by linear canonical transformations is proven.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 16:45:31 GMT""},{""version"":""v2"",""created"":""Mon, 23 Sep 1996 15:02:49 GMT""}]","2008-02-03"
"solv-int/9609007","Andrey V. Tsiganov","A.V. Tsiganov (St.Petersburg University)","The Kowalewski top: a new Lax representation","17 pages, Latex",,"10.1063/1.531850","ISRN-LiTH-MAT-R-95-27, 1995","solv-int nlin.SI",,"  The 2x2 monodromy matrices for the Kowalewski top on the Lie algebras e(3),
so(4) and so(3,1) are presented. The corresponding quadratic R-matrix structure
is the dynamical deformation of the standard R-matrix algebras. Some tops and
Toda lattices related to the Kowalewski top are discussed.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 11:09:26 GMT""}]","2009-10-30"
