"alg-geom/9603013","Fernando Torres","Rainer Fuhrmann, and Fernando Torres","On curves over finite fields with many rational points","LaTex2e, 10 pages",,,,"alg-geom math.AG",,"  We study arithmetical and geometrical properties of {\it maximal curves},
that is, curves defined over the finite field $\mathbb F_{q^2}$ whose number of
$\mathbb F_{q^2}$-rational points reachs the Hasse-Weil upper bound. Under a
hypothesis on non-gaps at rational points we prove that maximal curves are
$\mathbb F_{q^2}$-isomorphic to $y^q+y=x^m$ for some $m\in \mathbb Z^+$.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 19:11:58 GMT""}]","2008-02-03"
"hep-th/9603110","Harvinder Singh","J. Maharana and H. Singh","S-duality and Canonical Transformations in String Theory","13 pages, Latex, typos are corrected just after eqs. (11) & (17) also
  some explanations are added ( version to appear in Phy. Let. B )","Phys.Lett. B380 (1996) 280-285","10.1016/0370-2693(96)00505-9","IP/BBSR/96-18","hep-th",,"  The symmetries of the tree level string effective action are discussed. An
appropriate effective action is constructed starting from the manifestly
SL(2,R) invarint form of string effective action introduced by Schwarz and Sen.
The conserved charges are derived and generators of infinitesimal
transformations are obtained in the Hamiltonian formalism. Some interesting
consequences of the canonical transformations are explored.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 15:58:41 GMT""},{""version"":""v2"",""created"":""Tue, 30 Apr 1996 08:26:32 GMT""}]","2009-10-30"
"math/9603219","Shelah Office","Martin Gilchrist, Saharon Shelah","The consistency of 2^{aleph_{0}}> aleph_{omega} +
  I(aleph_{2})=I(aleph_{omega})",,,,"Shelah [GcSh:583]","math.LO",,"  An omega-coloring is a pair <f,B> where f:[B]^{2} ---> omega. The set B is
the field of f and denoted Fld(f). Let f,g be omega-colorings. We say that f
realizes the coloring g if there is a one-one function k:Fld(g) ---> Fld(f)
such that for all {x,y}, {u,v} in dom(g) we have f({k(x),k(y)}) not=
f({k(u),k(v)}) => g({x,y}) not= g({u,v}). We write f~g if f realizes g and g
realizes f. We call the ~-classes of omega-colorings with finite fields
identities. We say that an identity I is of size r if |Fld(f)|=r for some/all f
in I. For a cardinal kappa and f:[kappa]^2 ---> omega we define I(f) to be the
collection of identities realized by f and I (kappa) to be bigcap {I(f)|
f:[kappa]^2 ---> omega}.
  We show that, if ZFC is consistent then ZFC + 2^{aleph_0}> aleph_omega +
I(aleph_2)=I(aleph_omega) is consistent.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 00:00:00 GMT""}]","2016-09-06"
"mtrl-th/9603007","David Vanderbilt","Alberto Garcia (Departmento de Fisica Aplicada II, Universidad del
  Pais Vasco, Bilbao, Spain) and David Vanderbilt (Department of Physics and
  Astronomy, Rutgers University)","First-principles study of stability and vibrational properties of
  tetragonal PbTiO_3","8 pages, two-column style with 3 postscript figures embedded. Uses
  REVTEX and epsf macros. Also available at
  http://www.physics.rutgers.edu/~dhv/preprints/index.html#ag_pbti",,"10.1103/PhysRevB.54.3817",,"mtrl-th cond-mat.mtrl-sci",,"  A first-principles study of the vibrational modes of PbTiO_3 in the
ferroelectric tetragonal phase has been performed at all the main symmetry
points of the Brillouin zone (BZ). The calculations use the local-density
approximation and ultrasoft pseudopotentials with a plane-wave basis, and
reproduce well the available experimental information on the modes at the Gamma
point, including the LO-TO splittings. The work was motivated in part by a
previously reported transition to an orthorhombic phase at low temperatures
[(J. Kobayashi, Y. Uesu, and Y. Sakemi, Phys. Rev. B {\bf 28}, 3866 (1983)]. We
show that a linear coupling of orthorhombic strain to one of the modes at Gamma
plays a role in the discussion of the possibility of this phase transition.
However, no mechanical instabilities (soft modes) are found, either at Gamma or
at any of the other high-symmetry points of the BZ.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 16:37:50 GMT""}]","2009-10-30"
"nucl-th/9603017","Andreas Wirzba","Mariana Kirchbach (Uni Mainz) and Andreas Wirzba (TH Darmstadt)","Deriving the quark condensate within a finite Fermi system from the
  generating functional of chiral perturbation theory","replaced with published version; 16 pages, LaTeX{revtex}, no figures","Nucl.Phys. A604 (1996) 395-405","10.1016/0375-9474(96)00154-6","IKDA 96/7","nucl-th hep-ph",,"  The generating functional of heavy baryon chiral perturbation theory at order
O(Q^2) in the mean field approximation (with a pseudoscalar source coupling
which is consistent with the PCAC-Ward identities on the current quark level)
has been exploited to derive Migdal's in--medium pion propagator. It is shown
that the prediction for the density dependence of the quark condensate obtained
on the composite hadron level by embedding PCAC within the framework of
Migdal's approach to finite Fermi systems is identical to that resulting from
QCD.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 17:57:04 GMT""},{""version"":""v2"",""created"":""Fri, 1 Nov 1996 13:11:10 GMT""}]","2008-02-03"
"nucl-th/9603019","Dharam Ahluwalia","D. V. Ahluwalia, and Mikolaj Sawicki","Front Form Spinors in Weinberg-Soper Formalism and Melosh
  Transformations for any Spin","16 Pages, RevTex. We continue to receive reprint requests for this
  paper. So we now archive it here","Phys.Rev.D47:5161-5168,1993","10.1103/PhysRevD.47.5161",,"nucl-th",,"  Using the Weinberg-Soper formalism we construct the front form
$(j,0)\oplus(0,j)$ spinors. Explicit expressions for the generalised Melosh
transformations up to spin two are obtained. The formalism, without explicitly
invoking any wave equations, reproduces spin one half front-form results of
Melosh, Lepage and Brodsky, and Dziembowski.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 21:01:54 GMT""}]","2008-11-26"
"nucl-th/9603020","Sibaji Raha","Abhijit Bhattacharyya and Sibaji Raha","Temperature Dependence of Hadron Masses from the Zimanyi-Moszkowski
  Model","7 pages + 3figures (Latex)",,,,"nucl-th",,"  An extended version of the Zimanyi-Moskowski (ZM) model has been used to
calculate the temperature dependence of the hadronic masses. The calculation of
meson masses in the Random Phase Approximation (RPA) gives an increase in the
$\sigma$, $\omega$ and $\pi$ effective masses with temperature.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 16:09:00 GMT""}]","2016-09-08"
"q-alg/9603013","Jerome Levine","Stavros Garoufalidis, Jerome Levine","Finite type 3-manifold invariants and the structure of the Torelli group
  I","AMS-LaTeX, 51 pages with 16 figures. Revised version, to appear in
  the Journal of Diff. Geometry",,,,"q-alg math.QA",,"  Using the recently developed theory of finite type invariants of integral
homology 3-spheres we study the structure of the Torelli group of a closed
surface. Explicitly, we construct (a) natural cocycles of the Torelli group
(with coefficients in a space of trivalent graphs) and cohomology classes of
the abelianized Torelli group; (b) group homomorphisms that detect (rationally)
the nontriviality of the lower central series of the Torelli group. Our results
are motivated by the appearance of trivalent graphs in topology and in
representation theory and the dual role played by the Casson invariant in the
theory of finite type invariants of integral homology 3-spheres and in Morita's
study of the structure of the Torelli group Our results generalize those of S.
Morita {Mo1,Mo2} and complement the recent calculation, due to R. Hain, of the
I-adic completion of the rational group ring of the Torelli group. We also give
analogous results for two other subgroups of the mapping class group.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 16:40:09 GMT""},{""version"":""v2"",""created"":""Fri, 9 May 1997 14:27:01 GMT""}]","2008-02-03"
"q-alg/9603014","Mathijs S. Dijkhuizen","M. Noumi, M.S. Dijkhuizen, T. Sugitani","Multivariable Askey-Wilson Polynomials and Quantum Complex Grassmannians","11 pages, AMS-TeX 2.1, no figures. To appear in: Proceedings of a
  Workshop on Special Functions, q-Series and Related Topics, Toronto, June
  19-23, 1995, Fields Inst. Comm",,,,"q-alg math.QA",,"  We present a one-parameter family of constant solutions of the reflection
equation and define a family of quantum complex Grassmannians endowed with a
transitive action of the quantum unitary group. By computing the radial part of
a suitable Casimir operator, we identify the zonal spherical functions (i.e.
infinitesimally bi-invariant matrix coefficients of finite-dimensional
irreducible representations) as multivariable Askey-Wilson polynomials
containing two continuous and two discrete parameters.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 03:35:55 GMT""}]","2008-02-03"
"quant-ph/9603021","Ranjeet Tate","Norbert Grot, Carlo Rovelli, Ranjeet S. Tate (Department of Physics
  and Astronomy, University of Pittsburgh, Pittsburgh PA, USA)","Time-of-arrival in quantum mechanics","Latex/Revtex, 20 pages. 2 figs included using epsf. Submitted to
  Phys. Rev. A","Phys.Rev. A54 (1996) 4679","10.1103/PhysRevA.54.4676",,"quant-ph gr-qc",,"  We study the problem of computing the probability for the time-of-arrival of
a quantum particle at a given spatial position. We consider a solution to this
problem based on the spectral decomposition of the particle's (Heisenberg)
state into the eigenstates of a suitable operator, which we denote as the
``time-of-arrival'' operator. We discuss the general properties of this
operator. We construct the operator explicitly in the simple case of a free
nonrelativistic particle, and compare the probabilities it yields with the ones
estimated indirectly in terms of the flux of the Schr\""odinger current. We
derive a well defined uncertainty relation between time-of-arrival and energy;
this result shows that the well known arguments against the existence of such a
relation can be circumvented. Finally, we define a ``time-representation'' of
the quantum mechanics of a free particle, in which the time-of-arrival is
diagonal. Our results suggest that, contrary to what is commonly assumed,
quantum mechanics exhibits a hidden equivalence between independent (time) and
dependent (position) variables, analogous to the one revealed by the
parametrized formalism in classical mechanics.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 16:16:32 GMT""}]","2009-10-30"
"quant-ph/9603022","Martin Plenio","M. B. Plenio, V. Vedral, and P. L. Knight (Imperial College London)","Quantum error correction in the presence of spontaneous emission","Completely revised version now accepted for publication in Phys. Rev.
  A","Phys.Rev. A55 (1997) 67","10.1103/PhysRevA.55.67",,"quant-ph",,"  We present a quantum error correcting code that is invariant under the
conditional time evolution between spontaneous emissions and which can correct
for one general error. The code presented here generalizes previous error
correction codes in that not all errors lead to different error syndromes. This
idea may lead to shorter codes than previously expected.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 20:51:36 GMT""},{""version"":""v2"",""created"":""Sat, 21 Sep 1996 17:46:13 GMT""}]","2009-10-30"
