"alg-geom/9608033","Gerd Dethloff","T. Bandman and G. Dethloff","Estimates of the number of rational mappings from a fixed variety to
  varieties of general type","A revised version. The presentation of results and proofs has been
  improved. AMS-TeX, 19 pages","Ann. Inst. Fourier 47, 801-824 (1997)",,,"alg-geom math.AG",,"  First we find effective bounds for the number of dominant rational maps $f:X
\rightarrow Y$ between two fixed smooth projective varieties with ample
canonical bundles. The bounds are of the type $\{A \cdot K_X^n\}^{\{B \cdot
K_X^n\}^2}$, where $n=dimX$, $K_X$ is the canonical bundle of $X$ and $A,B $
are some constants, depending only on $n$. Then we show that for any variety
$X$ there exist numbers $c(X)$ and $C(X)$ with the following properties: For
any threefold $Y$ of general type the number of dominant rational maps $f:X \r
Y$ is bounded above by $c(X)$. The number of threefolds $Y$, modulo birational
equivalence, for which there exist dominant rational maps $f:X \r Y$, is
bounded above by $C(X)$. If, moreover, $X$ is a threefold of general type, we
prove that $c(X)$ and $C(X)$ only depend on the index $r_{X_c}$ of the
canonical model $X_c$ of $X$ and on $K_{X_c}^3$.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 13:39:45 GMT""},{""version"":""v2"",""created"":""Wed, 5 Feb 1997 08:33:31 GMT""}]","2014-12-01"
"hep-th/9608192","Marcelo Maria De Francia","M. De Francia, H. Falomir and M. Loewe","Massless fermions in a bag at finite density and temperature","14 pages, 3 figures, RevTeX","Phys.Rev. D55 (1997) 2477-2485","10.1103/PhysRevD.55.2477","LA PLATA-TH 96/12","hep-th",,"  We introduce the chemical potential in a system of massless fermions in a bag
by impossing boundary conditions in the Euclidean time direction. We express
the fermionic mean number in terms of a functional trace involving the Green's
function of the boundary value problem, which we study analytically. Numerical
evaluations are made, and an application to a simple hadron model is discussed.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 15:00:21 GMT""}]","2009-10-30"
"math/9608205","Doug Ensley","Doug Ensley and Rami Grossberg","Finite models, stability, and Ramsey's theorem",,,,"Logic E-prints August 29, 1996","math.LO",,"  We prove some results on the border of Ramsey theory (finite partition
calculus) and model theory. Also a beginning of classification theory of finite
models in undertaken.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 00:00:00 GMT""}]","2016-09-06"
"mtrl-th/9608008","Michael Schoene","R. Kaschner, M. Schoene, G. Seifert (TU Dresden) and G. Pastore (Univ.
  Trieste)","Ab initio simulations of liquid systems: Concentration dependence of the
  electric conductivity of NaSn alloys","LaTex 6 pages and 2 figures, to appear in J.Phys. Cond. Mat","J. Phys. Condens. Matter 8 (1996), L653-L657","10.1088/0953-8984/8/43/005",,"mtrl-th chem-ph cond-mat.mtrl-sci",,"  Liquid NaSn alloys in five different compositions (20, 40, 50, 57 and 80%
sodium) are studied using density functional calculations combined with
molecular dynamics(Car-Parrinello method). The frequency-dependent electric
conductivities for the systems are calculated by means of the Kubo-Greenwood
formula.
  The extrapolated DC conductivities are in good agreement with the
experimental data and reproduce the strong variation with the concentration.
The maximum of conductivity is obtained, in agreement with experiment, near the
equimolar composition.
  The strong variation of conductivity, ranging from almost semiconducting up
to metallic behaviour, can be understood by an analysis of the
densities-of-states.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 10:06:42 GMT""}]","2009-10-30"
"nucl-th/9608062","Kazuo Tsushima","Kazuo Tsushima (1), Koichi Saito (2) and Anthony W. Thomas (1) ((1)
  University of Adelaide, Australia, (2) Tohoku College of Pharmacy, Japan)","Quark Degrees of Freedom in Finite Nuclei","4 pages, 3 postscript figures are included, uses world scientific
  style (style format is included). To appear in the proceedings of The
  International Symposium on Non-Nucleonic Degrees of Freedom Detected in
  Nucelus, Osaka, Japan, Sept. 2-5, 1996. Postscript file is also available at
  http://www.physics.adelaide.edu.au/theory/home.html or
  ftp://adelphi.adelaide.edu.au/pub/theory/ADP-96-32.T231.ps",,,"ADP-96-32/T231","nucl-th hep-ph",,"  Properties of finite nuclei are investigated based on relativistic Hartree
equations which have been derived from a relativistic quark model of the
structure of bound nucleons. Nucleons are assumed to interact through the
(self-consistent) exchange of scalar ($\sigma$) and vector ($\omega$ and
$\rho$) mesons at the quark level. The coupling constants and the mass of the
$\sigma$-meson are determined from the properties of symmetric nuclear matter
and the rms charge radius in $^{40}$Ca. Calculated properties of static,
closed-shell nuclei, as well as symmetric nuclear matter are compared with
experimental data and with the results of Quantum Hadrodynamics (QHD).
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 06:31:25 GMT""}]","2007-05-23"
"nucl-th/9608063","Rik Naus","H.W.L. Naus (University of Hannover)","Local gauge invariance implies Siegert's hypothesis","5 pages, REVTEX","Phys.Rev.C55:1580-1582,1997","10.1103/PhysRevC.55.1580","ITP-UH-20/96","nucl-th",,"  The nonrelativistic Ward-Takahashi identity, a consequence of local gauge
invariance in quantum mechanics, shows the necessity of exchange current
contributions in case of nonlocal and/or isospin-dependent potentials. It also
implies Siegert's hypothesis: in the nonrelativistic limit, two-body charge
densities identically vanish. Neither current conservation, which follows from
global gauge invariance, nor the constraints of (lowest order) relativity are
sufficient to arrive at this result. Furthermore, a low-energy theorem for
exchange contributions is established.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 13:42:51 GMT""}]","2008-11-26"
"nucl-th/9608064","Hartmuth Arenhoevel","E. Breitmoser and H. Arenhoevel (Mainz, Germany)","Coherent eta photoproduction on the deuteron in the $S_{11}$ resonance
  region","33 pages revtex including 13 postscript figures","Nucl.Phys. A612 (1997) 321-345","10.1016/S0375-9474(96)00403-4","MKPH-T-96-21","nucl-th",,"  Coherent eta photoproduction on the deuteron is studied in the $S_{11}$
resonance region neglecting eta rescattering and two-body processes. For the
elementary reaction on the nucleon, we have considered the dominant
$S_{11}(1535)$ resonance and as background the nucleon pole terms as well as
$\rho$ and $\omega$ meson exchange. We have studied the influence of different
choices for the neutron resonance amplitude, different prescriptions for fixing
the invariant mass of the resonance amplitude and different methods for
deriving the elementary production amplitude for an arbitrary reference frame.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 14:58:14 GMT""}]","2009-10-30"
"patt-sol/9608010","Xiao-jun Li","Xiao-jun Li (Department of Physics, Lehigh University), Hao-wen Xi
  (Department of Physics and Astronomy, Bowling Green State University) and J.
  D. Gunton (Department of Physics, Lehigh University)","Dynamical Properties of Multi-Armed Global Spirals in Rayleigh-Benard
  Convection","To appear in Phys. Rev. E as Rapid Communications",,"10.1103/PhysRevE.54.R3105",,"patt-sol nlin.PS",,"  Explicit formulas for the rotation frequency and the long-wavenumber
diffusion coefficients of global spirals with $m$ arms in Rayleigh-Benard
convection are obtained. Global spirals and parallel rolls share exactly the
same Eckhaus, zigzag and skewed-varicose instability boundaries. Global spirals
seem not to have a characteristic frequency $\omega_m$ or a typical size $R_m$,
but their product $\omega_m R_m$ is a constant under given experimental
conditions. The ratio $R_i/R_j$ of the radii of any two dislocations ($R_i$,
$R_j$) inside a multi-armed spiral is also predicted to be constant. Some of
these results have been tested by our numerical work.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 19:46:05 GMT""}]","2009-10-30"
"q-alg/9608025","Carlos Simpson","Carlos Simpson","Flexible sheaves","Improves bibliography: all definitions and many results were known
  from the '70's-'80's. Leaves most mathematical inadequacies untouched",,,,"q-alg alg-geom math.AG math.QA",,"  We look at homotopy-coherent diagrams of spaces (after Segal, Leitch, Vogt,
Mather, Cordier) over a Grothendieck site; we call these ``flexible
presheaves''. After some preliminary materiel, we define the ``flexible sheaf''
condition. This descent condition (known to Thomason) is the same as what
Jardine called being ``flasque'' with respect to the presheaves representable
by objects in the site; and it is more recently known as the condition of being
an $n$-stack. We construct the flexible sheaf associated to a flexible presheaf
in the $n$-truncated case, as an application of a certain natural operation
$n+2$ times. We prove an analogue of Vogt's theorem for the case where the
Grothendieck topology is nontrivial, identifying the set of morphisms in
Illusie's derived category as the set of homotopy classes of homotopy-coherent
morphisms between flexible sheaves. The homotopy-coherent point of view allows
one easily to define the flexible mapping sheaf $Hom (R,T)$ between two
flexible sheaves.
  This revision fills major gaps in the bibliography. References to the
additional items are inserted in the text. A new introduction and abstract are
added (the old ones are retained as comments in the source file). A few other
minor changes in the exposition include arrangement of internal references.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 15:30:44 GMT""},{""version"":""v2"",""created"":""Fri, 9 Oct 1998 09:51:15 GMT""}]","2008-02-03"
"quant-ph/9608044","David Politzer","H. David Politzer","Bose-stimulated scattering off a cold atom trap","18 pages (REVTeX), no figures",,"10.1103/PhysRevA.55.1140","CALT-68-2070","quant-ph",,"  The angle and temperature dependence of the photon scattering rate for
Bose-stimulated atom recoil transitions between occupied states is compared to
diffraction and incoherent Rayleigh scattering near the Bose-Einstein
transition for an optically thin trap in the limit of large particle number, N.
Each of these processes has a range of angles and temperatures for which it
dominates over the others by a divergent factor as N->oo.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 22:31:07 GMT""}]","2009-10-30"
"quant-ph/9608045","Hiromichi Nakazato","Raffaella Blasi (1), Hiromichi Nakazato (2), Mikio Namiki (2) Saverio
  Pascazio (1 and 3) ((1) Dipt. di Fisica, Univ. di Bari, Italy, (2) Dept. of
  Phys, Waseda Univ., Japan, (3) INFN, Bari, Italy)","Emergence of a Wiener process as a result of the quantum mechanical
  interaction with a macroscopic medium","20 pages, LaTeX, no figures",,"10.1016/S0378-4371(97)00043-5","BA-TH/96-246, WU-HEP-96-9","quant-ph hep-th",,"  We analyze a modified version of the Coleman-Hepp model, that is able to take
into account energy-exchange processes between the incoming particle and the
linear array made up of $N$ spin-1/2 systems. We bring to light the presence of
a Wiener dissipative process in the weak-coupling, macroscopic ($N \rightarrow
\infty$) limit. In such a limit and in a restricted portion of the total
Hilbert space, the particle undergoes a sort of Brownian motion, while the free
Hamiltonian of the spin array serves as a Wiener process. No assumptions are
made on the spectrum of the Hamiltonian of the spin system, and no partial
trace is computed over its states. The mechanism of appearance of the
stochastic process is discussed and contrasted to other noteworthy examples in
the literature. The links with van Hove's ``$\lambda^2 T$ limits are
emphasized.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 09:30:48 GMT""}]","2015-06-26"
"quant-ph/9608046","Jonathan Halliwell","Jonathan Halliwell, Andreas Zoupas (Imperial College)","The Post-Decoherence Density Matrix Propagator for Quantum Brownian
  Motion","17 pages, plain Tex, submitted to Physical Review D","Phys.Rev.D55:4697-4704,1997","10.1103/PhysRevD.55.4697","Imperial College preprint 95-96/67","quant-ph",,"  Using the path integral representation of the density matrix propagator of
quantum Brownian motion, we derive its asymptotic form for times greater than
the localization time, $ (\hbar / \gamma k T )^{\half}$, where $\gamma$ is the
dissipation and $T$ the temperature of the thermal environment. The
localization time is typically greater than the decoherence time, but much
shorter than the relaxation time, $\gamma^{-1}$. We use this result to show
that the reduced density operator rapidly evolves into a state which is
approximately diagonal in a set of generalized coherent states. We thus
reproduce, using a completely different method, a result we previously obtained
using the quantum state diffusion picture (Phys.Rev. D52, 7294 (1995)). We also
go beyond this earlier result, in that we derive an explicit expression for the
weighting of each phase space localized state in the approximately diagonal
density matrix, as a function of the initial state. For sufficiently long times
it is equal to the Wigner function, and we confirm that the Wigner function is
positive for times greater than the localization time (multiplied by a number
of order 1).
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 14:42:58 GMT""}]","2008-12-18"
