"adap-org/9608003","Chen Kan","Kan Chen (Department of Computational Science, National University of
  Singapore)","A Simple Learning Algorithm for the Traveling Salesman Problem","10 pages, Latex, 3 postscript figures",,"10.1103/PhysRevE.55.7809",,"adap-org nlin.AO",,"  We propose a learning algorithm for solving the traveling salesman problem
based on a simple strategy of trial and adaptation: i) A tour is selected by
choosing cities probabilistically according to the ``synaptic'' strengths
between cities. ii) The ``synaptic'' strengths of the links that form the tour
are then enhanced (reduced) if the tour length is shorter (longer) than the
average result of the previous trials. We perform extensive simulations of the
random distance traveling-salesman problem. For sufficiently slow learning
rates, near optimal tours can be obtained with the average optimal tour lengths
close to the lower bounds for the shortest tour lengths.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 09:25:43 GMT""}]","2009-10-28"
"hep-th/9608097","Paul Mansfield","Paul Mansfield","A Large Distance Expansion for Quantum Field Theory","5 pages, latex, invited talk at the Second International Sakharov
  Conference on Physics, May 1996",,,"DTP 96/33","hep-th",,"  Using analyticity of the vacuum wave-functional under complex scalings, the
vacuum of a quantum field theory may be reconstructed from a derivative
expansion valid for slowly varying fields. This enables the eigenvalue problem
for the Hamiltonian to be reduced to algebraic equations. Applied to Yang-Mills
theory this expansion leads to a confining force between quarks.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 14:42:25 GMT""}]","2007-05-23"
"hep-th/9608098","Karl Strobl","Karl Strobl and Mark Hindmarsh","Universality and Critical Phenomena in String Defect Statistics","62 pages, plain LaTeX, macro mathsymb.sty included, figures included.
  also available on
  http://starsky.pcss.maps.susx.ac.uk/groups/pt/preprints/96/96011.ps.gz",,"10.1103/PhysRevE.55.1120","SUSX-TH-96-11","hep-th cond-mat",,"  The idea of biased symmetries to avoid or alleviate cosmological problems
caused by the appearance of some topological defects is familiar in the context
of domain walls, where the defect statistics lend themselves naturally to a
percolation theory description, and for cosmic strings, where the proportion of
infinite strings can be varied or disappear entirely depending on the bias in
the symmetry. In this paper we measure the initial configurational statistics
of a network of string defects after a symmetry-breaking phase transition with
initial bias in the symmetry of the ground state. Using an improved algorithm,
which is useful for a more general class of self-interacting walks on an
infinite lattice, we extend the work in \cite{MHKS} to better statistics and a
different ground state manifold, namely $\R P^2$, and explore various different
discretisations. Within the statistical errors, the critical exponents of the
Hagedorn transition are found to be quite possibly universal and identical to
the critical exponents of three-dimensional bond or site percolation. This
improves our understanding of the percolation theory description of defect
statistics after a biased phase transition, as proposed in \cite{MHKS}. We also
find strong evidence that the existence of infinite strings in the Vachaspati
Vilenkin algorithm is generic to all (string-bearing) vacuum manifolds, all
discretisations thereof, and all regular three-dimensional lattices.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 15:39:54 GMT""}]","2009-10-30"
"hep-th/9608099","Thomas Mohaupt","Gabriel Lopes Cardoso, Dieter Lust and Thomas Mohaupt","Modular Symmetries of N=2 Black Holes","12 pages, LaTeX","Phys.Lett.B388:266-272,1996","10.1016/S0370-2693(96)01138-0","CERN-TH/96-223, HUB-EP-96/42","hep-th",,"  We discuss the transformation properties of classical extremal N=2 black hole
solutions in S-T-U like models under S and T duality. Using invariants of
(subgroups of) the triality group, which is the symmetry group of the classical
BPS mass formula, the transformation properties of the moduli on the event
horizon and of the entropy under these transformations become manifest. We also
comment on quantum corrections and we make a conjecture for the one-loop
corrected entropy.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 14:59:15 GMT""}]","2009-10-07"
"hep-th/9608100","Dr I. Kondo","Kei-Ichi Kondo (Chiba/Oxford University)","Transverse Ward-Takahashi Identity, Anomaly and Schwinger-Dyson Equation","22 pages, latex, no figures","Int.J.Mod.Phys.A12:5651-5686,1997","10.1142/S0217751X97002978","CHIBA-EP-94/OUTP-96-30P","hep-th",,"  Based on the path integral formalism, we rederive and extend the transverse
Ward-Takahashi identities (which were first derived by Yasushi Takahashi) for
the vector and the axial vector currents and simultaneously discuss the
possible anomaly for them. Subsequently, we propose a new scheme for writing
down and solving the Schwinger-Dyson equation in which the the transverse
Ward-Takahashi identity together with the usual (longitudinal) Ward-Takahashi
identity are applied to specify the fermion-boson vertex function. Especially,
in two dimensional Abelian gauge theory, we show that this scheme leads to the
exact and closed Schwinger-Dyson equation for the fermion propagator in the
chiral limit (when the bare fermion mass is zero) and that the Schwinger-Dyson
equation can be exactly solved.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 15:27:50 GMT""}]","2009-08-11"
"math/9608212",,"Yuri I. Lyubich","A new advance in the Bernstein problem in mathematical genetics",,,,"Stony Brook IMS 1996/9. Dynamical Systems 8/15/96","math.DS",,"  A S. N. Bernstein problem is solved under a natural irreducibility condition.
Earlier this result was obtained only in some special case.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 00:00:00 GMT""}]","2016-09-06"
"math/9608213",,"Adam L. Epstein and Michael Yampolsky","Geography of the cubic connectedness locus I: Intertwining surgery",,,,"Stony Brook IMS 1996/10. Dynamical Systems 8/15/96","math.DS",,"  We exhibit products of Mandelbrot sets in the two-dimensional complex
parameter space of cubic polynomials. These products were observed by J. Milnor
in computer experiments which inspired Lavaurs' proof of non local-connectivity
for the cubic connectedness locus. Cubic polynomials in such a product may be
renormalized to produce a pair of quadratic maps. The inverse construction is
an {\it intertwining surgery} on two quadratics. The idea of intertwining first
appeared in a collection of problems edited by Bielefeld. Using quasiconformal
surgery techniques of Branner and Douady, we show that any two quadratics may
be intertwined to obtain a cubic polynomial. The proof of continuity in our
two-parameter setting requires further considerations involving ray
combinatorics and a pullback argument.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 00:00:00 GMT""}]","2016-09-06"
"math/9608214","Shelah Office","Franz-Viktor Kuhlmann, Salma Kuhlmann, Saharon Shelah","Exponentiation in power series fields",,"Proc. Amer. Math. Soc. 125 (1997), 3177--3183",,"Shelah [KKSh:601]","math.AC math.LO math.RA",,"  We prove that for no nontrivial ordered abelian group G, the ordered power
series field R((G)) admits an exponential, i.e. an isomorphism between its
ordered additive group and its ordered multiplicative group of positive
elements, but that there is a non-surjective logarithm. For an arbitrary
ordered field k, no exponential on k((G)) is compatible, that is, induces an
exponential on k through the residue map. This is proved by showing that
certain functional equations for lexicographic powers of ordered sets are not
solvable.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 00:00:00 GMT""}]","2008-02-03"
"math/9608215","Shelah Office","Saharon Shelah","On full Souslin trees",,,,"Shelah [Sh:624]","math.LO",,"  In this note we answer a question of Kunen (15.13 [Mi91]) showing that it is
consistent that there are full Souslin trees
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 00:00:00 GMT""}]","2008-02-03"
"nucl-th/9608027","Bernd Schlei","U. Ornik, M. Pl\""umer, B.R. Schlei, D. Strottman and R.M. Weiner","The Effects of Bose-Condensates on Single Inclusive Spectra and
  Bose-Einstein Correlations","16 pages, 1 Postscript figure","Phys.Rev.C56:412-419,1997","10.1103/PhysRevC.56.412","LAUR-96-1615","nucl-th",,"  The implications of the formation of a Bose condensate on one- and
two-particle spectra are studied for ultrarelativistic nucleus-nucleus
collisions in the framework of a hydrodynamic description. It is found that
single particle spectra are considerably enhanced at low momenta. The
Bose-Einstein correlation function has an intercept below two. For pion pairs
in the central region a two-component structure may appear in the correlation
function, which is different from that found in quantum optics. The chaoticity
parameter is strongly momentum dependent.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 16:33:50 GMT""}]","2008-11-26"
"nucl-th/9608028","Dmitri Fedorov","D.V.Fedorov (ECT*), A.S.Jensen (Aarhus)","The Three-Body Continuum Coulomb Problem and the 3$\alpha$ Structure of
  $^{12}$C","LaTeX, 8 pages, 3 postscript figures, revised version, to be
  published in Phys.Let.B","Phys.Lett. B389 (1996) 631-636","10.1016/S0370-2693(96)01375-5","IFA-96/35","nucl-th",,"  We introduce an approach, based on the coordinate space Faddeev equations, to
solve the quantum mechanical three-body Coulomb problem in the continuum. We
apply the approach to compute measured properties of the first two $0^+$ levels
in $^{12}$C, including the width of the excited level, in a 3$\alpha$-particle
model. We use the two-body interaction which reproduces the low energy
$\alpha$-$\alpha$ scattering data and add a three-body force to account for the
compound state admixture.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 10:25:05 GMT""},{""version"":""v2"",""created"":""Wed, 30 Oct 1996 13:25:06 GMT""}]","2009-10-30"
"nucl-th/9608029","Kazuo Tsushima","K. Tsushima (1), A. Sibirtsev (2), A. W. Thomas (3), ((1) and (3)
  University of Adelaide, Australia, (2) University of Giessen, Germany)","Resonance model study of strangeness production in pp collisions","10 pages with 5 postscript figures, Latex, revised version for
  publication in Phys. Lett. B","Phys.Lett.B390:29-35,1997","10.1016/S0370-2693(96)01391-3",,"nucl-th hep-ph",,"  Results for the energy dependence of the elementary kaon production cross
sections in proton-proton collisions are reported. Calculations are performed
within an extended version of the resonance model which was used for the
previous studies of elementary kaon production in pion-nucleon and
pion-$\Delta$ collisions. Although the model treatment is within the {\it
empirical} tree level (observed widths for the resonances are used), it is
fully relativistic, and includes all relevant baryon resonances up to 2 GeV.
One of the purposes of this study is to provide the results for the simulation
codes of subthreshold kaon production in heavy ion collisions. This is the
first, consistent study of the elementary kaon production reactions including
both $\pi B$ and $B B$ ($B=N, \Delta$) collisions on the same footing.
Comparisons are made between the calculated results and the existing
semi-empirical parametrizations which are widely used for the simulation codes,
as well as the experimental data.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 11:45:15 GMT""},{""version"":""v2"",""created"":""Tue, 15 Oct 1996 07:37:12 GMT""}]","2010-02-17"
"supr-con/9608004","Georg Bruun","G. M. Bruun, V. N. Nicopoulos, N. F. Johnson","Ginzburg-Landau-Gor'kov Theory of Magnetic oscillations in a type-II
  2-dimensional Superconductor","39 pages, 8 figures. This is a replacement of supr-con/9608004.
  Several sections changed or added, including a section on the effect of spin
  and the effect of a conserved number of particles. To be published in Phys.
  Rev. B","PHYS REV B 56: (2) 809-825 JUL 1 1997","10.1103/PhysRevB.56.809",,"supr-con cond-mat.supr-con",,"  We investigate de Haas-van Alphen (dHvA) oscillations in the mixed state of a
type-II two-dimensional superconductor within a self-consistent Gor'kov
perturbation scheme. Assuming that the order parameter forms a vortex lattice
we can calculate the expansion coefficients exactly to any order. We have
tested the results of the perturbation theory to fourth and eight order against
an exact numerical solution of the corresponding Bogoliubov-de Gennes
equations. The perturbation theory is found to describe the onset of
superconductivity well close to the transition point $H_{c2}$. Contrary to
earlier calculations by other authors we do not find that the perturbative
scheme predicts any maximum of the dHvA-oscillations below $H_{c2}$. Instead we
obtain a substantial damping of the magnetic oscillations in the mixed state as
compared to the normal state. We have examined the effect of an oscillatory
chemical potential due to particle conservation and the effect of a finite
Zeeman splitting. Furthermore we have investigated the recently debated issue
of a possibility of a sign change of the fundamental harmonic of the magnetic
oscillations. Our theory is compared with experiment and we have found good
agreement.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 16:35:44 GMT""},{""version"":""v2"",""created"":""Mon, 19 Aug 1996 14:07:39 GMT""},{""version"":""v3"",""created"":""Fri, 11 Apr 1997 22:08:12 GMT""}]","2016-09-08"
"supr-con/9608005","Robert B. Laughlin","R. B. Laughlin (Stanford)","Evidence for Quasiparticle Decay in Photoemission from Underdoped
  Cuprates","4 pages of ReVTeX, 3 eps figures","Phys. Rev. Lett. 79, 1726 (1997)","10.1103/PhysRevLett.79.1726","p01jul96","supr-con cond-mat.supr-con",,"  I argue that the ``gap'' recently observed at the Brillouin zone face of
cuprate superconductors in photoemission by Marshall et al [Phys. Rev. Lett.
76, 4841 (1996)] and Ding et al [Nature 382, 54 (1996)] is evidence for the
decay of the injected hole into a spinon-holon pair.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 01:08:36 GMT""},{""version"":""v2"",""created"":""Sun, 8 Feb 1998 19:42:41 GMT""},{""version"":""v3"",""created"":""Tue, 17 Feb 1998 17:28:22 GMT""}]","2009-10-30"
