"adap-org/9608002","Yuhai Tu","Yuhai Tu, G. Grinstein, and M.A. Mu\~noz (IBM, Yorktown Heights)","Systems with Multiplicative Noise: Critical Behavior from KPZ Equation
  and Numerics","Four pages (In Revtex format) with 4 figures (in Postcript)",,"10.1103/PhysRevLett.78.274",,"adap-org cond-mat nlin.AO",,"  We show that certain critical exponents of systems with multiplicative noise
can be obtained from exponents of the KPZ equation. Numerical simulations in 1d
confirm this prediction, and yield other exponents of the multiplicative noise
problem. The numerics also verify an earlier prediction of the divergence of
the susceptibility over an entire range of control parameter values, and show
that the exponent governing the divergence in this range varies continuously
with control parameter.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 16:46:05 GMT""}]","2016-08-16"
"hep-th/9608087","Park daegil","D.K.Park","Comment on prescription problem in light-cone gauge","5 pages, Latex","J.Korean Phys.Soc. 28 (1995) 793-795",,,"hep-th",,"  Recently suggested causal principal value and causal prescriptions for the
""spurious singularity"" in light-cone gauge theories are nothing but the
different guises of usual Mandelstam-Leibbrandt prescription.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 02:24:22 GMT""}]","2007-05-23"
"hep-th/9608088",,"G.V. Grigoryan, R.P. Grigoryan, I.V. Tyutin","Pseudoclassical theories of Majorana, Weyl and Majorana--Weyl particles","LATEX, 17 pages, no figures","Theor.Math.Phys.111:703-713,1997; Teor.Mat.Fiz.111:389-401,1997","10.1007/BF02634058","Preprint YERPHI-1446(16)-95","hep-th",,"  A pseudoclassical theories of Majorana, Weyl and Majorana--Weyl particles in
the space--time dimensions $D=2n$ are constructed. The canonical quantization
of these theories is carried out and as a result we obtain the quantum
mechanical description of neutral particle in $D=2n$ , Weyl particle in $D=2n$
and neutral Weyl particle in $D=4n+2$. In $D=2,4({\rm mod}8)$ dimensional
space--time the description of the neutral particle coincides with the field
theoretical description of the Majorana particle in the Foldy--Wouthuysen
representation. In $D=8k+2$ dimensions the neutral Weyl particle coincides with
the Majorana--Weyl particle in the Foldy--Wouthuysen representation.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 05:34:13 GMT""}]","2008-11-26"
"hep-th/9608089","Guido Cognola","A.A. Bytsenko, Guido Cognola and Sergio Zerbini","Determinant of Laplacian on a non-compact 3-dimensional hyperbolic
  manifold with finite volume","10 pages, LaTex. The contribution of hyperbolic elements has been
  added","J.Phys.A30:3543-3552,1997","10.1088/0305-4470/30/10/028","University of Trento, UTF 382","hep-th",,"  The functional determinant of Laplace-type operators on the 3-dimensional
non-compact hyperbolic manifold with invariant fundamental domain of finite
volume is computed by quadratures and making use of the related terms of the
Selberg trace formula.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 08:09:46 GMT""},{""version"":""v2"",""created"":""Wed, 23 Oct 1996 15:21:39 GMT""}]","2008-11-26"
"hep-th/9608090","Paolo Di Vecchia","Paolo Di Vecchia","Duality in supersymmetric gauge theories","35 pages, Latex","Surveys High Energ.Phys.10:119-151,1997",,"Nordita-96/57 P","hep-th",,"  In these lectures we discuss various aspects of gauge theories with extended
$N=2$ and $N=4$ supersymmetry that are at the basis of recently found exact
results. These results include the exact calculation of the low energy
effective action for the light degrees of freedom in the $N=2$ super Yang-Mills
theory and the conjecture, supported by some checks, that the $N=4$ super
Yang-Mills theory is dual in the sense of Montonen-Olive.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 12:56:11 GMT""}]","2011-04-15"
"math/9608206","Peter Scott","Peter Scott, Gadde A. Swarup","An Algebraic Annulus Theorem",,"Pacific Journal of Math. 196 (2000), 461-506.",,"MSRI 1996-057","math.GR math.GT",,"  We present an extension of Dunwoody's theory of tracks and use it to prove an
analogue of the annulus theorem for hyperbolic groups.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 00:00:00 GMT""}]","2016-09-06"
"nucl-ex/9608004","Dag Horn","D. Horn, G. C. Ball, D. R. Bowman, W. G. Davies, D. Fox, A.
  Galindo-Uribarri, A. C. Hayes, G. Savard (Chalk River Laboratories) L.
  Beaulieu, Y. Larochelle, C. St-Pierre (Universite Laval)","Pionic Fusion of Heavy Ions","15 pages, 2 Postscript figures, Deadlined for Phys. Rev. Letts. 1996
  Sept 09","Phys.Rev.Lett. 77 (1996) 2408-2411","10.1103/PhysRevLett.77.2408","TASCC-P-96-1","nucl-ex",,"  We report the first experimental observation of the pionic fusion of two
heavy ions. The 12C(12C,24Mg)pi0 and 12C(12C,24Na)pi+ cross sections have been
measured to be 208 +/- 38 and 182 +/- 84 picobarns, respectively, at E_cm = 137
MeV. This cross section for heavy-ion pion production, at an energy just 6 MeV
above the absolute energy-conservation limit, constrains possible production
mechanisms to incorporate the kinetic energy of the entire projectile-target
system as well as the binding energy gained in fusion.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 19:32:21 GMT""}]","2009-10-30"
"nucl-th/9608023","Xuemin Jin","Xuemin Jin and B.K. Jennings","Change of MIT Bag Constant in Nuclear Medium and Implication for the EMC
  Effect","15 pages, ReVTeX, 4 figures embedded","Phys.Rev.C55:1567-1570,1997","10.1103/PhysRevC.55.1567","TRI-PP-96-35","nucl-th hep-ph",,"  The modified quark-meson coupling model, which features a density dependent
bag constant and bag radius in nuclear matter, is checked against the EMC
effect within the framework of dynamical rescaling. Our emphasis is on the
change in the average bag radius in nuclei, as evaluated in a local density
approximation, and its implication for the rescaling parameter. We find that
when the bag constant in nuclear matter is significantly reduced from its
free-space value, the resulting rescaling parameter is in good agreement with
that required to explain the observed depletion of the structure functions in
the medium Bjorken $x$ region. Such a large reduction of the bag constant also
implies large and canceling Lorentz scalar and vector potentials for the
nucleon in nuclear matter which are comparable to those suggested by the
relativistic nuclear phenomenology and finite-density QCD sum rules.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 16:58:05 GMT""}]","2008-11-26"
"nucl-th/9608024","Dirk Rischke","Dirk H. Rischke","Hydrodynamics and collective behaviour in relativistic nuclear
  collisions","14 pages, 7 Postscript figures, 1 style file, LaTeX 2e, Proc. of
  Quark Matter '96","Nucl.Phys. A610 (1996) 88c-101c","10.1016/S0375-9474(96)00345-4","Columbia University preprint CU-TP-772","nucl-th",,"  Hydrodynamics is applied to describe the dynamics of relativistic heavy-ion
collisions. The focus of the present study is the influence of a possible
(phase) transition to the quark-gluon plasma in the nuclear matter equation of
state on collective observables, such as the lifetime of the system and the
transverse directed flow of matter. It is shown that such a transition leads to
a softening of the equation of state, and consequently to a time-delayed
expansion which is in principle observable via two-particle correlation
functions. Moreover, the delayed expansion leads to a local minimum in the
excitation function of transverse directed flow around AGS energies.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 18:54:48 GMT""}]","2009-10-30"
"nucl-th/9608025","Jaya Shamanna","S. Ray, J. Shamanna and T. T. S. Kuo","Isospin Lattice-Gas Model and Liquid-Gas Phase Transition in Asymmetric
  Nuclear Matter","13 pages LaTex, 6 figures available on request at
  kuo@nuclear.physics.sunysb.edu","Phys.Lett. B392 (1997) 7-12","10.1016/S0370-2693(96)01509-2",,"nucl-th",,"  An isospin lattice-gas model, which is a spin-1 Ising model, is employed to
investigate the liquid-gas phase transition in asymmetric nuclear matter. We
consider nuclear matter as a lattice where each lattice site can be either
empty or occupied by a proton or a neutron, with a nearest-neighbor interaction
among the nucleons. With the Bragg-Williams mean field approximation, we
calculate various thermodynamic properties of nuclear matter for different
densities and different proton-neutron asymmetry parameter $s$. Our model
exhibits liquid-gas phase transition below a critical temperature $T_c$, and
predicts a monotonic decreasing of $T_c$ as the magnitude of $s$ is increased.
The dependence of the nuclear matter isotherms on the asymmetry parameter $s$
is discussed.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 19:43:47 GMT""}]","2009-10-30"
"nucl-th/9608026","Andrea Cobis","A. Cobis, A. S. Jensen and D. V. Fedorov","The simplest ``strange'' three-body halo","28 pages, LaTex file, 4 postscript figures included using epsf.sty,
  revised version, to be published in Journal of Physics G: Nuclear and
  Particle Physics","J.Phys.G23:401-421,1997","10.1088/0954-3899/23/4/002",,"nucl-th",,"  The recently developed method to solve the Faddeev equations in coordinate
space is used to study the weakly bound halo nucleus, the hypertriton (Lambda +
n + p). The long distances are treated carefully to achieve convergence and
high accuracy. We use several sets of two-body interactions which reproduce the
deuteron properties and provide the low-energy Lambda-nucleon scattering data
close to that of two of Nijmegen potentials. We show that the details of the
potentials are unimportant unless the accuracy of the hypertriton binding
energy is required to be better than 50 keV. We find that the most significant
parameter of the Lambda-nucleon interaction, the singlet s-wave scattering
length, must be within 10% of 1.85 fm, when the Lambda-separation energy from
the deuteron is about 130 keV. Other details of the Lambda-nucleon interaction
are less important for the hypertriton structure. The scattering length and
effective range are computed for scattering of a Lambda-particle on a deuteron.
The folding model reducing the three-body problem to a two-body problem is
investigated in this context and found to be inadequate.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 11:42:46 GMT""},{""version"":""v2"",""created"":""Wed, 29 Jan 1997 17:39:45 GMT""}]","2008-11-26"
"q-alg/9608009","Chongying Dong","Chongying Dong, Haisheng Li and Geoffrey Mason","Compact automorphism groups of vertex operator algebras","latex 9 pages, correct several typos",,,,"q-alg math.QA",,"  Let $V$ be a simple vertex operator algebra which admits the continuous,
faithful action of a compact Lie group $G$ of automorphisms. We establish a
Schur-Weyl type duality between the unitary, irreducible modules for $G$ and
the irreducible modules for $V^G$ which are contained in $V$ where $V^G$ is the
space of $G$-invariants of $V.$ We also prove a concomitant Galois
correspondence between vertex operator subalgebras of $V$ which contain $V^G$
and closed Lie subgroups of $G$ in the case that $G$ is abelian.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 23:11:06 GMT""},{""version"":""v2"",""created"":""Wed, 14 Aug 1996 21:08:44 GMT""}]","2008-02-03"
"q-alg/9608010","Delius","Gustav W. Delius","The Problem of Differential Calculus on Quantum Groups","Contribution to the proceedings of the Colloquium on Quantum Groups
  and Integrable Systems Prague, June 1996. amslatex, 9 pages. For related
  information see http://www.mth.kcl.ac.uk/~delius/q-lie.html","Czechoslovak Journal of Physics, Vol.46 (1996) 1217-1225.","10.1007/BF01690336","KCL-TH-96-11","q-alg math.QA",,"  The bicovariant differential calculi on quantum groups of Woronowicz have the
drawback that their dimensions do not agree with that of the corresponding
classical calculus. In this paper we discuss the first-order differential
calculus which arises from a simple quantum Lie algebra. This calculus has the
correct dimension and is shown to be bicovariant and complete. But it does not
satisfy the Leibniz rule. For sl_n this approach leads to a differential
calculus which satisfies a simple generalization of the Leibniz rule.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 11:41:49 GMT""}]","2009-10-30"
"q-alg/9608011","Peter Kulish","A. Stolin, P.P. Kulish","New rational solutions of Yang-Baxter equation and deformed Yangians","8 pages, TeX",,"10.1023/A:1021460515598","TRITA-MAT-1996-JU-11","q-alg math.QA",,"  In this paper a class of new quantum groups is presented: deformed Yangians.
They arise from rational solutions of the classical Yang-Baxter equation of the
form $c_2 /u + const$ . The universal quantum $R$-matrix for a deformed Yangian
is described. Its image in finite-dimensional representaions of the Yangian
gives new matrix rational solutions of the Yang-Baxter equation (YBE).
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 14:02:19 GMT""}]","2009-10-30"
"quant-ph/9608021","Brif Constantin","C. Brif, A. Mann (Technion, Haifa)","Nonclassical interferometry with intelligent light","to appear in Phys. Rev. A, REVTeX, 25 pages, 8 figures (compressed
  PostScript also available at
  http://www.technion.ac.il/~brif/abstracts/interferometers.html ). More
  information on http://www.technion.ac.il/~brif/science.html","Phys.Rev. A54 (1996) 4505","10.1103/PhysRevA.54.4505",,"quant-ph",,"  We study the phase sensitivity of SU(2) and SU(1,1) interferometers fed by
two-mode field states which are intelligent states for Hermitian generators of
the SU(2) and SU(1,1) groups, respectively. Intelligent states minimize
uncertainty relations and this makes possible an essential reduction of the
quantum noise in interferometers. Exact closed expressions for the minimum
detectable phase shift are obtained in terms of the Jacobi polynomials. These
expressions are compared with results for some conventional input states, and
some known results for the squeezed input states are reviewed. It is shown that
the phase sensitivity for an interferometer that employs squeezing-producing
active devices (such as four-wave mixers) should be analyzed in two regimes:
(i) fixed input state and variable interferometer, and (ii) fixed
interferometer and variable input state. The behavior of the phase sensitivity
is essentially different in these two regimes. The use of the SU(2) intelligent
states allows us to achieve a phase sensitivity of order $1/\bar{N}$ (where
$\bar{N}$ is the total number of photons passing through the phase shifters of
the interferometer) without adding four-wave mixers. This avoids the duality in
the behavior of the phase sensitivity that occurs for the squeezed input. On
the other hand, the SU(1,1) intelligent states have the property of achieving
the phase sensitivity of order $1/\bar{N}$ in both regimes.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 13:15:43 GMT""}]","2009-10-30"
"quant-ph/9608022","Brif Constantin","C. Brif (Technion, Haifa)","Coherent states for quantum systems with a trilinear boson Hamiltonian","to appear in Phys. Rev. A, REVTeX, 18 pages, 3 figures (compressed
  PostScript, available at
  http://www.technion.ac.il/~brif/abstracts/3lin_cs.html ). More information on
  this http://www.technion.ac.il/~brif/science.html","Phys.Rev. A54 (1996) 5253","10.1103/PhysRevA.54.5253",,"quant-ph",,"  We introduce a set of coherent states which are associated with quantum
systems governed by a trilinear boson Hamiltonian. These states are produced by
the action of a nonunitary displacement operator on a reference state and can
be equivalently defined by some eigenvalue equations. The system prepared
initially in the reference state will evolve into the coherent state during the
first instants of the interaction process. Some properties of the coherent
states are discussed. In particular, the resolution of the identity is derived
and the related analytic representation in the complex plane is developed. It
is shown that this analytic representation coincides with a double
representation based on the Glauber coherent states of the pump mode and on the
SU(1,1) Perelomov coherent states of the signal-idler system. Entanglement
between the field modes and photon statistics of the coherent states are
studied. Connections between the coherent states and the long-time evolution
induced by the trilinear Hamiltonian are considered.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 13:21:04 GMT""}]","2009-10-30"
